codigo_provincia,provincia,anio,variable,valor
02,Albacete,2018,superficie_m2_p25_vivienda_colectiva,78.0
02,Albacete,2018,superficie_m2_p25_vivienda_unifamiliar,141.0
02,Albacete,2018,superficie_m2_p75_vivienda_colectiva,116.0
02,Albacete,2018,superficie_m2_p75_vivienda_unifamiliar,268.0
03,Alicante,2015,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,4.89130434782609
03,Alicante,2015,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,4.76190476190476
03,Alicante,2015,alquiler_mensual_eur_m2_p25_vivienda_colectiva,3.30459770114943
03,Alicante,2015,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,2.80373831775701
03,Alicante,2015,alquiler_mensual_eur_m2_p75_vivienda_colectiva,7.40740740740741
03,Alicante,2015,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,7.37010796221323
03,Alicante,2015,alquiler_mensual_total_eur_mediana_vivienda_colectiva,400.0
03,Alicante,2015,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,500.0
03,Alicante,2015,alquiler_mensual_total_eur_p25_vivienda_colectiva,300.0
03,Alicante,2015,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,300.0
03,Alicante,2015,alquiler_mensual_total_eur_p75_vivienda_colectiva,600.0
03,Alicante,2015,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,800.0
03,Alicante,2015,observaciones_alquiler_vivienda_colectiva,31848.0
03,Alicante,2015,observaciones_alquiler_vivienda_unifamiliar,5830.0
03,Alicante,2015,superficie_m2_mediana_vivienda_colectiva,91.0
03,Alicante,2015,superficie_m2_mediana_vivienda_unifamiliar,133.0
03,Alicante,2015,superficie_m2_p25_vivienda_colectiva,71.0
03,Alicante,2015,superficie_m2_p25_vivienda_unifamiliar,88.0
03,Alicante,2015,superficie_m2_p75_vivienda_colectiva,110.0
03,Alicante,2015,superficie_m2_p75_vivienda_unifamiliar,208.0
03,Alicante,2016,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,5.12820512820513
03,Alicante,2016,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,5.0
03,Alicante,2016,alquiler_mensual_eur_m2_p25_vivienda_colectiva,3.47826086956522
03,Alicante,2016,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,3.03030303030303
03,Alicante,2016,alquiler_mensual_eur_m2_p75_vivienda_colectiva,7.77852222222222
03,Alicante,2016,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,8.05856406673072
03,Alicante,2016,alquiler_mensual_total_eur_mediana_vivienda_colectiva,420.0
03,Alicante,2016,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,500.0
03,Alicante,2016,alquiler_mensual_total_eur_p25_vivienda_colectiva,300.0
03,Alicante,2016,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,330.5475
03,Alicante,2016,alquiler_mensual_total_eur_p75_vivienda_colectiva,650.0
03,Alicante,2016,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,825.0
