provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
Soria,2020,6,6,6,0,100.0
Soria,2021,6,6,6,0,100.0
Soria,2022,6,6,6,0,100.0
Soria,2023,6,6,6,0,100.0
Tarragona,2015,6,6,6,0,100.0
Tarragona,2016,6,6,6,0,100.0
Tarragona,2017,6,6,6,0,100.0
Tarragona,2018,6,6,6,0,100.0
Tarragona,2019,6,6,6,0,100.0
Tarragona,2020,6,6,6,0,100.0
Tarragona,2021,6,6,6,0,100.0
Tarragona,2022,6,6,6,0,100.0
Tarragona,2023,6,6,6,0,100.0
Teruel,2015,6,6,6,0,100.0
Teruel,2016,6,6,6,0,100.0
Teruel,2017,6,6,6,0,100.0
Teruel,2018,6,6,6,0,100.0
Teruel,2019,6,6,6,0,100.0
Teruel,2020,6,6,6,0,100.0
Teruel,2021,6,6,6,0,100.0
Teruel,2022,6,6,6,0,100.0
Teruel,2023,6,6,6,0,100.0
Toledo,2015,6,6,6,0,100.0
Toledo,2016,6,6,6,0,100.0
Toledo,2017,6,6,6,0,100.0
Toledo,2018,6,6,6,0,100.0
Toledo,2019,6,6,6,0,100.0
Toledo,2020,6,6,6,0,100.0
Toledo,2021,6,6,6,0,100.0
Toledo,2022,6,6,6,0,100.0
Toledo,2023,6,6,6,0,100.0
Valencia/València,2015,6,6,6,0,100.0
Valencia/València,2016,6,6,6,0,100.0
Valencia/València,2017,6,6,6,0,100.0
Valencia/València,2018,6,6,6,0,100.0
Valencia/València,2019,6,6,6,0,100.0
Valencia/València,2020,6,6,6,0,100.0
Valencia/València,2021,6,6,6,0,100.0
Valencia/València,2022,6,6,6,0,100.0
Valencia/València,2023,6,6,6,0,100.0
Valladolid,2015,6,6,6,0,100.0
Valladolid,2016,6,6,6,0,100.0
Valladolid,2017,6,6,6,0,100.0
Valladolid,2018,6,6,6,0,100.0
Valladolid,2019,6,6,6,0,100.0
Valladolid,2020,6,6,6,0,100.0
Valladolid,2021,6,6,6,0,100.0
Valladolid,2022,6,6,6,0,100.0
Valladolid,2023,6,6,6,0,100.0
Zamora,2015,6,6,6,0,100.0
Zamora,2016,6,6,6,0,100.0
Zamora,2017,6,6,6,0,100.0
Zamora,2018,6,6,6,0,100.0
Zamora,2019,6,6,6,0,100.0
Zamora,2020,6,6,6,0,100.0
Zamora,2021,6,6,6,0,100.0
Zamora,2022,6,6,6,0,100.0
Zamora,2023,6,6,6,0,100.0
Zaragoza,2015,6,6,6,0,100.0
Zaragoza,2016,6,6,6,0,100.0
Zaragoza,2017,6,6,6,0,100.0
Zaragoza,2018,6,6,6,0,100.0
Zaragoza,2019,6,6,6,0,100.0
Zaragoza,2020,6,6,6,0,100.0
Zaragoza,2021,6,6,6,0,100.0
Zaragoza,2022,6,6,6,0,100.0
Zaragoza,2023,6,6,6,0,100.0
Ávila,2015,6,6,6,0,100.0
Ávila,2016,6,6,6,0,100.0
Ávila,2017,6,6,6,0,100.0
Ávila,2018,6,6,6,0,100.0
Ávila,2019,6,6,6,0,100.0
Ávila,2020,6,6,6,0,100.0
Ávila,2021,6,6,6,0,100.0
Ávila,2022,6,6,6,0,100.0
Ávila,2023,6,6,6,0,100.0
