provincia,anio,variable,valor
Alicante/Alacant,2023,renta_bruta_media_por_hogar_eur,37794
Alicante/Alacant,2023,renta_bruta_media_por_persona_eur,14770
Alicante/Alacant,2023,renta_media_por_unidad_consumo_eur,18211
Alicante/Alacant,2023,renta_mediana_por_unidad_consumo_eur,15750
Alicante/Alacant,2023,renta_neta_media_por_hogar_eur,31507
Alicante/Alacant,2023,renta_neta_media_por_persona_eur,12313
Almería,2015,renta_bruta_media_por_hogar_eur,25538
Almería,2015,renta_bruta_media_por_persona_eur,9304
Almería,2015,renta_media_por_unidad_consumo_eur,12323
Almería,2015,renta_mediana_por_unidad_consumo_eur,10150
Almería,2015,renta_neta_media_por_hogar_eur,22039
Almería,2015,renta_neta_media_por_persona_eur,8029
Almería,2016,renta_bruta_media_por_hogar_eur,26286
Almería,2016,renta_bruta_media_por_persona_eur,9518
Almería,2016,renta_media_por_unidad_consumo_eur,12637
Almería,2016,renta_mediana_por_unidad_consumo_eur,10850
Almería,2016,renta_neta_media_por_hogar_eur,22666
Almería,2016,renta_neta_media_por_persona_eur,8207
Almería,2017,renta_bruta_media_por_hogar_eur,27283
Almería,2017,renta_bruta_media_por_persona_eur,9992
Almería,2017,renta_media_por_unidad_consumo_eur,13184
Almería,2017,renta_mediana_por_unidad_consumo_eur,11550
Almería,2017,renta_neta_media_por_hogar_eur,23399
Almería,2017,renta_neta_media_por_persona_eur,8569
Almería,2018,renta_bruta_media_por_hogar_eur,28805
Almería,2018,renta_bruta_media_por_persona_eur,10573
Almería,2018,renta_media_por_unidad_consumo_eur,13926
Almería,2018,renta_mediana_por_unidad_consumo_eur,12250
Almería,2018,renta_neta_media_por_hogar_eur,24714
Almería,2018,renta_neta_media_por_persona_eur,9072
Almería,2019,renta_bruta_media_por_hogar_eur,30072
Almería,2019,renta_bruta_media_por_persona_eur,11043
Almería,2019,renta_media_por_unidad_consumo_eur,14480
Almería,2019,renta_mediana_por_unidad_consumo_eur,12250
Almería,2019,renta_neta_media_por_hogar_eur,25698
Almería,2019,renta_neta_media_por_persona_eur,9436
Almería,2020,renta_bruta_media_por_hogar_eur,30726
Almería,2020,renta_bruta_media_por_persona_eur,11354
Almería,2020,renta_media_por_unidad_consumo_eur,14850
Almería,2020,renta_mediana_por_unidad_consumo_eur,12950
Almería,2020,renta_neta_media_por_hogar_eur,26276
Almería,2020,renta_neta_media_por_persona_eur,9709
Almería,2021,renta_bruta_media_por_hogar_eur,31958
Almería,2021,renta_bruta_media_por_persona_eur,11877
Almería,2021,renta_media_por_unidad_consumo_eur,15412
Almería,2021,renta_mediana_por_unidad_consumo_eur,13650
Almería,2021,renta_neta_media_por_hogar_eur,27184
Almería,2021,renta_neta_media_por_persona_eur,10103
Almería,2022,renta_bruta_media_por_hogar_eur,33611
Almería,2022,renta_bruta_media_por_persona_eur,12532
Almería,2022,renta_media_por_unidad_consumo_eur,16171
Almería,2022,renta_mediana_por_unidad_consumo_eur,13650
Almería,2022,renta_neta_media_por_hogar_eur,28442
Almería,2022,renta_neta_media_por_persona_eur,10605
Almería,2023,renta_bruta_media_por_hogar_eur,36672
Almería,2023,renta_bruta_media_por_persona_eur,13683
Almería,2023,renta_media_por_unidad_consumo_eur,17369
Almería,2023,renta_mediana_por_unidad_consumo_eur,15050
Almería,2023,renta_neta_media_por_hogar_eur,30936
Almería,2023,renta_neta_media_por_persona_eur,11543
Araba/Álava,2015,renta_bruta_media_por_hogar_eur,
Araba/Álava,2015,renta_bruta_media_por_persona_eur,
Araba/Álava,2015,renta_media_por_unidad_consumo_eur,
Araba/Álava,2015,renta_mediana_por_unidad_consumo_eur,
Araba/Álava,2015,renta_neta_media_por_hogar_eur,
Araba/Álava,2015,renta_neta_media_por_persona_eur,
Araba/Álava,2016,renta_bruta_media_por_hogar_eur,
Araba/Álava,2016,renta_bruta_media_por_persona_eur,
Araba/Álava,2016,renta_media_por_unidad_consumo_eur,
Araba/Álava,2016,renta_mediana_por_unidad_consumo_eur,
Araba/Álava,2016,renta_neta_media_por_hogar_eur,
Araba/Álava,2016,renta_neta_media_por_persona_eur,
Araba/Álava,2017,renta_bruta_media_por_hogar_eur,
Araba/Álava,2017,renta_bruta_media_por_persona_eur,
Araba/Álava,2017,renta_media_por_unidad_consumo_eur,
Araba/Álava,2017,renta_mediana_por_unidad_consumo_eur,
