anio,confianza_construccion_pct_neto,confianza_consumidor_pct_neto,confianza_industria_manufacturera_pct_neto,ipc_general_variacion_interanual_pct,pib_indice_volumen_base_2020,produccion_industrial_indice_base_2021,tasa_paro_nacional_pct,vab_construccion_indice_volumen_base_2020
2015,-26.633333333333336,15.533333333333333,-0.5916666666666666,-0.5,101.5625,97.06583333333333,22.0575,103.2025
2016,-39.13333333333333,11.7425,-2.1083333333333334,-0.19166666666666668,104.52250000000001,98.58833333333332,19.634999999999998,106.8475
2017,-25.099999999999998,14.342500000000001,1.375,1.9666666666666668,107.5475,101.40083333333332,17.225,108.6925
2018,-5.949999999999999,11.44,-0.43333333333333335,1.6916666666666667,110.1225,102.15833333333335,15.254999999999999,112.0025
2019,-7.691666666666666,6.376666666666666,-3.625,0.6916666666666668,112.2825,102.83583333333333,14.105,117.2425
2020,-17.433333333333334,-12.395000000000001,-13.575000000000001,-0.30833333333333335,99.9975,93.41000000000001,15.532499999999999,100.0
2021,-1.8916666666666666,4.314166666666666,0.6,3.0833333333333335,106.6825,100.00083333333333,14.92,98.97749999999999
2022,8.833333333333334,-7.1375,-0.8583333333333334,8.391666666666667,113.4775,102.25666666666666,13.035,107.8325
2023,8.725,0.008333333333333276,-6.5249999999999995,3.5500000000000003,116.2725,100.64916666666666,12.185,108.9675
2024,7.791666666666667,3.5533333333333332,-4.875,2.775,120.28999999999999,101.37083333333334,11.344999999999999,114.1625
2025,16.033333333333335,1.1566666666666665,-4.816666666666666,2.6750000000000003,123.6875,102.71249999999999,10.5075,120.5375
