comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2015,18.8,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2015,28.7,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2015,17.9,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2015,81.3,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2015,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2016,42.3,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2016,19.0,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2016,28.7,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2016,18.0,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2016,82.2,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2016,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2017,42.5,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2017,19.3,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2017,28.7,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2017,18.0,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2017,81.7,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2017,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2018,42.8,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2018,19.5,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2018,28.9,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2018,17.7,pct_menor_18,porcentaje
