fecha,anio,mes,ambito,grupo,variable,valor,unidad,frecuencia,agregacion_anual,alias_serie,codigo_serie,descripcion
2008-07-01,2008,7,Total nacional,demanda_efectiva,compraventas_totales,45500.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2008-08-01,2008,8,Total nacional,demanda_efectiva,compraventas_totales,37820.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2008-09-01,2008,9,Total nacional,demanda_efectiva,compraventas_totales,45453.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2008-10-01,2008,10,Total nacional,demanda_efectiva,compraventas_totales,42029.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2008-11-01,2008,11,Total nacional,demanda_efectiva,compraventas_totales,35774.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2008-12-01,2008,12,Total nacional,demanda_efectiva,compraventas_totales,32256.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-01-01,2009,1,Total nacional,demanda_efectiva,compraventas_totales,37475.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-02-01,2009,2,Total nacional,demanda_efectiva,compraventas_totales,34578.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-03-01,2009,3,Total nacional,demanda_efectiva,compraventas_totales,34470.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-04-01,2009,4,Total nacional,demanda_efectiva,compraventas_totales,29178.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-05-01,2009,5,Total nacional,demanda_efectiva,compraventas_totales,33756.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-06-01,2009,6,Total nacional,demanda_efectiva,compraventas_totales,34854.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-07-01,2009,7,Total nacional,demanda_efectiva,compraventas_totales,37669.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-08-01,2009,8,Total nacional,demanda_efectiva,compraventas_totales,33811.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-09-01,2009,9,Total nacional,demanda_efectiva,compraventas_totales,37604.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-10-01,2009,10,Total nacional,demanda_efectiva,compraventas_totales,33062.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-11-01,2009,11,Total nacional,demanda_efectiva,compraventas_totales,34927.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2009-12-01,2009,12,Total nacional,demanda_efectiva,compraventas_totales,32009.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-01-01,2010,1,Total nacional,demanda_efectiva,compraventas_totales,37650.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-02-01,2010,2,Total nacional,demanda_efectiva,compraventas_totales,41267.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-03-01,2010,3,Total nacional,demanda_efectiva,compraventas_totales,37566.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-04-01,2010,4,Total nacional,demanda_efectiva,compraventas_totales,34294.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-05-01,2010,5,Total nacional,demanda_efectiva,compraventas_totales,37711.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-06-01,2010,6,Total nacional,demanda_efectiva,compraventas_totales,37134.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-07-01,2010,7,Total nacional,demanda_efectiva,compraventas_totales,43561.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-08-01,2010,8,Total nacional,demanda_efectiva,compraventas_totales,43610.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-09-01,2010,9,Total nacional,demanda_efectiva,compraventas_totales,36070.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-10-01,2010,10,Total nacional,demanda_efectiva,compraventas_totales,27415.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-11-01,2010,11,Total nacional,demanda_efectiva,compraventas_totales,32193.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2010-12-01,2010,12,Total nacional,demanda_efectiva,compraventas_totales,31120.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-01-01,2011,1,Total nacional,demanda_efectiva,compraventas_totales,44874.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-02-01,2011,2,Total nacional,demanda_efectiva,compraventas_totales,45107.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-03-01,2011,3,Total nacional,demanda_efectiva,compraventas_totales,32952.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-04-01,2011,4,Total nacional,demanda_efectiva,compraventas_totales,23906.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-05-01,2011,5,Total nacional,demanda_efectiva,compraventas_totales,30855.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-06-01,2011,6,Total nacional,demanda_efectiva,compraventas_totales,28679.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-07-01,2011,7,Total nacional,demanda_efectiva,compraventas_totales,28097.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-08-01,2011,8,Total nacional,demanda_efectiva,compraventas_totales,26888.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-09-01,2011,9,Total nacional,demanda_efectiva,compraventas_totales,25751.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-10-01,2011,10,Total nacional,demanda_efectiva,compraventas_totales,22392.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-11-01,2011,11,Total nacional,demanda_efectiva,compraventas_totales,27323.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2011-12-01,2011,12,Total nacional,demanda_efectiva,compraventas_totales,23000.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-01-01,2012,1,Total nacional,demanda_efectiva,compraventas_totales,33364.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-02-01,2012,2,Total nacional,demanda_efectiva,compraventas_totales,30253.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-03-01,2012,3,Total nacional,demanda_efectiva,compraventas_totales,25267.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-04-01,2012,4,Total nacional,demanda_efectiva,compraventas_totales,21276.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-05-01,2012,5,Total nacional,demanda_efectiva,compraventas_totales,27219.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-06-01,2012,6,Total nacional,demanda_efectiva,compraventas_totales,25362.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-07-01,2012,7,Total nacional,demanda_efectiva,compraventas_totales,27072.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-08-01,2012,8,Total nacional,demanda_efectiva,compraventas_totales,27838.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-09-01,2012,9,Total nacional,demanda_efectiva,compraventas_totales,26054.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-10-01,2012,10,Total nacional,demanda_efectiva,compraventas_totales,25300.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-11-01,2012,11,Total nacional,demanda_efectiva,compraventas_totales,25968.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2012-12-01,2012,12,Total nacional,demanda_efectiva,compraventas_totales,23561.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-01-01,2013,1,Total nacional,demanda_efectiva,compraventas_totales,39920.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-02-01,2013,2,Total nacional,demanda_efectiva,compraventas_totales,35535.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-03-01,2013,3,Total nacional,demanda_efectiva,compraventas_totales,22018.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-04-01,2013,4,Total nacional,demanda_efectiva,compraventas_totales,23704.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-05-01,2013,5,Total nacional,demanda_efectiva,compraventas_totales,26692.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-06-01,2013,6,Total nacional,demanda_efectiva,compraventas_totales,23977.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-07-01,2013,7,Total nacional,demanda_efectiva,compraventas_totales,25819.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
