anio,variable,grupo,unidad,frecuencia,agregacion_anual,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,cobertura_completa
2008,credito_hipotecario_hogares_pct_pib,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,credito_hipotecario_hogares_tasa_interanual_pct,credito_financiacion,Porcentaje,MENSUAL,media,12,2008-01-01,2008-12-01,12,True
2008,creditos_dudosos_vivienda_pct,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,esfuerzo_teorico_anual_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,ipv_general,precios,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,ipv_vivienda_nueva,precios,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,ipv_vivienda_usada,precios,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,numero_hogares_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,ocupados_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,plazo_medio_hipotecas_meses,accesibilidad,Meses,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,poblacion_25_mas_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,precio_m2_fotocasa,precios,Euros por metro cuadrado,MENSUAL,media,12,2008-01-01,2008-12-01,12,True
2008,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2008-01-01,2008-12-01,12,True
2008,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,precio_vivienda_renta_hogar_anios,accesibilidad,Años,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,prestamos_rpv_superior_80_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,relacion_prestamo_valor_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2008-03-01,2008-12-01,4,True
2008,tipo_interes_hipotecas_pct,accesibilidad,Porcentaje,MENSUAL,media,12,2008-01-01,2008-12-01,12,True
2008,visados_obra_nueva,oferta,Viviendas,MENSUAL,suma,12,2008-01-01,2008-12-01,12,True
2008,viviendas_iniciadas_libres,oferta,Viviendas,MENSUAL,suma,12,2008-01-01,2008-12-01,12,True
2008,viviendas_iniciadas_protegidas,oferta,Viviendas,MENSUAL,suma,12,2008-01-01,2008-12-01,12,True
2008,viviendas_iniciadas_total,oferta,Viviendas,MENSUAL,suma,12,2008-01-01,2008-12-01,12,True
2009,compraventas_totales,demanda_efectiva,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,compraventas_vivienda_nueva,demanda_efectiva,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,compraventas_vivienda_usada,demanda_efectiva,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,credito_hipotecario_hogares_pct_pib,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,credito_hipotecario_hogares_tasa_interanual_pct,credito_financiacion,Porcentaje,MENSUAL,media,12,2009-01-01,2009-12-01,12,True
2009,creditos_dudosos_vivienda_pct,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,esfuerzo_teorico_anual_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,ipv_general,precios,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,ipv_vivienda_nueva,precios,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,ipv_vivienda_usada,precios,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,numero_hogares_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,ocupados_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,plazo_medio_hipotecas_meses,accesibilidad,Meses,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,poblacion_25_mas_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,precio_m2_fotocasa,precios,Euros por metro cuadrado,MENSUAL,media,12,2009-01-01,2009-12-01,12,True
2009,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2009-01-01,2009-12-01,12,True
2009,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,precio_vivienda_renta_hogar_anios,accesibilidad,Años,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,prestamos_rpv_superior_80_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,relacion_prestamo_valor_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2009-03-01,2009-12-01,4,True
2009,tipo_interes_hipotecas_pct,accesibilidad,Porcentaje,MENSUAL,media,12,2009-01-01,2009-12-01,12,True
2009,visados_obra_nueva,oferta,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,viviendas_iniciadas_libres,oferta,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,viviendas_iniciadas_protegidas,oferta,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2009,viviendas_iniciadas_total,oferta,Viviendas,MENSUAL,suma,12,2009-01-01,2009-12-01,12,True
2010,compraventas_totales,demanda_efectiva,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,compraventas_vivienda_nueva,demanda_efectiva,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,compraventas_vivienda_usada,demanda_efectiva,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,credito_hipotecario_hogares_pct_pib,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
