codigo_provincia,provincia,anio,mes,periodo,residencia,variable,valor
01,Araba/Álava,2016,3,2016M03,total,viajeros,30382
01,Araba/Álava,2016,4,2016M04,residentes_espana,pernoctaciones,30920
01,Araba/Álava,2016,4,2016M04,residentes_espana,viajeros,20923
01,Araba/Álava,2016,4,2016M04,residentes_extranjero,pernoctaciones,13041
01,Araba/Álava,2016,4,2016M04,residentes_extranjero,viajeros,7229
01,Araba/Álava,2016,4,2016M04,total,pernoctaciones,43961
01,Araba/Álava,2016,4,2016M04,total,viajeros,28152
01,Araba/Álava,2016,5,2016M05,residentes_espana,pernoctaciones,37383
01,Araba/Álava,2016,5,2016M05,residentes_espana,viajeros,23647
01,Araba/Álava,2016,5,2016M05,residentes_extranjero,pernoctaciones,19959
01,Araba/Álava,2016,5,2016M05,residentes_extranjero,viajeros,11060
01,Araba/Álava,2016,5,2016M05,total,pernoctaciones,57342
01,Araba/Álava,2016,5,2016M05,total,viajeros,34706
01,Araba/Álava,2016,6,2016M06,residentes_espana,pernoctaciones,37303
01,Araba/Álava,2016,6,2016M06,residentes_espana,viajeros,23297
01,Araba/Álava,2016,6,2016M06,residentes_extranjero,pernoctaciones,21138
01,Araba/Álava,2016,6,2016M06,residentes_extranjero,viajeros,10843
01,Araba/Álava,2016,6,2016M06,total,pernoctaciones,58442
01,Araba/Álava,2016,6,2016M06,total,viajeros,34140
01,Araba/Álava,2016,7,2016M07,residentes_espana,pernoctaciones,52463
01,Araba/Álava,2016,7,2016M07,residentes_espana,viajeros,28769
01,Araba/Álava,2016,7,2016M07,residentes_extranjero,pernoctaciones,30486
01,Araba/Álava,2016,7,2016M07,residentes_extranjero,viajeros,18985
01,Araba/Álava,2016,7,2016M07,total,pernoctaciones,82949
01,Araba/Álava,2016,7,2016M07,total,viajeros,47754
01,Araba/Álava,2016,8,2016M08,residentes_espana,pernoctaciones,67875
01,Araba/Álava,2016,8,2016M08,residentes_espana,viajeros,29675
01,Araba/Álava,2016,8,2016M08,residentes_extranjero,pernoctaciones,30814
01,Araba/Álava,2016,8,2016M08,residentes_extranjero,viajeros,20561
01,Araba/Álava,2016,8,2016M08,total,pernoctaciones,98688
01,Araba/Álava,2016,8,2016M08,total,viajeros,50236
01,Araba/Álava,2016,9,2016M09,residentes_espana,pernoctaciones,49676
01,Araba/Álava,2016,9,2016M09,residentes_espana,viajeros,26363
01,Araba/Álava,2016,9,2016M09,residentes_extranjero,pernoctaciones,23273
01,Araba/Álava,2016,9,2016M09,residentes_extranjero,viajeros,12724
01,Araba/Álava,2016,9,2016M09,total,pernoctaciones,72949
01,Araba/Álava,2016,9,2016M09,total,viajeros,39087
01,Araba/Álava,2016,10,2016M10,residentes_espana,pernoctaciones,50449
01,Araba/Álava,2016,10,2016M10,residentes_espana,viajeros,28182
01,Araba/Álava,2016,10,2016M10,residentes_extranjero,pernoctaciones,19612
01,Araba/Álava,2016,10,2016M10,residentes_extranjero,viajeros,10810
01,Araba/Álava,2016,10,2016M10,total,pernoctaciones,70060
01,Araba/Álava,2016,10,2016M10,total,viajeros,38992
01,Araba/Álava,2016,11,2016M11,residentes_espana,pernoctaciones,34828
01,Araba/Álava,2016,11,2016M11,residentes_espana,viajeros,20526
01,Araba/Álava,2016,11,2016M11,residentes_extranjero,pernoctaciones,11453
01,Araba/Álava,2016,11,2016M11,residentes_extranjero,viajeros,5438
01,Araba/Álava,2016,11,2016M11,total,pernoctaciones,46281
01,Araba/Álava,2016,11,2016M11,total,viajeros,25965
01,Araba/Álava,2016,12,2016M12,residentes_espana,pernoctaciones,40039
01,Araba/Álava,2016,12,2016M12,residentes_espana,viajeros,22981
01,Araba/Álava,2016,12,2016M12,residentes_extranjero,pernoctaciones,9645
01,Araba/Álava,2016,12,2016M12,residentes_extranjero,viajeros,4343
01,Araba/Álava,2016,12,2016M12,total,pernoctaciones,49684
01,Araba/Álava,2016,12,2016M12,total,viajeros,27324
01,Araba/Álava,2017,1,2017M01,residentes_espana,pernoctaciones,28234
01,Araba/Álava,2017,1,2017M01,residentes_espana,viajeros,16415
01,Araba/Álava,2017,1,2017M01,residentes_extranjero,pernoctaciones,10178
01,Araba/Álava,2017,1,2017M01,residentes_extranjero,viajeros,4997
01,Araba/Álava,2017,1,2017M01,total,pernoctaciones,38412
01,Araba/Álava,2017,1,2017M01,total,viajeros,21412
01,Araba/Álava,2017,2,2017M02,residentes_espana,pernoctaciones,38317
01,Araba/Álava,2017,2,2017M02,residentes_espana,viajeros,20584
01,Araba/Álava,2017,2,2017M02,residentes_extranjero,pernoctaciones,8977
01,Araba/Álava,2017,2,2017M02,residentes_extranjero,viajeros,4232
01,Araba/Álava,2017,2,2017M02,total,pernoctaciones,47294
01,Araba/Álava,2017,2,2017M02,total,viajeros,24816
01,Araba/Álava,2017,3,2017M03,residentes_espana,pernoctaciones,38148
01,Araba/Álava,2017,3,2017M03,residentes_espana,viajeros,22279
01,Araba/Álava,2017,3,2017M03,residentes_extranjero,pernoctaciones,12626
01,Araba/Álava,2017,3,2017M03,residentes_extranjero,viajeros,5980
01,Araba/Álava,2017,3,2017M03,total,pernoctaciones,50774
01,Araba/Álava,2017,3,2017M03,total,viajeros,28259
01,Araba/Álava,2017,4,2017M04,residentes_espana,pernoctaciones,52059
01,Araba/Álava,2017,4,2017M04,residentes_espana,viajeros,28107
01,Araba/Álava,2017,4,2017M04,residentes_extranjero,pernoctaciones,17312
01,Araba/Álava,2017,4,2017M04,residentes_extranjero,viajeros,10052
01,Araba/Álava,2017,4,2017M04,total,pernoctaciones,69370
01,Araba/Álava,2017,4,2017M04,total,viajeros,38159
01,Araba/Álava,2017,5,2017M05,residentes_espana,pernoctaciones,42473
01,Araba/Álava,2017,5,2017M05,residentes_espana,viajeros,23328
01,Araba/Álava,2017,5,2017M05,residentes_extranjero,pernoctaciones,22631
01,Araba/Álava,2017,5,2017M05,residentes_extranjero,viajeros,11614
01,Araba/Álava,2017,5,2017M05,total,pernoctaciones,65104
01,Araba/Álava,2017,5,2017M05,total,viajeros,34942
01,Araba/Álava,2017,6,2017M06,residentes_espana,pernoctaciones,44731
01,Araba/Álava,2017,6,2017M06,residentes_espana,viajeros,24249
01,Araba/Álava,2017,6,2017M06,residentes_extranjero,pernoctaciones,21012
01,Araba/Álava,2017,6,2017M06,residentes_extranjero,viajeros,11423
01,Araba/Álava,2017,6,2017M06,total,pernoctaciones,65743
01,Araba/Álava,2017,6,2017M06,total,viajeros,35672
01,Araba/Álava,2017,7,2017M07,residentes_espana,pernoctaciones,54158
01,Araba/Álava,2017,7,2017M07,residentes_espana,viajeros,27219
01,Araba/Álava,2017,7,2017M07,residentes_extranjero,pernoctaciones,31183
01,Araba/Álava,2017,7,2017M07,residentes_extranjero,viajeros,19504
01,Araba/Álava,2017,7,2017M07,total,pernoctaciones,85341
01,Araba/Álava,2017,7,2017M07,total,viajeros,46723
01,Araba/Álava,2017,8,2017M08,residentes_espana,pernoctaciones,68434
01,Araba/Álava,2017,8,2017M08,residentes_espana,viajeros,30844
01,Araba/Álava,2017,8,2017M08,residentes_extranjero,pernoctaciones,32948
01,Araba/Álava,2017,8,2017M08,residentes_extranjero,viajeros,20284
01,Araba/Álava,2017,8,2017M08,total,pernoctaciones,101382
01,Araba/Álava,2017,8,2017M08,total,viajeros,51128
01,Araba/Álava,2017,9,2017M09,residentes_espana,pernoctaciones,49789
01,Araba/Álava,2017,9,2017M09,residentes_espana,viajeros,26806
01,Araba/Álava,2017,9,2017M09,residentes_extranjero,pernoctaciones,25417
01,Araba/Álava,2017,9,2017M09,residentes_extranjero,viajeros,14568
01,Araba/Álava,2017,9,2017M09,total,pernoctaciones,75206
01,Araba/Álava,2017,9,2017M09,total,viajeros,41375
01,Araba/Álava,2017,10,2017M10,residentes_espana,pernoctaciones,49302
01,Araba/Álava,2017,10,2017M10,residentes_espana,viajeros,27814
01,Araba/Álava,2017,10,2017M10,residentes_extranjero,pernoctaciones,20360
01,Araba/Álava,2017,10,2017M10,residentes_extranjero,viajeros,10781
01,Araba/Álava,2017,10,2017M10,total,pernoctaciones,69662
01,Araba/Álava,2017,10,2017M10,total,viajeros,38595
01,Araba/Álava,2017,11,2017M11,residentes_espana,pernoctaciones,43767
01,Araba/Álava,2017,11,2017M11,residentes_espana,viajeros,24496
01,Araba/Álava,2017,11,2017M11,residentes_extranjero,pernoctaciones,12847
01,Araba/Álava,2017,11,2017M11,residentes_extranjero,viajeros,6115
01,Araba/Álava,2017,11,2017M11,total,pernoctaciones,56615
01,Araba/Álava,2017,11,2017M11,total,viajeros,30611
01,Araba/Álava,2017,12,2017M12,residentes_espana,pernoctaciones,45523
01,Araba/Álava,2017,12,2017M12,residentes_espana,viajeros,24288
01,Araba/Álava,2017,12,2017M12,residentes_extranjero,pernoctaciones,8424
01,Araba/Álava,2017,12,2017M12,residentes_extranjero,viajeros,4470
01,Araba/Álava,2017,12,2017M12,total,pernoctaciones,53947
01,Araba/Álava,2017,12,2017M12,total,viajeros,28758
01,Araba/Álava,2018,1,2018M01,residentes_espana,pernoctaciones,32173
01,Araba/Álava,2018,1,2018M01,residentes_espana,viajeros,17992
01,Araba/Álava,2018,1,2018M01,residentes_extranjero,pernoctaciones,9788
01,Araba/Álava,2018,1,2018M01,residentes_extranjero,viajeros,5147
01,Araba/Álava,2018,1,2018M01,total,pernoctaciones,41962
01,Araba/Álava,2018,1,2018M01,total,viajeros,23139
01,Araba/Álava,2018,2,2018M02,residentes_espana,pernoctaciones,32185
01,Araba/Álava,2018,2,2018M02,residentes_espana,viajeros,17968
01,Araba/Álava,2018,2,2018M02,residentes_extranjero,pernoctaciones,7004
01,Araba/Álava,2018,2,2018M02,residentes_extranjero,viajeros,3800
01,Araba/Álava,2018,2,2018M02,total,pernoctaciones,39189
01,Araba/Álava,2018,2,2018M02,total,viajeros,21768
01,Araba/Álava,2018,3,2018M03,residentes_espana,pernoctaciones,45874
01,Araba/Álava,2018,3,2018M03,residentes_espana,viajeros,25487
01,Araba/Álava,2018,3,2018M03,residentes_extranjero,pernoctaciones,11395
01,Araba/Álava,2018,3,2018M03,residentes_extranjero,viajeros,5871
01,Araba/Álava,2018,3,2018M03,total,pernoctaciones,57269
01,Araba/Álava,2018,3,2018M03,total,viajeros,31358
01,Araba/Álava,2018,4,2018M04,residentes_espana,pernoctaciones,45407
01,Araba/Álava,2018,4,2018M04,residentes_espana,viajeros,24296
01,Araba/Álava,2018,4,2018M04,residentes_extranjero,pernoctaciones,16722
01,Araba/Álava,2018,4,2018M04,residentes_extranjero,viajeros,9504
01,Araba/Álava,2018,4,2018M04,total,pernoctaciones,62129
01,Araba/Álava,2018,4,2018M04,total,viajeros,33800
01,Araba/Álava,2018,5,2018M05,residentes_espana,pernoctaciones,45483
01,Araba/Álava,2018,5,2018M05,residentes_espana,viajeros,26219
01,Araba/Álava,2018,5,2018M05,residentes_extranjero,pernoctaciones,25255
01,Araba/Álava,2018,5,2018M05,residentes_extranjero,viajeros,14128
01,Araba/Álava,2018,5,2018M05,total,pernoctaciones,70738
01,Araba/Álava,2018,5,2018M05,total,viajeros,40347
01,Araba/Álava,2018,6,2018M06,residentes_espana,pernoctaciones,45960
01,Araba/Álava,2018,6,2018M06,residentes_espana,viajeros,25765
01,Araba/Álava,2018,6,2018M06,residentes_extranjero,pernoctaciones,23516
01,Araba/Álava,2018,6,2018M06,residentes_extranjero,viajeros,12275
01,Araba/Álava,2018,6,2018M06,total,pernoctaciones,69476
01,Araba/Álava,2018,6,2018M06,total,viajeros,38040
01,Araba/Álava,2018,7,2018M07,residentes_espana,pernoctaciones,51004
01,Araba/Álava,2018,7,2018M07,residentes_espana,viajeros,25447
01,Araba/Álava,2018,7,2018M07,residentes_extranjero,pernoctaciones,30682
01,Araba/Álava,2018,7,2018M07,residentes_extranjero,viajeros,18632
01,Araba/Álava,2018,7,2018M07,total,pernoctaciones,81686
01,Araba/Álava,2018,7,2018M07,total,viajeros,44079
01,Araba/Álava,2018,8,2018M08,residentes_espana,pernoctaciones,69347
01,Araba/Álava,2018,8,2018M08,residentes_espana,viajeros,29915
01,Araba/Álava,2018,8,2018M08,residentes_extranjero,pernoctaciones,33147
01,Araba/Álava,2018,8,2018M08,residentes_extranjero,viajeros,21103
01,Araba/Álava,2018,8,2018M08,total,pernoctaciones,102494
01,Araba/Álava,2018,8,2018M08,total,viajeros,51018
01,Araba/Álava,2018,9,2018M09,residentes_espana,pernoctaciones,52959
01,Araba/Álava,2018,9,2018M09,residentes_espana,viajeros,26667
01,Araba/Álava,2018,9,2018M09,residentes_extranjero,pernoctaciones,24929
01,Araba/Álava,2018,9,2018M09,residentes_extranjero,viajeros,13686
01,Araba/Álava,2018,9,2018M09,total,pernoctaciones,77888
01,Araba/Álava,2018,9,2018M09,total,viajeros,40353
01,Araba/Álava,2018,10,2018M10,residentes_espana,pernoctaciones,52131
01,Araba/Álava,2018,10,2018M10,residentes_espana,viajeros,27331
01,Araba/Álava,2018,10,2018M10,residentes_extranjero,pernoctaciones,22238
01,Araba/Álava,2018,10,2018M10,residentes_extranjero,viajeros,11095
01,Araba/Álava,2018,10,2018M10,total,pernoctaciones,74368
01,Araba/Álava,2018,10,2018M10,total,viajeros,38427
01,Araba/Álava,2018,11,2018M11,residentes_espana,pernoctaciones,46069
01,Araba/Álava,2018,11,2018M11,residentes_espana,viajeros,24242
01,Araba/Álava,2018,11,2018M11,residentes_extranjero,pernoctaciones,12907
01,Araba/Álava,2018,11,2018M11,residentes_extranjero,viajeros,5670
