codigo_provincia,provincia,anio,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
01,Araba/Álava,2015,72.66666666666667,49.94083333333333,52.185833333333335,42.498333333333335,2201.6666666666665,530.0833333333334,4243.833333333333
01,Araba/Álava,2016,71.41666666666667,54.14416666666667,54.73,44.24916666666667,2214.4166666666665,495.0,4286.333333333333
01,Araba/Álava,2017,74.33333333333333,58.18333333333334,58.4375,47.77,2242.75,487.1666666666667,4371.416666666667
01,Araba/Álava,2018,71.41666666666667,60.305,57.729166666666664,48.6975,2229.4166666666665,468.3333333333333,4371.416666666667
01,Araba/Álava,2019,65.83333333333333,61.639166666666675,59.02916666666667,49.10999999999999,2161.1666666666665,446.5833333333333,4266.25
01,Araba/Álava,2020,44.833333333333336,34.38583333333333,27.755,25.752499999999998,1565.25,264.5833333333333,3083.5833333333335
01,Araba/Álava,2021,58.583333333333336,46.82333333333333,43.324999999999996,37.165,2058.8333333333335,353.1666666666667,4116.0
01,Araba/Álava,2022,65.83333333333333,61.056666666666665,59.23166666666666,50.405,2179.1666666666665,418.0,4342.25
01,Araba/Álava,2023,69.91666666666667,64.68833333333333,63.48916666666667,54.03333333333333,2348.8333333333335,449.1666666666667,4660.166666666667
01,Araba/Álava,2024,69.33333333333333,65.45166666666667,64.08583333333333,54.79833333333334,2485.8333333333335,465.3333333333333,4979.333333333333
01,Araba/Álava,2025,72.58333333333333,69.82166666666667,64.64916666666666,56.11083333333334,2641.25,464.1666666666667,5326.666666666667
02,Albacete,2015,143.0,32.01,35.0375,26.645,3285.5,563.25,6256.416666666667
02,Albacete,2016,139.5,33.255,38.0925,27.686666666666667,3230.4166666666665,589.5833333333334,6173.083333333333
02,Albacete,2017,131.5,36.401666666666664,39.659166666666664,30.074166666666667,3170.0,602.9166666666666,6088.916666666667
02,Albacete,2018,128.66666666666666,37.5575,41.652499999999996,31.16,3089.4166666666665,538.6666666666666,5962.75
02,Albacete,2019,126.91666666666667,40.39083333333333,46.12083333333334,33.652499999999996,3093.0,530.9166666666666,5964.833333333333
02,Albacete,2020,91.25,25.790833333333335,20.9175,18.7375,2058.75,298.25,3944.75
02,Albacete,2021,111.83333333333333,33.16583333333333,31.3075,25.367500000000003,2683.6666666666665,352.75,5131.583333333333
02,Albacete,2022,132.08333333333334,40.53666666666667,40.265,32.12833333333334,3154.1666666666665,423.9166666666667,6093.916666666667
02,Albacete,2023,132.41666666666666,43.215,42.26583333333333,33.87583333333333,3147.5,445.6666666666667,6124.25
02,Albacete,2024,132.75,44.4925,45.2475,36.068333333333335,3200.75,456.3333333333333,6213.666666666667
02,Albacete,2025,126.91666666666667,45.362500000000004,46.39833333333333,36.82083333333333,3210.3333333333335,495.9166666666667,6287.25
