codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
01,Araba/Álava,2016,3,2016M03,43817,24527,11596,5854,55413,30382,1.8238759791982095,1.7864802054878297,1.980867782712675
01,Araba/Álava,2016,4,2016M04,30920,20923,13041,7229,43961,28152,1.561558681443592,1.4777995507336423,1.8039839535205422
01,Araba/Álava,2016,5,2016M05,37383,23647,19959,11060,57342,34706,1.6522215178931596,1.5808770668583754,1.804611211573237
01,Araba/Álava,2016,6,2016M06,37303,23297,21138,10843,58442,34140,1.7118336262448741,1.6011932866892733,1.9494604814165821
01,Araba/Álava,2016,7,2016M07,52463,28769,30486,18985,82949,47754,1.7370063240775642,1.8235948416698529,1.6057940479325783
01,Araba/Álava,2016,8,2016M08,67875,29675,30814,20561,98688,50236,1.9644876184409588,2.287278854254423,1.4986625164145713
01,Araba/Álava,2016,9,2016M09,49676,26363,23273,12724,72949,39087,1.8663238416864942,1.8843075522512613,1.8290631876768313
01,Araba/Álava,2016,10,2016M10,50449,28182,19612,10810,70060,38992,1.7967788264259335,1.790114257327372,1.814246068455134
01,Araba/Álava,2016,11,2016M11,34828,20526,11453,5438,46281,25965,1.7824378971692663,1.6967748221767514,2.1061051857300477
01,Araba/Álava,2016,12,2016M12,40039,22981,9645,4343,49684,27324,1.8183282096325575,1.7422653496366565,2.2208151047662907
01,Araba/Álava,2017,1,2017M01,28234,16415,10178,4997,38412,21412,1.793947319260228,1.7200121839780689,2.0368220932559535
01,Araba/Álava,2017,2,2017M02,38317,20584,8977,4232,47294,24816,1.9057865892972277,1.8614943645549942,2.121219281663516
01,Araba/Álava,2017,3,2017M03,38148,22279,12626,5980,50774,28259,1.796737322622881,1.7122851115400153,2.111371237458194
01,Araba/Álava,2017,4,2017M04,52059,28107,17312,10052,69370,38159,1.8179197568070442,1.8521720567830078,1.7222443294866694
01,Araba/Álava,2017,5,2017M05,42473,23328,22631,11614,65104,34942,1.863201877396829,1.820687585733882,1.948596521439642
01,Araba/Álava,2017,6,2017M06,44731,24249,21012,11423,65743,35672,1.842986095537116,1.8446533877685678,1.839446730281012
01,Araba/Álava,2017,7,2017M07,54158,27219,31183,19504,85341,46723,1.8265308306401558,1.989713068077446,1.5988002461033635
01,Araba/Álava,2017,8,2017M08,68434,30844,32948,20284,101382,51128,1.9829056485682992,2.2187135261315003,1.624334450798659
01,Araba/Álava,2017,9,2017M09,49789,26806,25417,14568,75206,41375,1.817667673716012,1.857382675520406,1.7447144426139485
01,Araba/Álava,2017,10,2017M10,49302,27814,20360,10781,69662,38595,1.8049488275683379,1.772560581002373,1.888507559595585
01,Araba/Álava,2017,11,2017M11,43767,24496,12847,6115,56615,30611,1.849498546274215,1.786699869366427,2.1008994276369584
01,Araba/Álava,2017,12,2017M12,45523,24288,8424,4470,53947,28758,1.8758954030182906,1.8743000658761528,1.8845637583892618
01,Araba/Álava,2018,1,2018M01,32173,17992,9788,5147,41962,23139,1.8134750853537318,1.7881836371720765,1.9016903050320575
01,Araba/Álava,2018,2,2018M02,32185,17968,7004,3800,39189,21768,1.800303197353914,1.791239982190561,1.843157894736842
01,Araba/Álava,2018,3,2018M03,45874,25487,11395,5871,57269,31358,1.8262963199183622,1.7998979872091654,1.9408959291432464
01,Araba/Álava,2018,4,2018M04,45407,24296,16722,9504,62129,33800,1.8381360946745562,1.8689084622983207,1.759469696969697
01,Araba/Álava,2018,5,2018M05,45483,26219,25255,14128,70738,40347,1.7532406374699483,1.7347343529501507,1.7875849377123443
01,Araba/Álava,2018,6,2018M06,45960,25765,23516,12275,69476,38040,1.8263932702418506,1.7838152532505336,1.915763747454175
01,Araba/Álava,2018,7,2018M07,51004,25447,30682,18632,81686,44079,1.853172712629597,2.0043227099461625,1.6467367969085445
01,Araba/Álava,2018,8,2018M08,69347,29915,33147,21103,102494,51018,2.0089772237249597,2.3181347150259066,1.570724541534379
01,Araba/Álava,2018,9,2018M09,52959,26667,24929,13686,77888,40353,1.9301662825564394,1.9859376757790528,1.8214964196989625
01,Araba/Álava,2018,10,2018M10,52131,27331,22238,11095,74368,38427,1.9353059047024228,1.9073945336797045,2.004326273095989
01,Araba/Álava,2018,11,2018M11,46069,24242,12907,5670,58976,29912,1.9716501738432737,1.9003795066413662,2.2763668430335096
01,Araba/Álava,2018,12,2018M12,45816,23938,9670,4388,55485,28325,1.9588702559576345,1.9139443562536553,2.2037374658158613
01,Araba/Álava,2019,1,2019M01,31694,16773,10753,4936,42446,21710,1.95513588208199,1.8895844512013356,2.178484602917342
01,Araba/Álava,2019,2,2019M02,32452,18494,9950,4091,42402,22585,1.8774407792782821,1.7547312641937927,2.432168174040577
01,Araba/Álava,2019,3,2019M03,43274,24469,13848,6301,57122,30769,1.856478923591927,1.7685234378192816,2.19774638946199
01,Araba/Álava,2019,4,2019M04,47048,25217,18845,9287,65893,34504,1.9097206121029446,1.8657255026371098,2.029180574997308
01,Araba/Álava,2019,5,2019M05,44736,24213,25302,11883,70037,36097,1.940244341635039,1.8476025275678354,2.1292602878061095
01,Araba/Álava,2019,6,2019M06,46405,25669,23560,11800,69965,37468,1.8673267855236468,1.80782266547197,1.9966101694915255
01,Araba/Álava,2019,7,2019M07,50727,25364,30033,17327,80760,42691,1.891733620669462,1.9999605740419493,1.7333064004155365
01,Araba/Álava,2019,8,2019M08,67404,30495,29820,19250,97224,49745,1.9544476831842397,2.2103295622233152,1.549090909090909
01,Araba/Álava,2019,9,2019M09,49423,26055,25517,13861,74939,39917,1.877370543878548,1.896872001535214,1.840920568501551
01,Araba/Álava,2019,10,2019M10,48587,26593,20326,10085,68913,36678,1.8788647145427777,1.827059752566465,2.0154685176003966
01,Araba/Álava,2019,11,2019M11,45532,24533,12265,6081,57797,30615,1.8878654254450433,1.8559491297436106,2.016938003617826
01,Araba/Álava,2019,12,2019M12,45376,24722,9283,4623,54659,29345,1.862634179587664,1.8354502062939893,2.0080034609560893
01,Araba/Álava,2020,1,2020M01,33699,18569,9803,5416,43502,23985,1.8137169063998333,1.8147988583122407,1.8100073855243721
01,Araba/Álava,2020,2,2020M02,37775,20938,9296,4646,47071,25584,1.8398608505315823,1.8041360206323431,2.0008609556607833
01,Araba/Álava,2020,3,2020M03,17097,8491,5647,2797,22743,11288,2.01479447200567,2.0135437522082205,2.01894887379335
01,Araba/Álava,2020,4,2020M04,0,0,0,0,0,0,,,
01,Araba/Álava,2020,5,2020M05,3708,826,906,256,4614,1082,4.264325323475046,4.4891041162227605,3.5390625
01,Araba/Álava,2020,6,2020M06,13825,6594,2515,1043,16339,7637,2.1394526646588976,2.096602972399151,2.411313518696069
01,Araba/Álava,2020,7,2020M07,30502,16245,8849,5498,39351,21743,1.809823851354459,1.8776238842720838,1.6094943615860313
01,Araba/Álava,2020,8,2020M08,41086,20302,10111,6705,51197,27007,1.8956937090383974,2.0237415033001676,1.507979120059657
01,Araba/Álava,2020,9,2020M09,29721,15353,5616,2615,35337,17968,1.9666629563668745,1.935843157689051,2.1476099426386233
01,Araba/Álava,2020,10,2020M10,28207,15012,6407,3005,34614,18017,1.9211855469834045,1.8789634958699706,2.1321131447587356
01,Araba/Álava,2020,11,2020M11,14890,6116,3491,1449,18382,7565,2.4298744216787838,2.434597776324395,2.409247757073844
01,Araba/Álava,2020,12,2020M12,13809,6626,3606,1647,17415,8273,2.105040493170555,2.0840627829761544,2.1894353369763206
01,Araba/Álava,2021,1,2021M01,13164,6823,4097,2155,17261,8978,1.9225885497883717,1.9293565880111387,1.9011600928074246
01,Araba/Álava,2021,2,2021M02,13510,6304,3112,1226,16621,7530,2.20730411686587,2.1430837563451774,2.538336052202284
01,Araba/Álava,2021,3,2021M03,23829,12678,3828,1986,27656,14664,1.8859792689579924,1.8795551348793185,1.9274924471299093
01,Araba/Álava,2021,4,2021M04,24402,12639,4398,2098,28800,14737,1.9542647757345457,1.9306907192024685,2.09628217349857
01,Araba/Álava,2021,5,2021M05,27823,15377,4632,2643,32455,18021,1.8009544420398425,1.8093906483709437,1.7525539160045402
01,Araba/Álava,2021,6,2021M06,38602,20582,8047,4264,46650,24846,1.8775658053610238,1.8755223010397435,1.8871951219512195
01,Araba/Álava,2021,7,2021M07,52436,28214,16957,10619,69394,38834,1.7869392800123602,1.8585099595945276,1.59685469441567
01,Araba/Álava,2021,8,2021M08,80368,38753,17830,12265,98198,51019,1.9247339226562654,2.0738523469150776,1.4537301263758662
01,Araba/Álava,2021,9,2021M09,51177,26044,18492,10044,69669,36088,1.930530924407005,1.9650207341422208,1.8410991636798089
01,Araba/Álava,2021,10,2021M10,56836,29148,16468,9204,73305,38352,1.9113735919899875,1.9499108000548924,1.7892220773576706
01,Araba/Álava,2021,11,2021M11,43306,22056,13178,6302,56484,28358,1.9918188870865365,1.963456655785274,2.0910821961282133
01,Araba/Álava,2021,12,2021M12,42688,21270,8886,4488,51574,25758,2.002251727618604,2.006958157028679,1.9799465240641712
01,Araba/Álava,2022,1,2022M01,28243,14076,7540,4006,35783,18082,1.9789293219776574,2.0064649048025007,1.8821767348976535
01,Araba/Álava,2022,2,2022M02,35958,18289,8782,4280,44740,22569,1.9823651911914573,1.9660998414347421,2.0518691588785045
01,Araba/Álava,2022,3,2022M03,45593,23209,12828,6003,58421,29211,1.9999657663209065,1.964453444784351,2.1369315342328834
01,Araba/Álava,2022,4,2022M04,50651,26586,15935,8969,66587,35555,1.8727886373224583,1.9051756563604905,1.7766752146281637
01,Araba/Álava,2022,5,2022M05,48807,25469,21770,11329,70577,36798,1.917957497690092,1.9163296556598217,1.9216170888869273
01,Araba/Álava,2022,6,2022M06,48457,24420,24698,13411,73155,37831,1.9337315957812375,1.9843161343161344,1.84162254865409
01,Araba/Álava,2022,7,2022M07,55786,28057,34297,20638,90083,48695,1.8499435260293664,1.98830951277756,1.6618373873437349
01,Araba/Álava,2022,8,2022M08,70075,31811,31222,20632,101297,52443,1.9315637930705718,2.202854358555217,1.5132803412175262
01,Araba/Álava,2022,9,2022M09,51216,26529,26209,14493,77425,41022,1.8874018819170202,1.9305665498134117,1.8083902573656248
01,Araba/Álava,2022,10,2022M10,55261,28037,21870,10666,77130,38704,1.992817279867714,1.9710026037022506,2.0504406525407837
01,Araba/Álava,2022,11,2022M11,46690,24043,13508,6280,60198,30324,1.985160269093787,1.9419373622260117,2.150955414012739
01,Araba/Álava,2022,12,2022M12,46784,24316,10819,5299,57603,29615,1.9450616241769374,1.924000658002961,2.041705982260804
01,Araba/Álava,2023,1,2023M01,38834,20262,11352,5387,50186,25649,1.9566454832547078,1.9165926364623433,2.107295340634862
01,Araba/Álava,2023,2,2023M02,40000,19895,14743,5553,54743,25448,2.151171015403961,2.0105554159336516,2.654961282189807
01,Araba/Álava,2023,3,2023M03,48266,24858,14916,7003,63182,31862,1.9829891406691356,1.94166867809156,2.129944309581608
01,Araba/Álava,2023,4,2023M04,54406,26990,18795,10599,73201,37590,1.9473530194200586,2.015783623564283,1.7732804981602037
01,Araba/Álava,2023,5,2023M05,47916,24774,24495,13554,72411,38329,1.8891961700018263,1.9341244853475419,1.8072155821159805
01,Araba/Álava,2023,6,2023M06,50180,25701,26489,13805,76670,39506,1.9407178656406623,1.9524532119372786,1.9187975371242303
01,Araba/Álava,2023,7,2023M07,59786,29070,37796,20627,97581,49697,1.9635189246835825,2.056621947024424,1.832355650361177
01,Araba/Álava,2023,8,2023M08,79792,34306,36595,22656,116387,56962,2.0432393525508235,2.325890514778756,1.6152454096045197
01,Araba/Álava,2023,9,2023M09,63203,30018,34580,17288,97783,47306,2.067031666173424,2.105503364647878,2.0002313743637203
01,Araba/Álava,2023,10,2023M10,61601,29266,27164,12874,88765,42140,2.1064309444708114,2.1048657144809675,2.1099891253689607
01,Araba/Álava,2023,11,2023M11,53823,26594,18943,7790,72766,34384,2.1162750116333178,2.0238775663683537,2.4317073170731707
01,Araba/Álava,2023,12,2023M12,53273,26480,14943,6525,68216,33005,2.066838357824572,2.0118202416918427,2.2901149425287355
01,Araba/Álava,2024,1,2024M01,41031,19702,16576,6337,57608,26039,2.2123737470717,2.0825804486854125,2.6157487770238284
01,Araba/Álava,2024,2,2024M02,43119,21675,16388,5430,59508,27106,2.1953810964362135,1.9893425605536332,3.0180478821362797
01,Araba/Álava,2024,3,2024M03,61233,31118,21070,8415,82303,39532,2.0819336233937062,1.967767851404332,2.5038621509209746
01,Araba/Álava,2024,4,2024M04,50247,26132,24911,11349,75158,37481,2.005229316186868,1.9228149395377314,2.1949951537580406
01,Araba/Álava,2024,5,2024M05,56282,29704,29856,14939,86138,44643,1.929485025647918,1.8947616482628602,1.99852734453444
01,Araba/Álava,2024,6,2024M06,56138,27124,28282,14638,84419,41761,2.0214793707047245,2.06967998820233,1.9320945484355787
01,Araba/Álava,2024,7,2024M07,62497,29145,39589,21720,102086,50865,2.0069989187063797,2.1443472293703896,1.8226979742173113
