provincia,anio,renta_bruta_media_por_hogar_eur,renta_bruta_media_por_persona_eur,renta_media_por_unidad_consumo_eur,renta_mediana_por_unidad_consumo_eur,renta_neta_media_por_hogar_eur,renta_neta_media_por_persona_eur
Ceuta,2020,43660,13718,19308,14350,39330,12358
Ceuta,2021,45243,14499,20327,15750,40660,13030
Ceuta,2022,47194,15249,21223,16450,42318,13673
Ceuta,2023,50185,16344,22419,17150,44907,14625
Ciudad Real,2015,26652,10128,13270,10850,23119,8786
Ciudad Real,2016,27558,10466,13677,11550,23845,9056
Ciudad Real,2017,28549,11000,14284,12250,24608,9482
Ciudad Real,2018,29897,11635,15042,12950,25698,10001
Ciudad Real,2019,31122,12163,15650,13650,26691,10431
Ciudad Real,2020,31391,12361,15814,13650,26842,10570
Ciudad Real,2021,32794,12992,16524,14350,27895,11051
Ciudad Real,2022,34589,13845,17467,15050,29290,11724
Ciudad Real,2023,36909,14872,18468,16450,31095,12529
"Coruña, A",2015,33199,13096,16488,14350,27947,11024
"Coruña, A",2016,34248,13560,17062,15050,28750,11383
"Coruña, A",2017,35161,13979,17507,15050,29444,11706
"Coruña, A",2018,36620,14635,18244,15750,30546,12207
"Coruña, A",2019,38125,15310,19047,16450,31785,12764
"Coruña, A",2020,37980,15381,19080,16450,31710,12841
"Coruña, A",2021,39410,16081,19759,17150,32643,13319
"Coruña, A",2022,42096,17349,21132,18550,34683,14294
"Coruña, A",2023,45187,18720,22422,19950,36978,15319
Cuenca,2015,25607,10292,13362,11550,22415,9009
Cuenca,2016,26735,10578,13694,11550,23314,9224
Cuenca,2017,27621,11196,14393,12250,23986,9722
Cuenca,2018,28799,11755,15066,12950,25019,10212
Cuenca,2019,30152,12319,15749,13650,26140,10680
Cuenca,2020,30928,12722,16132,14350,26719,10991
Cuenca,2021,32505,13443,16973,15050,27927,11550
Cuenca,2022,33937,14038,17657,15750,29064,12022
Cuenca,2023,35929,14921,18512,16450,30641,12725
Cáceres,2015,24706,10428,13333,11550,21514,9081
Cáceres,2016,25031,10634,13543,11550,21765,9247
Cáceres,2017,25750,10992,13966,12250,22359,9544
Cáceres,2018,26721,11526,14590,12250,23205,10009
Cáceres,2019,27993,12157,15308,13650,24262,10537
Cáceres,2020,28177,12323,15448,13650,24373,10660
Cáceres,2021,29666,13076,16265,14350,25497,11238
Cáceres,2022,31097,13816,17032,15050,26529,11786
Cáceres,2023,33494,14949,18255,16450,28614,12771
Cádiz,2015,27311,9841,13052,10850,23560,8489
Cádiz,2016,27892,10088,13360,11550,24044,8696
Cádiz,2017,28830,10505,13846,11550,24777,9028
Cádiz,2018,30224,11094,14561,12250,25905,9509
Cádiz,2019,31811,11741,15345,13650,27243,10055
Cádiz,2020,31741,11811,15363,12950,27179,10113
Cádiz,2021,33550,12609,16250,14350,28501,10712
Cádiz,2022,35541,13476,17235,15050,30055,11396
Cádiz,2023,38309,14619,18414,15750,32323,12335
Córdoba,2015,26424,9948,13039,10850,22879,8614
Córdoba,2016,27270,10300,13436,11550,23541,8892
Córdoba,2017,28347,10802,14022,12250,24379,9290
Córdoba,2018,29424,11317,14635,12250,25246,9710
Córdoba,2019,30671,11874,15318,12950,26299,10182
Córdoba,2020,30839,12019,15458,12950,26462,10314
Córdoba,2021,32782,12895,16439,14350,27909,10979
Córdoba,2022,34316,13652,17269,15050,29082,11569
Córdoba,2023,36646,14682,18384,15750,30917,12386
Gipuzkoa,2015,,,,,,
Gipuzkoa,2016,42457,17920,21973,19950,35751,15090
Gipuzkoa,2017,43744,18380,22478,19950,36586,15372
Gipuzkoa,2018,45288,19041,23223,20650,37797,15891
Gipuzkoa,2019,47211,19785,24028,21350,39283,16463
Gipuzkoa,2020,46852,19689,23923,21350,39023,16399
Gipuzkoa,2021,48263,20381,24593,22050,39988,16887
Gipuzkoa,2022,52066,21988,26642,24150,43392,18325
Gipuzkoa,2023,55995,23614,28434,26250,46514,19616
Girona,2015,35373,13298,16870,15050,29514,11095
Girona,2016,36691,13708,17359,15050,30536,11409
Girona,2017,38111,14310,18005,15750,31537,11841
Girona,2018,39910,14968,18795,16450,32943,12355
Girona,2019,41630,15587,19505,17150,34301,12843
Girona,2020,41546,15623,19483,17150,34212,12865
Girona,2021,43738,16574,20429,17850,35585,13485
Girona,2022,46303,17529,21457,18550,37444,14176
Girona,2023,49742,18765,22590,19950,40105,15130
Granada,2015,26719,10305,13354,11550,23018,8877
Granada,2016,27364,10566,13666,11550,23542,9090
Granada,2017,28252,11013,14166,12250,24216,9440
Granada,2018,29444,11555,14828,12250,25190,9885
Granada,2019,30878,12168,15537,12950,26342,10380
Granada,2020,30938,12274,15608,12950,26373,10463
Granada,2021,32809,13124,16547,14350,27748,11100
Granada,2022,34534,13943,17473,15050,29113,11754
Granada,2023,37261,15122,18642,15750,31314,12709
Guadalajara,2015,33717,13080,16646,15050,28449,11036
Guadalajara,2016,34566,13327,16941,15050,29080,11212
Guadalajara,2017,35551,13811,17496,15750,29862,11600
Guadalajara,2018,37083,14415,18202,16450,31083,12083
Guadalajara,2019,38620,14958,18842,17150,32329,12521
Guadalajara,2020,38782,15096,18914,17150,32431,12624
Guadalajara,2021,40445,15823,19701,17850,33609,13149
Guadalajara,2022,42995,16744,20702,18550,35509,13829
Guadalajara,2023,45961,17859,21795,19950,37803,14689
Huelva,2015,26066,9692,12777,10850,22595,8401
Huelva,2016,26753,9912,13059,11550,23173,8585
Huelva,2017,27703,10357,13589,11550,23936,8948
Huelva,2018,29108,10927,14288,12250,25082,9416
Huelva,2019,30647,11560,15083,12950,26398,9958
Huelva,2020,30887,11767,15239,12950,26542,10112
Huelva,2021,32506,12418,15993,14350,27770,10609
Huelva,2022,34212,13152,16835,15050,29133,11199
Huelva,2023,36602,14148,17893,15750,31066,12008
Huesca,2015,33471,13334,16809,15050,28357,11297
Huesca,2016,34257,13580,17061,15050,28955,11478
Huesca,2017,35488,14239,17783,15750,29793,11954
Huesca,2018,37066,14920,18568,16450,31084,12513
Huesca,2019,38439,15469,19177,17150,32176,12949
Huesca,2020,38974,15769,19449,17150,32521,13158
Huesca,2021,40617,16534,20187,18550,33603,13679
Huesca,2022,42395,17312,21013,19250,34901,14252
Huesca,2023,45024,18419,22156,19950,37009,15140
Jaén,2015,24838,9482,12511,10850,21789,8318
Jaén,2016,26065,10020,13134,11550,22752,8747
Jaén,2017,26881,10385,13575,11550,23408,9044
Jaén,2018,27785,10830,14114,12250,24160,9417
Jaén,2019,28743,11280,14656,12950,24865,9758
Jaén,2020,28953,11468,14825,12950,25141,9958
Jaén,2021,31120,12408,15902,13650,26808,10689
Jaén,2022,31877,12870,16414,14350,27429,11074
Jaén,2023,33920,13800,17412,15050,29119,11847
León,2015,30549,13016,16184,14350,26141,11138
León,2016,31061,13272,16500,14350,26563,11350
León,2017,31629,13690,16946,15050,27038,11702
León,2018,32833,14328,17665,15750,28009,12222
León,2019,34074,14956,18361,16450,29060,12755
León,2020,34317,15183,18553,16450,29196,12917
León,2021,35524,15855,19222,17150,30024,13400
León,2022,37429,16864,20239,18550,31392,14144
León,2023,39999,18108,21417,19250,33378,15110
Lleida,2015,33463,12950,16412,14350,28202,10914
Lleida,2016,34441,13330,16831,14350,28957,11208
Lleida,2017,35760,13923,17495,15050,29856,11624
Lleida,2018,37767,14548,18266,15750,31474,12124
Lleida,2019,39359,15144,18994,16450,32796,12618
Lleida,2020,40061,15512,19350,17150,33305,12896
Lleida,2021,42006,16326,20094,17850,34308,13334
Lleida,2022,43564,16948,20777,18550,35640,13865
Lleida,2023,46318,18016,21822,19250,37826,14713
Lugo,2015,28775,11861,15143,13650,24946,10283
Lugo,2016,29435,12168,15511,13650,25500,10541
Lugo,2017,30254,12601,15975,14350,26118,10878
Lugo,2018,31300,13152,16614,15050,26977,11335
Lugo,2019,32630,13784,17358,15750,28067,11856
Lugo,2020,32881,14028,17544,15750,28176,12021
Lugo,2021,34212,14738,18257,16450,29158,12560
Lugo,2022,36237,15767,19376,17150,30709,13362
Lugo,2023,38985,16997,20578,18550,32837,14316
Madrid,2015,46273,17128,21150,17150,37225,13779
Madrid,2016,47658,17552,21632,17150,38297,14104
Madrid,2017,48744,18082,22193,17850,38983,14461
Madrid,2018,51437,19042,23279,18550,40929,15153
Madrid,2019,52794,19481,23820,19250,42058,15520
Madrid,2020,52493,19550,23794,19250,41830,15579
Madrid,2021,54564,20471,24666,19950,43037,16146
Madrid,2022,58120,21775,26141,21350,45726,17131
Madrid,2023,62303,23159,27444,22050,48806,18142
Melilla,2015,39402,11151,16132,11550,35196,9961
Melilla,2016,39968,11377,16453,12250,35748,10176
Melilla,2017,40426,11541,16670,12250,36128,10314
Melilla,2018,41830,12081,17592,12950,37829,10925
Melilla,2019,43936,12676,18434,13650,39730,11463
Melilla,2020,44129,12912,18701,13650,39868,11665
Melilla,2021,46439,13879,20044,15050,41846,12506
Melilla,2022,48256,14603,21013,15750,43422,13140
Melilla,2023,51216,15585,22055,17150,45989,13995
Murcia,2015,30213,10424,13876,11550,25819,8908
Murcia,2016,31036,10681,14204,12250,26512,9124
Murcia,2017,32210,11200,14794,12950,27372,9518
Murcia,2018,33607,11718,15444,13650,28531,9948
Murcia,2019,35327,12300,16163,13650,29932,10422
Murcia,2020,35729,12522,16391,14350,30171,10574
Murcia,2021,37138,13095,17041,15050,31262,11023
Murcia,2022,39044,13832,17876,15750,32743,11599
Murcia,2023,41763,14872,18972,16450,34951,12446
Málaga,2015,26942,10133,13365,11550,23102,8688
Málaga,2016,27758,10354,13713,11550,23736,8854
Málaga,2017,29085,10947,14355,12250,24743,9313
Málaga,2018,30742,11591,15161,12950,26076,9832
Málaga,2019,32451,12226,15938,13650,27439,10338
Málaga,2020,32034,12136,15786,13650,27084,10261
Málaga,2021,34126,13053,16787,14350,28574,10929
Málaga,2022,36867,14129,18050,15750,30644,11744
Málaga,2023,40805,15602,19335,16450,33868,12950
Navarra,2015,,,,,,
Navarra,2016,,,,,,
Navarra,2017,,,,,,
Navarra,2018,,,,,,
Navarra,2019,,,,,,
Navarra,2020,,,,,,
Navarra,2021,47436,18245,21981,20100,38267,14718
Navarra,2022,50311,19356,23363,21405,40760,15681
Navarra,2023,53547,20588,24406,22387,42714,16423
Ourense,2015,27403,11738,14916,12950,23787,10189
Ourense,2016,27934,12021,15226,13650,24203,10415
Ourense,2017,28598,12407,15628,13650,24730,10729
Ourense,2018,29666,12993,16309,14350,25642,11230
Ourense,2019,31022,13617,17023,15050,26720,11729
Ourense,2020,31304,13851,17239,15750,26979,11937
Ourense,2021,32436,14465,17848,15750,27727,12365
Ourense,2022,34140,15317,18791,16450,29073,13043
Ourense,2023,36744,16562,19984,17850,31170,14049
Palencia,2015,31484,13339,16594,15050,26887,11392
Palencia,2016,32351,13760,17077,15750,27629,11752
Palencia,2017,32901,14110,17457,15750,28036,12024
Palencia,2018,34073,14730,18150,16450,28971,12525
Palencia,2019,35329,15316,18809,17150,30010,13010
Palencia,2020,35554,15497,18960,17150,30176,13153
Palencia,2021,36792,16165,19594,17850,31008,13624
Palencia,2022,38327,17013,20448,18550,32105,14251
Palencia,2023,40797,18156,21553,19250,34037,15147
"Palmas, Las",2015,31155,11217,14680,12250,26520,9548
"Palmas, Las",2016,32276,11551,15093,12950,27379,9799
"Palmas, Las",2017,33763,12220,15874,13650,28537,10328
"Palmas, Las",2018,35369,12849,16659,14350,29899,10862
"Palmas, Las",2019,36920,13428,17352,15050,31168,11336
"Palmas, Las",2020,35832,13182,17019,14350,30367,11172
"Palmas, Las",2021,37399,13912,17823,15050,31443,11697
"Palmas, Las",2022,40654,15200,19384,16450,34010,12716
"Palmas, Las",2023,44535,16603,20758,17850,37032,13806
Pontevedra,2015,31658,11959,15309,13650,26877,10153
Pontevedra,2016,32105,12146,15752,13650,27364,10353
Pontevedra,2017,33116,12633,16283,14350,28117,10726
Pontevedra,2018,34332,13224,16965,15050,29129,11220
Pontevedra,2019,35910,13891,17756,15750,30315,11726
Pontevedra,2020,36011,14039,17872,15750,30475,11881
Pontevedra,2021,37517,14779,18632,16450,31541,12425
Pontevedra,2022,39690,15731,19705,17850,33230,13170
Pontevedra,2023,42569,16949,20909,18550,35506,14137
"Rioja, La",2015,32699,13321,16582,14350,27471,11191
"Rioja, La",2016,33836,13776,17107,15050,28333,11536
"Rioja, La",2017,34817,14269,17625,15750,29070,11914
"Rioja, La",2018,36295,14932,18410,16450,30286,12460
"Rioja, La",2019,37836,15513,19101,17150,31535,12930
"Rioja, La",2020,37066,15309,18778,16450,30843,12738
"Rioja, La",2021,38641,16015,19479,17150,31884,13215
"Rioja, La",2022,40793,16976,20436,18550,33314,13864
"Rioja, La",2023,43448,18119,21551,19250,35555,14827
Salamanca,2015,29221,12466,15524,12950,25002,10667
Salamanca,2016,29795,12776,15903,13650,25481,10926
Salamanca,2017,30566,13194,16363,14350,26127,11278
Salamanca,2018,31671,13802,17019,15050,26989,11762
Salamanca,2019,33016,14406,17694,15050,28050,12240
Salamanca,2020,33127,14550,17808,15750,28130,12355
Salamanca,2021,34581,15314,18581,16450,29176,12920
Salamanca,2022,36392,16274,19530,17150,30435,13610
Salamanca,2023,38869,17488,20687,17850,32411,14583
