indicador,valor
filas_fuente,782
columnas_fuente,126
filas_periodicas_seleccionadas,1056
filas_anuales_largo,88
filas_anuales_ancho,11
anio_inicial,2015
anio_final,2025
variables_seleccionadas,8
nulos_periodicos,264
nulos_anuales,0
duplicados_fecha_variable,0
duplicados_anio_variable,0
grupos_anuales_cobertura_incompleta,0
