codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,sexo,anio,poblacion
04,"Balears, Illes",07,"Balears, Illes",Total,2025,1249844
09,Cataluña,08,Barcelona,Hombres,2021,2785890
09,Cataluña,08,Barcelona,Mujeres,2021,2916372
09,Cataluña,08,Barcelona,Total,2021,5702262
09,Cataluña,08,Barcelona,Hombres,2022,2783698
09,Cataluña,08,Barcelona,Mujeres,2022,2915904
09,Cataluña,08,Barcelona,Total,2022,5699602
09,Cataluña,08,Barcelona,Hombres,2023,2830260
09,Cataluña,08,Barcelona,Mujeres,2023,2967096
09,Cataluña,08,Barcelona,Total,2023,5797356
09,Cataluña,08,Barcelona,Hombres,2024,2870721
09,Cataluña,08,Barcelona,Mujeres,2024,3006951
09,Cataluña,08,Barcelona,Total,2024,5877672
09,Cataluña,08,Barcelona,Hombres,2025,2916664
09,Cataluña,08,Barcelona,Mujeres,2025,3043277
09,Cataluña,08,Barcelona,Total,2025,5959941
16,País Vasco,48,Bizkaia,Hombres,2021,557190
16,País Vasco,48,Bizkaia,Mujeres,2021,596445
16,País Vasco,48,Bizkaia,Total,2021,1153635
16,País Vasco,48,Bizkaia,Hombres,2022,554748
16,País Vasco,48,Bizkaia,Mujeres,2022,593929
16,País Vasco,48,Bizkaia,Total,2022,1148677
16,País Vasco,48,Bizkaia,Hombres,2023,557146
16,País Vasco,48,Bizkaia,Mujeres,2023,596136
16,País Vasco,48,Bizkaia,Total,2023,1153282
16,País Vasco,48,Bizkaia,Hombres,2024,560523
16,País Vasco,48,Bizkaia,Mujeres,2024,598845
16,País Vasco,48,Bizkaia,Total,2024,1159368
16,País Vasco,48,Bizkaia,Hombres,2025,564945
16,País Vasco,48,Bizkaia,Mujeres,2025,602288
16,País Vasco,48,Bizkaia,Total,2025,1167233
07,Castilla y León,09,Burgos,Hombres,2021,178040
07,Castilla y León,09,Burgos,Mujeres,2021,178002
07,Castilla y León,09,Burgos,Total,2021,356042
07,Castilla y León,09,Burgos,Hombres,2022,177509
07,Castilla y León,09,Burgos,Mujeres,2022,177337
07,Castilla y León,09,Burgos,Total,2022,354846
07,Castilla y León,09,Burgos,Hombres,2023,178592
