comunidad_autonoma,provincia,anio,poblacion,edad_media,pct_menor_18,pct_65_mas,tamano_medio_hogar,pct_hogares_unipersonales,pct_poblacion_espanola
Cataluña,Barcelona,2022,,43.0,17.2,19.4,2.6,27.1,84.3
Cataluña,Barcelona,2023,,43.1,16.8,19.6,2.6,27.0,83.6
País Vasco,Bizkaia,2015,,44.7,15.9,21.7,2.5,26.6,94.2
País Vasco,Bizkaia,2016,,44.9,16.0,22.0,2.5,27.1,94.1
País Vasco,Bizkaia,2017,,45.1,16.0,22.3,2.4,27.8,93.7
País Vasco,Bizkaia,2018,,45.3,15.8,22.6,2.4,28.3,93.2
País Vasco,Bizkaia,2019,,45.5,15.7,22.8,2.4,28.6,92.5
País Vasco,Bizkaia,2020,,45.8,15.5,23.1,2.4,29.0,92.2
País Vasco,Bizkaia,2021,,46.0,15.3,23.5,2.4,29.7,92.2
País Vasco,Bizkaia,2022,,46.1,15.1,23.8,2.4,30.2,91.6
País Vasco,Bizkaia,2023,,46.3,14.9,24.2,2.4,30.6,91.0
Castilla y León,Burgos,2015,357.779,45.1,15.7,22.4,2.4,33.9,92.9
Castilla y León,Burgos,2016,354.925,45.4,15.8,22.8,2.4,34.3,93.2
Castilla y León,Burgos,2017,353.826,45.6,15.8,23.1,2.4,34.4,93.0
Castilla y León,Burgos,2018,351.889,45.8,15.6,23.4,2.3,34.8,92.6
Castilla y León,Burgos,2019,352.113,46.0,15.6,23.7,2.3,34.9,92.0
Castilla y León,Burgos,2020,351.322,46.2,15.4,23.9,2.3,35.2,91.9
Castilla y León,Burgos,2021,350.193,46.5,15.2,24.4,2.3,35.7,91.7
Castilla y León,Burgos,2022,351.719,46.6,15.2,24.7,2.3,36.0,91.0
Castilla y León,Burgos,2023,354.235,46.8,15.0,25.1,2.3,36.5,90.3
Cantabria,Cantabria,2015,577.635,44.1,16.1,20.4,2.5,29.3,94.8
Cantabria,Cantabria,2016,575.721,44.4,16.2,20.8,2.5,29.4,94.9
Cantabria,Cantabria,2017,575.538,44.6,16.2,21.2,2.5,29.6,94.7
Cantabria,Cantabria,2018,574.754,44.9,16.1,21.6,2.5,30.0,94.4
Cantabria,Cantabria,2019,576.277,45.2,15.9,21.9,2.5,30.2,93.8
Cantabria,Cantabria,2020,578.247,45.5,15.7,22.3,2.4,30.4,93.8
Cantabria,Cantabria,2021,579.078,45.8,15.4,22.8,2.4,30.7,93.6
Cantabria,Cantabria,2022,581.828,46.0,15.2,23.3,2.4,31.1,93.1
Cantabria,Cantabria,2023,583.796,46.2,14.9,23.8,2.4,31.4,92.6
Comunitat Valenciana,Castellón/Castelló,2015,575.292,41.9,18.3,18.2,2.5,29.3,85.6
Comunitat Valenciana,Castellón/Castelló,2016,572.685,42.2,18.3,18.5,2.5,29.6,86.2
Comunitat Valenciana,Castellón/Castelló,2017,573.656,42.4,18.2,18.8,2.5,29.7,85.9
Comunitat Valenciana,Castellón/Castelló,2018,575.156,42.7,18.1,19.0,2.5,30.0,85.5
Comunitat Valenciana,Castellón/Castelló,2019,580.299,42.9,17.9,19.2,2.5,30.1,84.8
Comunitat Valenciana,Castellón/Castelló,2020,583.456,43.2,17.6,19.5,2.5,30.4,84.8
Comunitat Valenciana,Castellón/Castelló,2021,585.878,43.4,17.5,19.6,2.4,30.7,84.6
Comunitat Valenciana,Castellón/Castelló,2022,598.472,43.4,17.4,19.7,2.4,30.9,83.4
Comunitat Valenciana,Castellón/Castelló,2023,608.761,43.6,17.2,19.9,2.4,31.0,82.5
Ceuta,Ceuta,2015,80.517,36.5,24.2,11.4,3.2,23.3,93.6
Ceuta,Ceuta,2016,80.95,36.6,24.4,11.5,3.2,23.2,93.4
Ceuta,Ceuta,2017,81.428,36.8,24.3,11.7,3.1,24.5,93.1
Ceuta,Ceuta,2018,80.968,37.1,24.0,12.0,3.1,24.4,93.2
Ceuta,Ceuta,2019,80.496,37.5,23.6,12.3,3.1,24.8,93.2
Ceuta,Ceuta,2020,80.152,37.8,23.2,12.6,3.1,24.9,93.6
Ceuta,Ceuta,2021,79.411,38.1,22.7,12.8,3.0,25.5,94.1
Ceuta,Ceuta,2022,79.542,38.3,22.1,13.1,3.0,25.8,94.3
Ceuta,Ceuta,2023,79.953,38.7,21.4,13.4,3.0,26.0,94.2
Castilla - La Mancha,Ciudad Real,2015,505.84,42.4,17.5,19.3,2.6,27.5,93.9
Castilla - La Mancha,Ciudad Real,2016,500.814,42.7,17.5,19.5,2.6,27.7,94.3
Castilla - La Mancha,Ciudad Real,2017,497.059,43.0,17.4,19.8,2.6,28.0,94.2
Castilla - La Mancha,Ciudad Real,2018,492.317,43.3,17.2,20.1,2.5,28.4,94.2
Castilla - La Mancha,Ciudad Real,2019,491.055,43.6,17.0,20.3,2.5,28.6,93.7
Castilla - La Mancha,Ciudad Real,2020,489.374,43.8,16.8,20.3,2.5,29.0,93.7
Castilla - La Mancha,Ciudad Real,2021,487.503,44.0,16.7,20.5,2.5,29.3,93.6
Castilla - La Mancha,Ciudad Real,2022,488.159,44.3,16.5,20.9,2.5,29.8,93.2
Castilla - La Mancha,Ciudad Real,2023,489.018,44.5,16.3,21.4,2.5,30.2,92.7
Galicia,"Coruña, A",2015,,45.6,14.5,23.5,2.5,28.2,97.2
Galicia,"Coruña, A",2016,,45.9,14.6,23.8,2.5,28.4,97.2
Galicia,"Coruña, A",2017,,46.1,14.6,24.2,2.5,28.5,96.9
Galicia,"Coruña, A",2018,,46.4,14.6,24.5,2.5,28.7,96.6
Galicia,"Coruña, A",2019,,46.6,14.5,24.8,2.5,29.0,96.2
Galicia,"Coruña, A",2020,,46.9,14.4,25.1,2.5,29.3,96.1
Galicia,"Coruña, A",2021,,47.2,14.2,25.4,2.4,29.8,95.8
Galicia,"Coruña, A",2022,,47.3,14.1,25.7,2.4,30.4,95.3
Galicia,"Coruña, A",2023,,47.5,13.9,26.0,2.4,30.8,94.7
Castilla - La Mancha,Cuenca,2015,201.828,44.7,15.7,22.9,2.5,32.0,90.0
Castilla - La Mancha,Cuenca,2016,198.294,45.0,15.7,23.1,2.5,32.2,90.2
Castilla - La Mancha,Cuenca,2017,196.665,45.2,15.7,23.2,2.5,32.2,90.0
Castilla - La Mancha,Cuenca,2018,194.914,45.4,15.4,23.2,2.4,32.6,89.5
Castilla - La Mancha,Cuenca,2019,194.737,45.6,15.3,23.1,2.4,32.7,88.7
Castilla - La Mancha,Cuenca,2020,194.127,45.6,15.1,22.9,2.4,33.0,88.6
Castilla - La Mancha,Cuenca,2021,193.959,45.8,14.9,23.0,2.4,33.4,88.4
Castilla - La Mancha,Cuenca,2022,196.629,45.8,14.8,23.0,2.4,33.5,87.1
Castilla - La Mancha,Cuenca,2023,197.07,46.0,14.6,23.3,2.4,33.8,86.3
Extremadura,Cáceres,2015,402.775,44.6,15.5,21.9,2.3,33.6,96.6
Extremadura,Cáceres,2016,398.994,44.9,15.4,22.1,2.3,33.9,96.8
Extremadura,Cáceres,2017,395.672,45.2,15.4,22.4,2.3,34.0,96.8
Extremadura,Cáceres,2018,392.043,45.5,15.2,22.7,2.3,34.6,96.7
Extremadura,Cáceres,2019,389.774,45.8,15.0,23.0,2.3,35.0,96.5
Extremadura,Cáceres,2020,387.514,46.1,14.8,23.2,2.3,35.4,96.5
Extremadura,Cáceres,2021,385.8,46.3,14.7,23.6,2.3,35.9,96.4
Extremadura,Cáceres,2022,385.028,46.6,14.5,24.0,2.2,36.3,96.1
Extremadura,Cáceres,2023,385.214,46.8,14.3,24.5,2.2,36.7,95.8
Andalucía,Cádiz,2015,,40.0,19.7,15.3,2.7,23.7,96.7
Andalucía,Cádiz,2016,,40.3,19.7,15.6,2.7,23.9,96.7
Andalucía,Cádiz,2017,,40.7,19.6,16.0,2.7,23.9,96.6
Andalucía,Cádiz,2018,,41.1,19.3,16.4,2.7,24.2,96.4
Andalucía,Cádiz,2019,,41.4,19.0,16.8,2.7,24.5,96.0
Andalucía,Cádiz,2020,,41.8,18.7,17.2,2.7,24.8,95.9
Andalucía,Cádiz,2021,,42.2,18.4,17.6,2.6,25.4,95.8
Andalucía,Cádiz,2022,,42.5,18.0,18.1,2.6,25.7,95.4
Andalucía,Cádiz,2023,,42.9,17.5,18.6,2.6,26.2,95.1
Andalucía,Córdoba,2015,785.592,41.7,18.3,18.2,2.6,25.0,97.4
Andalucía,Córdoba,2016,781.61,42.0,18.2,18.4,2.6,25.3,97.5
Andalucía,Córdoba,2017,777.841,42.3,18.1,18.7,2.6,25.5,97.4
Andalucía,Córdoba,2018,772.346,42.7,17.8,19.0,2.6,26.0,97.3
Andalucía,Córdoba,2019,770.808,43.0,17.6,19.3,2.6,26.2,97.1
Andalucía,Córdoba,2020,766.887,43.3,17.4,19.6,2.5,26.6,97.2
Andalucía,Córdoba,2021,763.679,43.6,17.1,20.0,2.5,27.2,97.2
Andalucía,Córdoba,2022,763.643,43.8,16.9,20.4,2.5,27.7,96.8
Andalucía,Córdoba,2023,762.441,44.1,16.6,20.9,2.5,28.2,96.5
País Vasco,Gipuzkoa,2015,712.539,43.7,17.5,21.1,2.4,31.2,93.4
País Vasco,Gipuzkoa,2016,714.383,43.9,17.6,21.4,2.4,31.3,93.2
País Vasco,Gipuzkoa,2017,715.701,44.1,17.5,21.8,2.4,31.1,92.9
País Vasco,Gipuzkoa,2018,716.837,44.4,17.3,22.0,2.4,31.2,92.4
País Vasco,Gipuzkoa,2019,719.841,44.6,17.1,22.3,2.4,31.1,91.7
País Vasco,Gipuzkoa,2020,719.814,44.8,16.9,22.6,2.4,31.2,91.6
País Vasco,Gipuzkoa,2021,717.113,45.1,16.7,23.0,2.4,31.5,91.5
