comunidad_autonoma,provincia,anio,poblacion,edad_media,pct_menor_18,pct_65_mas,tamano_medio_hogar,pct_hogares_unipersonales,pct_poblacion_espanola
Galicia,Ourense,2019,301.936,50.0,12.0,30.9,2.3,35.0,94.9
Galicia,Ourense,2020,300.764,50.1,12.0,31.0,2.2,35.4,94.7
Galicia,Ourense,2021,299.183,50.4,11.9,31.2,2.2,36.0,94.6
Galicia,Ourense,2022,299.586,50.4,11.9,31.3,2.2,36.3,93.7
Galicia,Ourense,2023,299.182,50.5,11.9,31.4,2.2,36.8,93.0
Castilla y León,Palencia,2015,162.613,46.5,13.8,23.7,2.4,32.3,96.2
Castilla y León,Palencia,2016,161.456,46.7,13.8,24.0,2.3,32.6,96.3
Castilla y León,Palencia,2017,160.1,47.0,13.8,24.4,2.3,33.1,96.1
Castilla y León,Palencia,2018,158.741,47.2,13.8,24.8,2.3,33.7,95.9
Castilla y León,Palencia,2019,157.993,47.5,13.7,25.2,2.3,33.8,95.5
Castilla y León,Palencia,2020,157.145,47.7,13.6,25.6,2.3,34.2,95.4
Castilla y León,Palencia,2021,156.021,47.9,13.5,26.3,2.3,34.8,95.3
Castilla y León,Palencia,2022,155.771,48.1,13.5,26.8,2.2,35.4,94.7
Castilla y León,Palencia,2023,156.078,48.3,13.4,27.4,2.2,35.7,94.0
Canarias,"Palmas, Las",2015,,40.3,17.5,13.9,2.7,27.3,88.5
Canarias,"Palmas, Las",2016,,40.7,17.3,14.3,2.7,27.3,88.6
Canarias,"Palmas, Las",2017,,40.9,17.1,14.6,2.7,27.2,88.2
Canarias,"Palmas, Las",2018,,41.3,16.7,14.9,2.7,27.3,87.6
Canarias,"Palmas, Las",2019,,41.7,16.3,15.3,2.7,27.4,87.0
Canarias,"Palmas, Las",2020,,42.2,15.9,15.8,2.7,27.7,87.3
Canarias,"Palmas, Las",2021,,42.6,15.5,16.3,2.6,28.3,87.4
Canarias,"Palmas, Las",2022,,43.0,15.0,16.7,2.6,28.5,86.9
Canarias,"Palmas, Las",2023,,43.3,14.6,17.0,2.6,28.6,86.3
Galicia,Pontevedra,2015,942.433,44.1,15.7,21.3,2.6,27.2,96.8
Galicia,Pontevedra,2016,939.544,44.4,15.7,21.6,2.6,27.3,96.8
Galicia,Pontevedra,2017,938.637,44.7,15.7,22.0,2.6,27.3,96.7
Galicia,Pontevedra,2018,936.764,45.0,15.5,22.3,2.6,27.8,96.4
Galicia,Pontevedra,2019,938.985,45.3,15.4,22.7,2.5,28.1,96.0
Galicia,Pontevedra,2020,938.691,45.6,15.2,23.1,2.5,28.3,96.0
Galicia,Pontevedra,2021,936.996,46.0,14.9,23.5,2.5,28.8,95.9
Galicia,Pontevedra,2022,939.68,46.2,14.7,23.8,2.5,29.2,95.4
Galicia,Pontevedra,2023,940.785,46.5,14.4,24.2,2.5,29.7,95.0
"Rioja, La","Rioja, La",2015,313.734,43.0,17.6,19.9,2.4,30.7,88.7
"Rioja, La","Rioja, La",2016,313.023,43.3,17.6,20.2,2.4,30.8,88.9
"Rioja, La","Rioja, La",2017,313.562,43.6,17.6,20.4,2.4,31.0,88.7
"Rioja, La","Rioja, La",2018,313.804,43.8,17.4,20.6,2.4,31.2,88.3
"Rioja, La","Rioja, La",2019,316.719,43.9,17.3,20.8,2.4,31.1,87.4
"Rioja, La","Rioja, La",2020,316.766,44.1,17.2,21.0,2.4,31.5,87.2
"Rioja, La","Rioja, La",2021,316.756,44.3,17.1,21.3,2.4,31.8,87.0
"Rioja, La","Rioja, La",2022,319.055,44.5,16.9,21.5,2.4,32.2,86.4
"Rioja, La","Rioja, La",2023,320.929,44.6,16.6,21.8,2.4,32.5,85.7
Castilla y León,Salamanca,2015,335.104,46.7,14.2,25.4,2.3,33.7,96.4
Castilla y León,Salamanca,2016,332.353,47.0,14.2,25.7,2.3,34.2,96.5
Castilla y León,Salamanca,2017,330.221,47.3,14.2,26.0,2.3,34.4,96.3
Castilla y León,Salamanca,2018,327.846,47.5,14.0,26.2,2.3,35.0,96.0
Castilla y León,Salamanca,2019,326.881,47.7,13.9,26.4,2.3,35.1,95.5
Castilla y León,Salamanca,2020,324.681,47.9,13.8,26.5,2.3,35.5,95.3
Castilla y León,Salamanca,2021,323.095,48.2,13.7,27.0,2.2,36.1,95.1
Castilla y León,Salamanca,2022,323.847,48.2,13.5,27.3,2.2,36.6,94.6
Castilla y León,Salamanca,2023,324.397,48.4,13.3,27.7,2.2,37.1,93.9
Canarias,Santa Cruz de Tenerife,2015,,41.5,16.7,16.1,2.6,29.4,87.8
Canarias,Santa Cruz de Tenerife,2016,,41.7,16.6,16.3,2.6,29.3,88.0
Canarias,Santa Cruz de Tenerife,2017,,41.9,16.5,16.5,2.7,29.1,87.4
Canarias,Santa Cruz de Tenerife,2018,,42.2,16.2,16.7,2.6,29.0,86.6
Canarias,Santa Cruz de Tenerife,2019,,42.6,15.8,17.0,2.6,28.8,86.0
Canarias,Santa Cruz de Tenerife,2020,,43.0,15.4,17.5,2.6,29.1,86.2
Canarias,Santa Cruz de Tenerife,2021,,43.4,15.1,18.0,2.6,29.5,86.1
Canarias,Santa Cruz de Tenerife,2022,,43.8,14.7,18.4,2.6,29.6,85.2
Canarias,Santa Cruz de Tenerife,2023,,44.0,14.4,18.7,2.6,29.6,84.8
Castilla y León,Segovia,2015,154.756,44.6,16.1,22.0,2.5,32.6,89.2
Castilla y León,Segovia,2016,153.297,44.9,16.1,22.2,2.5,32.9,89.6
Castilla y León,Segovia,2017,152.626,45.1,16.2,22.3,2.5,32.9,89.5
Castilla y León,Segovia,2018,151.664,45.3,16.0,22.4,2.4,33.1,89.0
Castilla y León,Segovia,2019,152.137,45.4,15.9,22.5,2.4,33.1,88.3
Castilla y León,Segovia,2020,152.104,45.5,15.7,22.4,2.4,33.5,88.3
Castilla y León,Segovia,2021,152.332,45.8,15.5,22.8,2.4,33.8,88.2
Castilla y León,Segovia,2022,153.769,45.9,15.4,23.0,2.4,34.2,87.4
Castilla y León,Segovia,2023,154.708,46.1,15.1,23.4,2.4,34.3,86.6
Andalucía,Sevilla,2015,,39.8,20.2,15.5,2.8,22.5,96.7
Andalucía,Sevilla,2016,,40.1,20.2,15.8,2.7,22.6,96.8
Andalucía,Sevilla,2017,,40.4,20.1,16.1,2.7,22.9,96.6
Andalucía,Sevilla,2018,,40.7,19.9,16.4,2.7,23.2,96.5
Andalucía,Sevilla,2019,,41.0,19.6,16.6,2.7,23.3,96.1
Andalucía,Sevilla,2020,,41.4,19.4,16.9,2.7,23.7,96.0
Andalucía,Sevilla,2021,,41.6,19.1,17.2,2.7,24.1,95.9
Andalucía,Sevilla,2022,,41.9,18.7,17.5,2.6,24.5,95.6
Andalucía,Sevilla,2023,,42.2,18.3,17.9,2.6,24.9,95.2
Castilla y León,Soria,2015,89.051,46.3,15.1,25.0,2.4,34.7,92.0
Castilla y León,Soria,2016,87.979,46.6,15.0,25.1,2.4,35.0,92.4
Castilla y León,Soria,2017,87.792,46.7,15.0,25.2,2.4,35.2,92.1
Castilla y León,Soria,2018,87.264,46.9,14.9,25.3,2.3,35.6,91.6
Castilla y León,Soria,2019,87.618,46.9,14.9,25.1,2.3,35.8,90.7
Castilla y León,Soria,2020,87.474,46.9,14.8,24.9,2.3,36.3,90.1
Castilla y León,Soria,2021,86.898,47.1,14.6,25.2,2.3,36.9,90.0
Castilla y León,Soria,2022,87.851,47.0,14.7,25.1,2.3,37.1,89.0
Castilla y León,Soria,2023,88.419,47.0,14.6,25.4,2.3,37.4,88.1
Cataluña,Tarragona,2015,788.561,41.4,19.2,17.8,2.6,27.9,84.9
Cataluña,Tarragona,2016,786.212,41.7,19.2,18.2,2.6,28.1,85.1
Cataluña,Tarragona,2017,789.902,41.8,19.2,18.4,2.6,28.1,84.8
Cataluña,Tarragona,2018,794.829,42.1,19.0,18.7,2.5,28.2,84.1
Cataluña,Tarragona,2019,806.469,42.3,18.8,18.8,2.5,28.3,83.3
Cataluña,Tarragona,2020,814.438,42.5,18.6,19.1,2.5,28.6,83.3
Cataluña,Tarragona,2021,821.454,42.8,18.4,19.4,2.5,28.9,83.2
Cataluña,Tarragona,2022,839.364,42.9,18.1,19.5,2.5,29.0,82.4
Cataluña,Tarragona,2023,852.096,43.1,17.8,19.8,2.5,29.3,81.9
Aragón,Teruel,2015,135.177,45.2,15.7,23.3,2.5,31.2,89.9
Aragón,Teruel,2016,133.83,45.4,15.8,23.4,2.5,31.4,90.1
Aragón,Teruel,2017,132.903,45.6,15.8,23.5,2.5,31.7,90.0
Aragón,Teruel,2018,132.123,45.6,15.7,23.6,2.4,32.0,89.7
Aragón,Teruel,2019,132.028,45.7,15.7,23.4,2.4,32.2,89.0
Aragón,Teruel,2020,132.612,45.7,15.7,23.4,2.4,32.6,88.7
Aragón,Teruel,2021,132.47,45.8,15.7,23.5,2.4,33.0,88.4
Aragón,Teruel,2022,132.924,45.8,15.8,23.7,2.4,33.4,87.9
Aragón,Teruel,2023,133.061,46.0,15.6,24.0,2.4,33.9,87.4
Castilla - La Mancha,Toledo,2015,686.175,40.8,19.6,17.3,2.7,26.3,91.0
Castilla - La Mancha,Toledo,2016,683.493,41.1,19.6,17.5,2.6,26.6,91.3
Castilla - La Mancha,Toledo,2017,684.419,41.3,19.7,17.7,2.6,26.7,91.2
Castilla - La Mancha,Toledo,2018,688.395,41.6,19.5,17.7,2.6,26.9,90.6
Castilla - La Mancha,Toledo,2019,697.042,41.7,19.4,17.8,2.6,26.9,89.8
Castilla - La Mancha,Toledo,2020,702.998,41.9,19.3,17.8,2.6,27.1,89.7
Castilla - La Mancha,Toledo,2021,708.352,42.1,19.1,18.0,2.6,27.4,89.6
Castilla - La Mancha,Toledo,2022,722.769,42.2,18.8,18.1,2.6,27.5,88.4
Castilla - La Mancha,Toledo,2023,734.683,42.4,18.6,18.4,2.6,27.6,87.6
Comunitat Valenciana,Valencia/València,2015,,41.9,18.1,18.0,2.5,27.6,90.3
Comunitat Valenciana,Valencia/València,2016,,42.1,18.1,18.3,2.5,27.7,90.7
Comunitat Valenciana,Valencia/València,2017,,42.3,18.1,18.5,2.5,27.7,90.3
Comunitat Valenciana,Valencia/València,2018,,42.6,17.9,18.7,2.5,27.9,89.7
Comunitat Valenciana,Valencia/València,2019,,42.8,17.7,18.9,2.5,28.0,88.9
Comunitat Valenciana,Valencia/València,2020,,43.1,17.5,19.2,2.5,28.4,88.8
Comunitat Valenciana,Valencia/València,2021,,43.3,17.2,19.4,2.5,28.7,88.3
Comunitat Valenciana,Valencia/València,2022,,43.3,17.0,19.5,2.5,28.7,87.0
Comunitat Valenciana,Valencia/València,2023,,43.4,16.8,19.6,2.5,28.7,85.7
Castilla y León,Valladolid,2015,520.598,44.4,16.0,21.4,2.5,28.4,95.4
Castilla y León,Valladolid,2016,518.35,44.7,16.1,21.9,2.5,28.8,95.6
Castilla y León,Valladolid,2017,517.022,45.0,16.1,22.3,2.4,29.1,95.5
Castilla y León,Valladolid,2018,515.504,45.3,15.9,22.7,2.4,29.5,95.2
Castilla y León,Valladolid,2019,516.444,45.6,15.8,23.1,2.4,29.7,94.8
Castilla y León,Valladolid,2020,515.714,45.8,15.7,23.4,2.4,30.2,94.4
Castilla y León,Valladolid,2021,513.994,46.1,15.4,23.9,2.4,30.8,94.3
Castilla y León,Valladolid,2022,516.878,46.3,15.3,24.3,2.4,31.2,93.9
Castilla y León,Valladolid,2023,520.13,46.5,15.1,24.6,2.3,31.6,93.2
Castilla y León,Zamora,2015,179.563,49.4,11.8,29.6,2.3,34.4,96.5
Castilla y León,Zamora,2016,176.575,49.7,11.7,29.8,2.3,34.9,96.7
Castilla y León,Zamora,2017,173.963,49.9,11.7,30.2,2.3,35.2,96.7
Castilla y León,Zamora,2018,171.613,50.2,11.7,30.5,2.2,36.0,96.7
Castilla y León,Zamora,2019,169.364,50.5,11.6,30.8,2.2,36.4,96.4
Castilla y León,Zamora,2020,167.681,50.6,11.5,30.9,2.2,36.9,96.3
Castilla y León,Zamora,2021,166.279,50.9,11.3,31.4,2.2,37.5,96.2
Castilla y León,Zamora,2022,165.383,51.0,11.3,31.7,2.1,38.1,95.6
Castilla y León,Zamora,2023,164.651,51.2,11.2,32.0,2.1,38.6,95.0
Aragón,Zaragoza,2015,951.589,43.3,17.1,20.2,2.5,28.5,89.9
Aragón,Zaragoza,2016,947.019,43.5,17.2,20.6,2.5,28.9,89.8
Aragón,Zaragoza,2017,947.537,43.7,17.3,20.8,2.5,29.0,89.5
Aragón,Zaragoza,2018,949.992,43.8,17.2,20.9,2.5,29.3,88.6
Aragón,Zaragoza,2019,960.265,44.0,17.0,21.0,2.5,29.2,87.7
Aragón,Zaragoza,2020,961.618,44.1,16.9,21.1,2.5,29.5,87.8
Aragón,Zaragoza,2021,956.32,44.4,16.8,21.4,2.4,30.0,87.7
Aragón,Zaragoza,2022,967.592,44.4,16.6,21.5,2.4,30.2,86.7
Aragón,Zaragoza,2023,975.521,44.6,16.3,21.8,2.4,30.5,86.1
Castilla y León,Ávila,2015,162.103,46.3,14.8,24.9,2.3,36.7,93.4
Castilla y León,Ávila,2016,159.436,46.6,14.7,25.2,2.3,37.0,93.6
Castilla y León,Ávila,2017,157.826,46.8,14.8,25.3,2.3,36.6,94.2
Castilla y León,Ávila,2018,156.505,47.0,14.6,25.6,2.3,37.2,94.0
Castilla y León,Ávila,2019,156.179,47.2,14.7,25.7,2.2,37.8,93.4
Castilla y León,Ávila,2020,156.907,47.3,14.5,25.7,2.2,37.8,93.4
Castilla y León,Ávila,2021,156.877,47.6,14.3,26.1,2.2,38.6,93.4
Castilla y León,Ávila,2022,158.031,47.7,14.3,26.2,2.2,38.4,92.0
Castilla y León,Ávila,2023,158.607,47.8,14.2,26.6,2.2,39.0,91.2
