codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,poblacion_0_17,poblacion_18_34,poblacion_35_64,poblacion_65_mas,suma_poblacion_edades,edad_media_aprox,pct_0_17,pct_18_34,pct_35_64,pct_65_mas,indice_envejecimiento,tasa_dependencia,pct_mujeres,razon_masculinidad,diferencia_total_edades
02,Albacete,2015,196954,197058,394012,71176.0,82402.0,167722.0,84698.0,405998,42.97208853245583,18.064424433773592,20.913576236256763,42.567739053632884,21.49629960508817,118.99797684612791,62.31868992979482,50.01319756758677,99.94722366003917,-11986
02,Albacete,2016,195901,195964,391865,70289.0,79566.0,168827.0,85812.0,404494,43.37096718369123,17.937044645477396,20.304441580646397,43.08294948515432,21.89835785283197,122.08453669848767,62.844363569021674,50.00803848264071,99.96785123798249,-12629
02,Albacete,2017,195065,195160,390225,69315.0,77425.0,170051.0,86556.0,403347,43.73130579872913,17.762829137036324,19.841117304119418,43.5776795438529,22.18104939458005,124.87340402510279,62.984289385637396,50.01217246460376,99.95132199221152,-13122
02,Albacete,2018,194405,194543,388948,68605.0,75646.0,170726.0,87388.0,402365,44.030057286294785,17.638604646379466,19.448872342832463,43.89429949504818,22.4677848966957,127.37847095692734,63.316042407416425,50.01774016063844,99.92906452558046,-13417
02,Albacete,2019,193806,194012,387818,67586.0,74623.0,170951.0,88485.0,401645,44.3562723300427,17.427246801334647,19.241757731719517,44.08021288336281,22.81611477548747,130.9220844553606,63.553552086132896,50.026558849769735,99.89382100076284,-13827
02,Albacete,2020,193913,193925,387838,66861.0,74031.0,171683.0,89310.0,401885,44.63249437028006,17.23941439466994,19.088124423083865,44.26667835539581,23.027655876938308,133.57562704715752,63.558039020975606,50.00154703768068,99.9938120407374,-14047
02,Albacete,2021,193487,193239,386726,65884.0,73567.0,172245.0,88788.0,400484,44.77969656715374,17.036351318504575,19.023029224825844,44.539286212977665,22.95889079089588,134.76413089672758,62.922884155370774,49.96793595465523,100.12833848239744,-13758
02,Albacete,2022,193236,192731,385967,64885.0,72935.0,172303.0,89849.0,399972,45.08456591961437,16.811022704013556,18.896693240613835,44.6418994369985,23.278933173043292,138.47422362641598,63.09544197881242,49.93457989931782,100.26202323445631,-14005
02,Albacete,2023,194012,193517,387529,64438.0,72945.0,172939.0,91204.0,401526,45.2760668051384,16.62791687847877,18.82310743195993,44.62607959662374,23.53475481834908,141.53760203606566,63.29895397829871,49.936133811921174,100.25579148085181,-13997
03,Alicante/Alacant,2015,914344,924234,1838578,327260.0,357281.0,800929.0,395909.0,1881379,43.13008596354057,17.79962558020383,19.432463566952286,43.56241617162829,21.53343507863142,120.97689910163173,62.43850424361731,50.26895785764868,98.92992467275603,-42801
03,Alicante/Alacant,2016,913425,924448,1837873,327345.0,346762.0,807782.0,400666.0,1882555,43.3857353437217,17.811078349809808,18.867571371906546,43.952003212409124,21.800527022269765,122.39869251095938,63.056150306961015,50.299884703676476,98.8076127591817,-44682
03,Alicante/Alacant,2017,911889,924826,1836715,326829.0,337986.0,812449.0,406092.0,1883356,43.662457336796656,17.79421412685147,18.401657306658898,44.23380872917137,22.10969039834705,124.25213184876495,63.708162564595135,50.35217766501607,98.60114226892411,-46641
03,Alicante/Alacant,2018,912364,926955,1839319,327191.0,332837.0,816290.0,410561.0,1886879,43.85409769253884,17.78870331900013,18.095664754183478,44.38001238501859,22.321359155209073,125.48052972117203,64.20108482352255,50.396641365635865,98.42592143092168,-47560
03,Alicante/Alacant,2019,920332,935052,1855384,327659.0,333808.0,825826.0,417129.0,1904422,44.05509440659686,17.659902208922787,17.99131608335525,44.50970796341889,22.48208457117233,127.30582709463192,64.22612651922934,50.39668338198454,98.42575600073579,-49038
03,Alicante/Alacant,2020,931343,946284,1877627,329108.0,337187.0,836728.0,425075.0,1928098,44.25277397725634,17.527868953737883,17.958146106761355,44.563057518878885,22.638947991267703,129.15972872127082,64.24511144333277,50.397869225357326,98.42108711549598,-50471
03,Alicante/Alacant,2021,935234,951802,1887036,327005.0,336738.0,842340.0,432157.0,1938240,44.51834860491993,17.32902816904394,17.844810591848805,44.63825809364527,22.901364891819764,132.15608324031743,64.38607115050912,50.43899533448222,98.2593018295822,-51204
03,Alicante/Alacant,2022,945114,962380,1907494,324912.0,337945.0,851366.0,445731.0,1959954,44.881519668318745,17.03344807375541,17.716700550565296,44.63269609235992,23.367360526428918,137.1851455163244,64.79743313565585,50.452583337090445,98.20590619090173,-52460
