codigo_provincia,provincia,anio,trimestre,periodo,sexo,variable,valor
01,Araba/Álava,2017,2,2017T2,hombres,tasa_empleo_pct,54.11
01,Araba/Álava,2017,2,2017T2,hombres,tasa_paro_pct,10.21
01,Araba/Álava,2017,2,2017T2,mujeres,tasa_actividad_pct,54.13
01,Araba/Álava,2017,2,2017T2,mujeres,tasa_empleo_pct,45.45
01,Araba/Álava,2017,2,2017T2,mujeres,tasa_paro_pct,16.03
01,Araba/Álava,2017,2,2017T2,total,tasa_actividad_pct,57.11
01,Araba/Álava,2017,2,2017T2,total,tasa_empleo_pct,49.65
01,Araba/Álava,2017,2,2017T2,total,tasa_paro_pct,13.05
01,Araba/Álava,2017,3,2017T3,hombres,tasa_actividad_pct,62.1
01,Araba/Álava,2017,3,2017T3,hombres,tasa_empleo_pct,56.87
01,Araba/Álava,2017,3,2017T3,hombres,tasa_paro_pct,8.43
01,Araba/Álava,2017,3,2017T3,mujeres,tasa_actividad_pct,51.63
01,Araba/Álava,2017,3,2017T3,mujeres,tasa_empleo_pct,44.5
01,Araba/Álava,2017,3,2017T3,mujeres,tasa_paro_pct,13.81
01,Araba/Álava,2017,3,2017T3,total,tasa_actividad_pct,56.71
01,Araba/Álava,2017,3,2017T3,total,tasa_empleo_pct,50.5
01,Araba/Álava,2017,3,2017T3,total,tasa_paro_pct,10.95
01,Araba/Álava,2017,4,2017T4,hombres,tasa_actividad_pct,63.56
01,Araba/Álava,2017,4,2017T4,hombres,tasa_empleo_pct,58.52
01,Araba/Álava,2017,4,2017T4,hombres,tasa_paro_pct,7.94
01,Araba/Álava,2017,4,2017T4,mujeres,tasa_actividad_pct,52.66
01,Araba/Álava,2017,4,2017T4,mujeres,tasa_empleo_pct,47.24
01,Araba/Álava,2017,4,2017T4,mujeres,tasa_paro_pct,10.29
01,Araba/Álava,2017,4,2017T4,total,tasa_actividad_pct,57.96
01,Araba/Álava,2017,4,2017T4,total,tasa_empleo_pct,52.72
01,Araba/Álava,2017,4,2017T4,total,tasa_paro_pct,9.04
01,Araba/Álava,2018,1,2018T1,hombres,tasa_actividad_pct,63.04
01,Araba/Álava,2018,1,2018T1,hombres,tasa_empleo_pct,57.83
01,Araba/Álava,2018,1,2018T1,hombres,tasa_paro_pct,8.27
01,Araba/Álava,2018,1,2018T1,mujeres,tasa_actividad_pct,52.39
01,Araba/Álava,2018,1,2018T1,mujeres,tasa_empleo_pct,45.52
01,Araba/Álava,2018,1,2018T1,mujeres,tasa_paro_pct,13.12
01,Araba/Álava,2018,1,2018T1,total,tasa_actividad_pct,57.56
01,Araba/Álava,2018,1,2018T1,total,tasa_empleo_pct,51.49
01,Araba/Álava,2018,1,2018T1,total,tasa_paro_pct,10.54
01,Araba/Álava,2018,2,2018T2,hombres,tasa_actividad_pct,62.77
01,Araba/Álava,2018,2,2018T2,hombres,tasa_empleo_pct,56.85
01,Araba/Álava,2018,2,2018T2,hombres,tasa_paro_pct,9.44
01,Araba/Álava,2018,2,2018T2,mujeres,tasa_actividad_pct,52.92
01,Araba/Álava,2018,2,2018T2,mujeres,tasa_empleo_pct,46.71
01,Araba/Álava,2018,2,2018T2,mujeres,tasa_paro_pct,11.74
01,Araba/Álava,2018,2,2018T2,total,tasa_actividad_pct,57.7
01,Araba/Álava,2018,2,2018T2,total,tasa_empleo_pct,51.63
01,Araba/Álava,2018,2,2018T2,total,tasa_paro_pct,10.53
01,Araba/Álava,2018,3,2018T3,hombres,tasa_actividad_pct,64.27
01,Araba/Álava,2018,3,2018T3,hombres,tasa_empleo_pct,59.38
01,Araba/Álava,2018,3,2018T3,hombres,tasa_paro_pct,7.61
01,Araba/Álava,2018,3,2018T3,mujeres,tasa_actividad_pct,51.63
01,Araba/Álava,2018,3,2018T3,mujeres,tasa_empleo_pct,47.28
01,Araba/Álava,2018,3,2018T3,mujeres,tasa_paro_pct,8.44
01,Araba/Álava,2018,3,2018T3,total,tasa_actividad_pct,57.77
01,Araba/Álava,2018,3,2018T3,total,tasa_empleo_pct,53.15
