poblacion_total_lag4;pct_18_34_lag4;pct_35_64_lag4;pct_65_mas_lag4;tamano_medio_hogar_lag4;pct_hogares_unipersonales_lag4;pct_poblacion_espanola_lag4;tasa_migracion_neta_exterior_por_1000_habitantes_lag4;salario_medio_anual_euros_total_lag8;tasa_actividad_pct_total_lag1;tasa_paro_pct_total_lag1;renta_neta_media_por_hogar_eur_lag8;indice_precios_consumo_base_2015_lag1;indice_costes_construccion_lag1;tipo_interes_prestamos_vivienda_pct_lag1;importe_medio_hipoteca_vivienda_eur_lag1;valor_tasado_m2_lag1;ipv_general_lag1;compraventas_por_1000_hab_lag1;pct_compraventas_vivienda_nueva_lag1;visados_obra_nueva_por_1000_hab_lag1;plazas_hoteleras_por_1000_hab_lag1;pernoctaciones_por_habitante_lag1;sen_trimestre;cos_trimestre;tendencia_temporal;prov_Albacete;prov_Alicante/Alacant;prov_Almería;prov_Araba/Álava;prov_Asturias;prov_Badajoz;prov_Balears, Illes;prov_Barcelona;prov_Bizkaia;prov_Burgos;prov_Cantabria;prov_Castellón/Castelló;prov_Ceuta;prov_Ciudad Real;prov_Coruña, A;prov_Cuenca;prov_Cáceres;prov_Cádiz;prov_Córdoba;prov_Gipuzkoa;prov_Girona;prov_Granada;prov_Guadalajara;prov_Huelva;prov_Huesca;prov_Jaén;prov_León;prov_Lleida;prov_Lugo;prov_Madrid;prov_Melilla;prov_Murcia;prov_Málaga;prov_Navarra;prov_Ourense;prov_Palencia;prov_Palmas, Las;prov_Pontevedra;prov_Rioja, La;prov_Salamanca;prov_Santa Cruz de Tenerife;prov_Segovia;prov_Sevilla;prov_Soria;prov_Tarragona;prov_Teruel;prov_Toledo;prov_Valencia/València;prov_Valladolid;prov_Zamora;prov_Zaragoza;prov_Ávila;provincia;trimestre;periodo;periodo_objetivo;persistencia
387529,0;18,823;41,02;23,535;2,5;30,5;91,8;8,28;19680,0;57,42;12,09;30908,0;123,44;117,607;4,03;105914,66;984,3;84,707;2,152;25,54;0,4;15,646;0,492;1,0;6,123233995736766e-17;36;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Albacete;1;2024T1;2025T1;4,51
387529,0;18,823;41,02;23,535;2,5;30,5;91,8;8,28;19680,0;55,77;13,23;30908,0;123,63;113,317;3,693;99133,94;1004,9;86,38;2,336;21,89;0,858;14,361;0,368;1,2246467991473532e-16;-1,0;37;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Albacete;2;2024T2;2025T2;4,623
387529,0;18,823;41,02;23,535;2,5;30,5;91,8;8,28;19680,0;56,4;10,74;30908,0;125,74;117,41;3,55;93165,25;1006,5;89,16;2,442;16,21;0,401;16,715;0,57;-1,0;-1,8369701987210297e-16;38;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Albacete;3;2024T3;2025T3;4,692
387529,0;18,823;41,02;23,535;2,5;30,5;91,8;8,28;19680,0;57,35;9,92;30908,0;124,93;114,163;3,45;103397,32;1003,7;91,033;2,539;19,23;0,625;16,534;0,646;-2,4492935982947064e-16;1,0;39;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Albacete;4;2024T4;2025T4;4,619
1955268,0;17,908;41,64;23,444;2,5;29,5;76,9;19,89;19112,0;58,64;13,33;28965,0;121,71;117,607;4,03;112498,06;1532,3;82,063;5,443;14,6;0,865;36,87;1,878;1,0;6,123233995736766e-17;36;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Alicante/Alacant;1;2024T1;2025T1;6,586
1955268,0;17,908;41,64;23,444;2,5;29,5;76,9;19,89;19112,0;56,16;14,37;28965,0;122,17;113,317;3,693;110229,67;1560,4;84,149;6,421;16,86;0,878;33,816;1,667;1,2246467991473532e-16;-1,0;37;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Alicante/Alacant;2;2024T2;2025T2;6,729
1955268,0;17,908;41,64;23,444;2,5;29,5;76,9;19,89;19112,0;57,33;13,11;28965,0;124,19;117,41;3,55;109674,13;1559,9;87,789;5,882;19,61;1,451;40,135;2,561;-1,0;-1,8369701987210297e-16;38;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Alicante/Alacant;3;2024T3;2025T3;6,797
1955268,0;17,908;41,64;23,444;2,5;29,5;76,9;19,89;19112,0;56,8;13,77;28965,0;123,85;114,163;3,45;114542,0;1608,0;90,21;7,049;18,67;1,169;41,486;3,109;-2,4492935982947064e-16;1,0;39;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Alicante/Alacant;4;2024T4;2025T4;6,782
753364,0;20,56;42,21;17,636;2,6;28,9;78,0;9,4;16962,0;59,17;14,58;28442,0;121,38;117,607;4,03;96611,44;1205,7;81,449;4,087;22,96;0,299;23,752;0,738;1,0;6,123233995736766e-17;36;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Almería;1;2024T1;2025T1;6,847
753364,0;20,56;42,21;17,636;2,6;28,9;78,0;9,4;16962,0;62,58;15,9;28442,0;121,65;113,317;3,693;91330,37;1218,1;83,656;4,101;23,39;0,581;23,242;0,719;1,2246467991473532e-16;-1,0;37;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Almería;2;2024T2;2025T2;7,012
