provincia;comunidad_autonoma;IAV_previsto;IAV_minimo;IAV_maximo;dispersion;IAV_2024;precio_m2_2024;salario_2024;salario_hombre_2024;salario_mujer_2024;variacion_pct;precio_m2_previsto
Ourense;Galicia;4,970191269030157;4,882037112422826;5,12310884577368;0,07780899942273145;4,90625;1367,31575;22294,0;23640,0;20885,0;1,3032615343726281;1385,068051896979
Palencia;Castilla y León;5,099063520291079;5,015196990644305;5,196007717869298;0,06372541208501577;5,07525;1462,76025;23057,0;25362,0;20546,0;0,4692088131831771;1469,6138448418926
Palmas, Las;Canarias;7,775205409366882;7,559506571389201;8,152609299853207;0,18673641816348707;7,77675;2129,0535;21902,0;23143,0;20579,0;-0,019861647000578846;2128,656860949418
Pontevedra;Galicia;6,107862887468501;5,9087337117931344;6,30100742261132;0,15213178720156767;5,96925;1729,775;23182,0;25599,0;20613,0;2,3221156337647364;1769,9059682161849
Rioja, La;Rioja, La;5,641926016375332;5,513794937978863;5,754991866630064;0,08596423522379203;5,571;1612,916;23161,0;25224,0;20974,0;1,2731289961466927;1633,4081058158633
Salamanca;Castilla y León;5,88819624282829;5,772526856671134;6,014385313914056;0,08500974235162401;5,84575;1685,033;23060,0;25014,0;20965,0;0,7261043121633649;1697,2725669952547
Santa Cruz de Tenerife;Canarias;7,436714509907906;7,207074193523342;7,803750694086574;0,18979226614876085;7,391;1969,837;21321,0;22143,0;20456,0;0,6185158964674113;1981,9773758218312
Segovia;Castilla y León;5,1800005472726705;5,018212375299609;5,3256174416861235;0,115283357667751;5,056;1417,6;22430,0;24620,0;20060,0;2,4525424697917404;1452,342653441575
Sevilla;Andalucía;7,496853105826884;7,299421112917443;7,676034810852771;0,13790172617912794;7,368;2014,7215;21876,0;24598,0;18776,0;1,7488206545451084;2050,0144817883615
Soria;Castilla y León;5,119911459899106;5,0166879986885;5,205778926214782;0,06557282204291046;5,09075;1499,78225;23569,0;25028,0;21945,0;0,5728322918844115;1508,3899149795252
Tarragona;Cataluña;6,882155855366737;6,672322358014914;7,110285006335855;0,15897198681771418;6,7135;2070,8625;24677,0;27144,0;21870,0;2,5121896978734903;2122,887000536062
Teruel;Aragón;4,272857420392021;4,127303914254862;4,577154526643553;0,14700297134886856;4,24525;1208,1822499999998;22767,0;24583,0;20683,0;0,650313182781237;1216,0018111258144
Toledo;Castilla - La Mancha;3,8050729962342866;3,7032455819463346;3,9108790101264734;0,08159540110475944;3,732;1035,0685;22188,0;24319,0;19570,0;1,9580116890216084;1055,3369955055794
Valencia/València;Comunitat Valenciana;5,301828702069117;5,133865116658065;5,486665884619199;0,12228370040959051;5,24775;1588,022;24209,0;26519,0;21625,0;1,0305121636723764;1604,3996381048905
Valladolid;Castilla y León;5,115242926159839;4,9814437549099235;5,283747963613465;0,09907338880362208;5,02825;1607,2514999999999;25571,0;28290,0;22597,0;1,7300835511328791;1635,0234608104154
Zamora;Castilla y León;4,603454689556768;4,50868915846249;4,749774788418549;0,07820321470358227;4,5655;1196,969;20975,0;22561,0;19253,0;0,8313369741927099;1206,9682764181653
Zaragoza;Aragón;6,011033084274801;5,871705699872971;6,203525069625007;0,11399744069606477;5,97325;1900,08275;25448,0;28380,0;22150,0;0,6325381371079495;1912,109624107814
Ávila;Castilla y León;4,440318822177249;4,34489940105194;4,539543029780936;0,06855704034595098;4,4125;1172,97425;21267,0;22992,0;19343,0;0,6304548935354048;1180,4032548905445
