indicador,valor
filas_fuente,48
columnas_fuente,82
filas_anual_largo,3840
filas_anual_ancho,192
territorios,48
anio_inicial,2015
anio_final,2018
numero_anios,4
variables,20
nulos_valor,0
duplicados_clave,0
provincia_anio_con_datos_incompletos,0
incidencias_orden_percentiles,0
valor_minimo,1.30475340687865
valor_maximo,341763.0
codigos_provinciales_ausentes,"01, 20, 31, 48"
