provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Ciudad Real,2025,128.5,4
Ciudad Real,2026,120.41,1
Coruña (A),2004,176.68,4
Coruña (A),2005,197.97,4
Coruña (A),2006,193.83,4
Coruña (A),2007,245.46,4
Coruña (A),2008,230.14,4
Coruña (A),2009,198.17,4
Coruña (A),2010,145.31,4
Coruña (A),2011,114.22,4
Coruña (A),2012,104.97,4
Coruña (A),2013,97.94,4
Coruña (A),2014,88.68,4
Coruña (A),2015,73.38,4
Coruña (A),2016,71.82,4
Coruña (A),2017,88.99,4
Coruña (A),2018,91.29,4
Coruña (A),2019,105.07,4
Coruña (A),2020,109.75,4
Coruña (A),2021,96.16,4
Coruña (A),2022,108.29,4
Coruña (A),2023,102.25,4
Coruña (A),2024,115.96,4
Coruña (A),2025,98.59,4
Coruña (A),2026,155.56,1
Cuenca,2004,58.29,4
Cuenca,2005,69.57,4
Cuenca,2006,70.74,4
Cuenca,2007,103.83,4
Cuenca,2008,98.59,4
Cuenca,2009,96.12,4
Cuenca,2010,91.58,4
Cuenca,2011,78.57,4
Cuenca,2012,72.86,4
Cuenca,2013,71.22,4
Cuenca,2014,77.15,4
Cuenca,2015,68.81,4
Cuenca,2016,69.41,4
Cuenca,2017,64.42,4
Cuenca,2018,72.0,4
Cuenca,2019,88.27,4
Cuenca,2020,69.62,4
Cuenca,2021,72.81,4
Cuenca,2022,87.27,4
Cuenca,2023,81.7,4
Cuenca,2024,91.1,4
Cuenca,2025,101.13,4
Cuenca,2026,103.0,1
Cáceres,2004,136.55,4
Cáceres,2005,171.9,4
Cáceres,2006,129.56,4
Cáceres,2007,144.35,4
Cáceres,2008,140.15,4
Cáceres,2009,160.97,4
Cáceres,2010,180.22,4
Cáceres,2011,111.45,4
Cáceres,2012,115.98,4
Cáceres,2013,104.82,4
Cáceres,2014,86.72,4
Cáceres,2015,86.0,4
Cáceres,2016,84.36,4
Cáceres,2017,105.25,4
Cáceres,2018,93.5,4
Cáceres,2019,118.32,4
Cáceres,2020,119.95,4
Cáceres,2021,130.61,4
Cáceres,2022,112.73,4
Cáceres,2023,122.8,4
Cáceres,2024,109.27,4
Cáceres,2025,113.12,4
Cáceres,2026,141.66,1
Cádiz,2004,212.54,4
Cádiz,2005,201.55,4
Cádiz,2006,286.29,4
Cádiz,2007,383.68,4
Cádiz,2008,388.72,4
Cádiz,2009,340.2,4
Cádiz,2010,275.22,4
Cádiz,2011,221.64,4
Cádiz,2012,195.89,4
Cádiz,2013,140.65,4
Cádiz,2014,144.75,4
Cádiz,2015,150.32,4
Cádiz,2016,148.45,4
Cádiz,2017,137.66,4
Cádiz,2018,154.18,4
Cádiz,2019,161.02,4
Cádiz,2020,160.03,4
Cádiz,2021,173.73,4
Cádiz,2022,172.1,4
Cádiz,2023,198.14,4
Cádiz,2024,192.74,4
Cádiz,2025,201.16,4
Cádiz,2026,266.67,1
Córdoba,2004,172.82,4
Córdoba,2005,186.46,4
Córdoba,2006,262.19,4
Córdoba,2007,261.88,4
Córdoba,2008,243.61,4
Córdoba,2009,217.37,4
Córdoba,2010,174.76,4
Córdoba,2011,153.79,4
Córdoba,2012,155.36,4
Córdoba,2013,160.18,4
Córdoba,2014,154.76,4
Córdoba,2015,119.83,4
Córdoba,2016,135.27,4
Córdoba,2017,134.51,4
Córdoba,2018,127.1,4
Córdoba,2019,137.94,4
Córdoba,2020,127.72,4
Córdoba,2021,136.63,4
Córdoba,2022,146.71,4
Córdoba,2023,128.18,4
Córdoba,2024,149.22,4
Córdoba,2025,160.03,4
Córdoba,2026,176.12,1
Girona,2004,148.28,4
Girona,2005,186.08,4
Girona,2006,215.75,4
Girona,2007,215.04,4
Girona,2008,204.54,4
Girona,2009,196.68,4
Girona,2010,213.92,4
Girona,2011,202.39,4
Girona,2012,192.88,4
Girona,2013,153.37,4
Girona,2014,134.16,4
Girona,2015,141.06,4
Girona,2016,137.9,4
Girona,2017,143.48,4
Girona,2018,141.79,4
Girona,2019,159.16,4
Girona,2020,148.16,4
Girona,2021,155.27,4
Girona,2022,170.82,4
Girona,2023,183.11,4
Girona,2024,176.43,4
Girona,2025,179.61,4
Girona,2026,171.07,1
Granada,2004,147.64,4
Granada,2005,157.56,4
Granada,2006,191.63,4
Granada,2007,201.18,4
Granada,2008,175.26,4
Granada,2009,165.3,4
Granada,2010,180.99,4
Granada,2011,153.57,4
Granada,2012,167.32,4
Granada,2013,118.77,4
Granada,2014,121.13,4
Granada,2015,122.1,4
Granada,2016,113.22,4
Granada,2017,131.07,4
Granada,2018,117.65,4
Granada,2019,134.58,4
Granada,2020,121.52,4
Granada,2021,122.75,4
Granada,2022,125.55,4
Granada,2023,108.77,4
Granada,2024,138.5,4
Granada,2025,135.35,4
Granada,2026,163.36,1
Guadalajara,2004,112.84,4
Guadalajara,2005,130.24,4
Guadalajara,2006,139.78,4
Guadalajara,2007,142.44,4
Guadalajara,2008,147.61,4
Guadalajara,2009,151.12,4
Guadalajara,2010,157.17,4
Guadalajara,2011,173.18,4
Guadalajara,2012,235.72,4
Guadalajara,2013,98.63,4
Guadalajara,2014,82.46,4
Guadalajara,2015,91.9,4
Guadalajara,2016,95.06,4
Guadalajara,2017,111.16,4
Guadalajara,2018,106.05,4
Guadalajara,2019,91.06,4
Guadalajara,2020,90.34,4
Guadalajara,2021,91.39,4
Guadalajara,2022,95.18,4
Guadalajara,2023,85.67,4
Guadalajara,2024,96.38,4
Guadalajara,2025,90.18,4
Guadalajara,2026,102.33,1
Guipúzcoa,2004,409.53,4
Guipúzcoa,2005,388.83,4
Guipúzcoa,2006,424.88,4
Guipúzcoa,2007,457.35,4
Guipúzcoa,2008,454.45,4
Guipúzcoa,2009,373.43,4
Guipúzcoa,2010,314.03,4
Guipúzcoa,2011,305.78,2
Guipúzcoa,2012,256.1,4
Guipúzcoa,2013,265.36,4
Guipúzcoa,2014,279.77,3
Guipúzcoa,2015,274.01,4
Guipúzcoa,2016,196.45,4
Guipúzcoa,2017,225.7,4
Guipúzcoa,2018,219.35,4
Guipúzcoa,2019,267.96,4
Guipúzcoa,2020,282.22,4
Guipúzcoa,2021,243.78,4
Guipúzcoa,2022,198.44,4
Guipúzcoa,2023,256.21,4
Guipúzcoa,2024,350.83,4
Guipúzcoa,2025,181.2,4
Guipúzcoa,2026,160.56,1
Huelva,2004,304.19,4
Huelva,2005,375.82,4
Huelva,2006,288.28,4
Huelva,2007,262.45,4
Huelva,2008,225.0,4
Huelva,2009,222.7,4
Huelva,2010,221.34,4
Huelva,2011,194.45,4
Huelva,2012,146.32,4
Huelva,2013,116.37,4
Huelva,2014,125.85,4
Huelva,2015,115.85,4
Huelva,2016,111.62,4
Huelva,2017,123.41,4
Huelva,2018,112.51,4
Huelva,2019,104.46,4
Huelva,2020,117.97,4
Huelva,2021,116.67,4
Huelva,2022,109.49,4
Huelva,2023,115.55,4
Huelva,2024,114.2,4
Huelva,2025,104.53,4
Huelva,2026,134.42,1
Huesca,2004,135.27,4
Huesca,2005,151.16,4
Huesca,2006,139.2,4
Huesca,2007,141.13,4
Huesca,2008,134.93,4
Huesca,2009,138.18,4
Huesca,2010,126.12,4
Huesca,2011,130.13,4
Huesca,2012,156.31,4
Huesca,2013,85.5,4
Huesca,2014,92.59,4
Huesca,2015,96.06,4
Huesca,2016,98.83,4
Huesca,2017,84.18,4
Huesca,2018,83.62,4
Huesca,2019,99.83,4
Huesca,2020,92.74,4
Huesca,2021,95.88,4
Huesca,2022,112.18,4
Huesca,2023,105.51,4
Huesca,2024,158.31,4
Huesca,2025,107.2,4
Huesca,2026,117.11,1
Jaén,2004,86.19,4
Jaén,2005,95.19,4
Jaén,2006,121.73,4
Jaén,2007,168.9,4
Jaén,2008,159.8,4
Jaén,2009,158.28,4
Jaén,2010,166.97,4
Jaén,2011,145.11,4
Jaén,2012,137.74,4
Jaén,2013,123.06,4
Jaén,2014,123.86,4
Jaén,2015,121.96,4
Jaén,2016,113.76,4
Jaén,2017,117.11,4
Jaén,2018,131.36,4
Jaén,2019,136.99,4
Jaén,2020,130.68,4
