provincia,anio,superficie_m2,n_trimestres_disponibles
Ourense,2025,70.58,4
Palencia,2015,163.95,4
Palencia,2016,51.8,4
Palencia,2017,58.3,4
Palencia,2018,199.86,4
Palencia,2019,70.85,4
Palencia,2020,122.1,4
Palencia,2021,146.77,4
Palencia,2022,180.89999999999998,4
Palencia,2023,115.49000000000001,4
Palencia,2024,375.78,4
Palencia,2025,210.72,4
Palmas (Las),2015,238.25,4
Palmas (Las),2016,304.52,4
Palmas (Las),2017,300.75,4
Palmas (Las),2018,429.17,4
Palmas (Las),2019,267.71,4
Palmas (Las),2020,258.59000000000003,4
Palmas (Las),2021,508.13,4
Palmas (Las),2022,293.51,4
Palmas (Las),2023,468.72999999999996,4
Palmas (Las),2024,460.08,4
Palmas (Las),2025,476.56,4
Pontevedra,2015,231.64,4
Pontevedra,2016,107.3,4
Pontevedra,2017,177.93,4
Pontevedra,2018,187.32,4
Pontevedra,2019,157.70999999999998,4
Pontevedra,2020,78.07,4
Pontevedra,2021,252.23,4
Pontevedra,2022,131.35,4
Pontevedra,2023,102.2,4
Pontevedra,2024,107.64,4
Pontevedra,2025,229.21,4
Salamanca,2015,189.45,4
Salamanca,2016,118.97,4
Salamanca,2017,233.96999999999997,4
Salamanca,2018,108.03999999999999,4
Salamanca,2019,129.12,4
Salamanca,2020,162.78,4
Salamanca,2021,236.29000000000002,4
Salamanca,2022,141.81,4
Salamanca,2023,147.92000000000002,4
Salamanca,2024,171.7,4
Salamanca,2025,485.46999999999997,4
Santa Cruz de Tenerife,2015,333.72,4
Santa Cruz de Tenerife,2016,677.89,4
Santa Cruz de Tenerife,2017,368.96,4
Santa Cruz de Tenerife,2018,469.81,4
Santa Cruz de Tenerife,2019,324.33000000000004,4
Santa Cruz de Tenerife,2020,192.87,4
Santa Cruz de Tenerife,2021,328.22,4
Santa Cruz de Tenerife,2022,659.0899999999999,4
Santa Cruz de Tenerife,2023,382.14,4
Santa Cruz de Tenerife,2024,412.07,4
Santa Cruz de Tenerife,2025,291.6,4
Segovia,2015,77.61,4
Segovia,2016,114.42,4
Segovia,2017,256.64,4
Segovia,2018,173.37,4
Segovia,2019,229.52,4
Segovia,2020,162.45,4
Segovia,2021,332.87,4
Segovia,2022,248.26,4
Segovia,2023,207.25,4
Segovia,2024,153.34,4
Segovia,2025,359.49,4
Sevilla,2015,879.3800000000001,4
Sevilla,2016,754.16,4
Sevilla,2017,1128.8600000000001,4
Sevilla,2018,1036.0900000000001,4
Sevilla,2019,806.6800000000001,4
Sevilla,2020,682.16,4
Sevilla,2021,1942.8999999999999,4
Sevilla,2022,1009.69,4
Sevilla,2023,1070.14,4
Sevilla,2024,1080.3400000000001,4
Sevilla,2025,1420.58,4
Soria,2015,78.44,4
Soria,2016,50.11000000000001,4
Soria,2017,60.24,4
Soria,2018,18.64,4
Soria,2019,90.22,4
Soria,2020,19.91,4
Soria,2021,119.39,4
Soria,2022,73.14,4
Soria,2023,69.41,4
Soria,2024,172.22,4
Soria,2025,76.28,4
Tarragona,2015,624.57,4
Tarragona,2016,490.86,4
Tarragona,2017,533.4,4
Tarragona,2018,796.49,4
Tarragona,2019,803.79,4
Tarragona,2020,471.53999999999996,4
Tarragona,2021,1212.77,4
Tarragona,2022,1303.12,4
Tarragona,2023,950.29,4
Tarragona,2024,648.09,4
Tarragona,2025,1416.29,4
Teruel,2015,34.06,4
Teruel,2016,74.0,4
Teruel,2017,30.42,4
Teruel,2018,40.25,4
Teruel,2019,62.900000000000006,4
Teruel,2020,28.939999999999998,4
Teruel,2021,83.87,4
Teruel,2022,113.92,4
Teruel,2023,175.28,4
Teruel,2024,45.0,4
Teruel,2025,204.51,4
Toledo,2015,536.44,4
Toledo,2016,622.14,4
Toledo,2017,800.5400000000001,4
Toledo,2018,1134.81,4
Toledo,2019,1162.77,4
Toledo,2020,1690.1599999999999,4
Toledo,2021,2324.0,4
Toledo,2022,1345.73,4
Toledo,2023,1208.8899999999999,4
Toledo,2024,910.1600000000001,4
Toledo,2025,1516.58,4
Valencia/València,2015,1036.95,4
Valencia/València,2016,1126.1100000000001,4
Valencia/València,2017,1636.6299999999999,4
Valencia/València,2018,1889.44,4
Valencia/València,2019,1711.15,4
Valencia/València,2020,951.8399999999999,4
Valencia/València,2021,1277.28,4
Valencia/València,2022,1266.51,4
Valencia/València,2023,979.5999999999999,4
Valencia/València,2024,977.34,4
Valencia/València,2025,2009.07,4
Valladolid,2015,200.83,4
Valladolid,2016,182.78,4
Valladolid,2017,331.08,4
Valladolid,2018,219.94,4
Valladolid,2019,258.93,4
Valladolid,2020,305.95,4
Valladolid,2021,481.23,4
Valladolid,2022,292.79,4
Valladolid,2023,210.06,4
Valladolid,2024,278.0,4
Valladolid,2025,606.8,4
Vizcaya,2015,471.65,4
Vizcaya,2016,223.3,4
Vizcaya,2017,410.86,4
Vizcaya,2018,304.08000000000004,4
Vizcaya,2019,263.06,4
Vizcaya,2020,178.12,4
Vizcaya,2021,316.56,4
Vizcaya,2022,327.92,4
Vizcaya,2023,308.85,4
Vizcaya,2024,205.85000000000002,4
Vizcaya,2025,233.93,4
Zamora,2015,120.2,4
Zamora,2016,65.75,4
Zamora,2017,86.92999999999999,4
Zamora,2018,80.21000000000001,4
Zamora,2019,59.48,4
Zamora,2020,230.97,4
Zamora,2021,212.54,4
Zamora,2022,54.5,4
Zamora,2023,65.53999999999999,4
Zamora,2024,55.11,4
Zamora,2025,104.52,4
Zaragoza,2015,407.47,4
Zaragoza,2016,857.01,4
Zaragoza,2017,613.8,4
Zaragoza,2018,457.61,4
Zaragoza,2019,499.83,4
Zaragoza,2020,338.24,4
Zaragoza,2021,1381.6399999999999,4
Zaragoza,2022,476.07,4
Zaragoza,2023,772.09,4
Zaragoza,2024,823.8199999999999,4
Zaragoza,2025,1000.47,4
Álava,2015,134.44,4
Álava,2016,107.87,4
Álava,2017,91.33000000000001,4
Álava,2018,107.95,4
Álava,2019,274.49,4
Álava,2020,316.03000000000003,4
Álava,2021,187.22,4
Álava,2022,371.43,4
Álava,2023,91.28,4
Álava,2024,322.04,4
Álava,2025,245.85,4
