provincia,anio,trimestre,periodo,superficie_m2
Alicante/Alacant,2013,4,2013-T4,198.57
Alicante/Alacant,2014,1,2014-T1,146.28
Alicante/Alacant,2014,2,2014-T2,271.78
Alicante/Alacant,2014,3,2014-T3,231.91
Alicante/Alacant,2014,4,2014-T4,356.81
Alicante/Alacant,2015,1,2015-T1,168.46
Alicante/Alacant,2015,2,2015-T2,239.47
Alicante/Alacant,2015,3,2015-T3,894.29
Alicante/Alacant,2015,4,2015-T4,185.48
Alicante/Alacant,2016,1,2016-T1,301.86
Alicante/Alacant,2016,2,2016-T2,180.72
Alicante/Alacant,2016,3,2016-T3,348.74
Alicante/Alacant,2016,4,2016-T4,385.93
Alicante/Alacant,2017,1,2017-T1,455.34
Alicante/Alacant,2017,2,2017-T2,439.7
Alicante/Alacant,2017,3,2017-T3,250.46
Alicante/Alacant,2017,4,2017-T4,238.89
Alicante/Alacant,2018,1,2018-T1,182.57
Alicante/Alacant,2018,2,2018-T2,677.29
Alicante/Alacant,2018,3,2018-T3,412.83
Alicante/Alacant,2018,4,2018-T4,225.98
Alicante/Alacant,2019,1,2019-T1,202.66
Alicante/Alacant,2019,2,2019-T2,383.48
Alicante/Alacant,2019,3,2019-T3,435.98
Alicante/Alacant,2019,4,2019-T4,304.28
Alicante/Alacant,2020,1,2020-T1,131.41
Alicante/Alacant,2020,2,2020-T2,112.43
Alicante/Alacant,2020,3,2020-T3,150.81
Alicante/Alacant,2020,4,2020-T4,472.74
Alicante/Alacant,2021,1,2021-T1,159.31
Alicante/Alacant,2021,2,2021-T2,212.77
Alicante/Alacant,2021,3,2021-T3,251.02
Alicante/Alacant,2021,4,2021-T4,270.19
Alicante/Alacant,2022,1,2022-T1,309.31
Alicante/Alacant,2022,2,2022-T2,243.94
Alicante/Alacant,2022,3,2022-T3,171.71
Alicante/Alacant,2022,4,2022-T4,190.96
Alicante/Alacant,2023,1,2023-T1,138.83
Alicante/Alacant,2023,2,2023-T2,349.49
Alicante/Alacant,2023,3,2023-T3,232.41
Alicante/Alacant,2023,4,2023-T4,984.82
Alicante/Alacant,2024,1,2024-T1,229.29
Alicante/Alacant,2024,2,2024-T2,246.66
Alicante/Alacant,2024,3,2024-T3,211.43
Alicante/Alacant,2024,4,2024-T4,117.89
Alicante/Alacant,2025,1,2025-T1,233.62
Alicante/Alacant,2025,2,2025-T2,276.22
Alicante/Alacant,2025,3,2025-T3,550.25
Alicante/Alacant,2025,4,2025-T4,518.11
Alicante/Alacant,2026,1,2026-T1,380.15
Almería,2004,1,2004-T1,1074.6
Almería,2004,2,2004-T2,609.8
Almería,2004,3,2004-T3,418.7
Almería,2004,4,2004-T4,303.4
Almería,2005,1,2005-T1,187.8
Almería,2005,2,2005-T2,488.6
Almería,2005,3,2005-T3,179.7
Almería,2005,4,2005-T4,1129.4
Almería,2006,1,2006-T1,269.0
Almería,2006,2,2006-T2,282.6
Almería,2006,3,2006-T3,113.7
Almería,2006,4,2006-T4,284.5
Almería,2007,1,2007-T1,125.7
Almería,2007,2,2007-T2,160.1
Almería,2007,3,2007-T3,317.53270000000003
Almería,2007,4,2007-T4,127.5
Almería,2008,1,2008-T1,133.7
Almería,2008,2,2008-T2,83.3
Almería,2008,3,2008-T3,242.09
Almería,2008,4,2008-T4,174.14
Almería,2009,1,2009-T1,287.14
Almería,2009,2,2009-T2,136.06
Almería,2009,3,2009-T3,131.48
Almería,2009,4,2009-T4,90.07
Almería,2010,1,2010-T1,52.09
Almería,2010,2,2010-T2,127.11
Almería,2010,3,2010-T3,51.42
Almería,2010,4,2010-T4,74.66
Almería,2011,1,2011-T1,59.86
Almería,2011,2,2011-T2,58.42
Almería,2011,3,2011-T3,77.16
Almería,2011,4,2011-T4,76.84
Almería,2012,1,2012-T1,29.01
Almería,2012,2,2012-T2,100.01
Almería,2012,3,2012-T3,46.11
Almería,2012,4,2012-T4,37.58
Almería,2013,1,2013-T1,20.34
Almería,2013,2,2013-T2,55.31
Almería,2013,3,2013-T3,113.17
Almería,2013,4,2013-T4,52.17
Almería,2014,1,2014-T1,54.74
Almería,2014,2,2014-T2,48.4
Almería,2014,3,2014-T3,47.26
Almería,2014,4,2014-T4,61.38
Almería,2015,1,2015-T1,68.82
Almería,2015,2,2015-T2,34.19
Almería,2015,3,2015-T3,47.53
Almería,2015,4,2015-T4,119.05
Almería,2016,1,2016-T1,57.84
Almería,2016,2,2016-T2,35.53
Almería,2016,3,2016-T3,69.46
Almería,2016,4,2016-T4,95.35
Almería,2017,1,2017-T1,34.09
Almería,2017,2,2017-T2,195.83
Almería,2017,3,2017-T3,72.74
Almería,2017,4,2017-T4,79.77
Almería,2018,1,2018-T1,42.25
Almería,2018,2,2018-T2,150.49
Almería,2018,3,2018-T3,51.06
Almería,2018,4,2018-T4,104.15
Almería,2019,1,2019-T1,135.8
Almería,2019,2,2019-T2,35.91
Almería,2019,3,2019-T3,168.35
Almería,2019,4,2019-T4,74.6
Almería,2020,1,2020-T1,11.07
Almería,2020,2,2020-T2,20.85
Almería,2020,3,2020-T3,49.77
Almería,2020,4,2020-T4,112.88
Almería,2021,1,2021-T1,38.82
Almería,2021,2,2021-T2,104.96
Almería,2021,3,2021-T3,145.97
Almería,2021,4,2021-T4,101.96
Almería,2022,1,2022-T1,74.51
Almería,2022,2,2022-T2,110.96
Almería,2022,3,2022-T3,108.92
Almería,2022,4,2022-T4,113.55
Almería,2023,1,2023-T1,68.25
Almería,2023,2,2023-T2,167.22
Almería,2023,3,2023-T3,45.35
Almería,2023,4,2023-T4,150.65
Almería,2024,1,2024-T1,132.86
Almería,2024,2,2024-T2,103.53
Almería,2024,3,2024-T3,393.5
Almería,2024,4,2024-T4,215.24
Almería,2025,1,2025-T1,87.15
Almería,2025,2,2025-T2,179.21
Almería,2025,3,2025-T3,100.98
Almería,2025,4,2025-T4,107.65
Almería,2026,1,2026-T1,92.5
Avila,2004,1,2004-T1,161.2
Avila,2004,2,2004-T2,220.8
Avila,2004,3,2004-T3,77.0
Avila,2004,4,2004-T4,174.2
Avila,2005,1,2005-T1,167.0
Avila,2005,2,2005-T2,269.7
Avila,2005,3,2005-T3,418.6
Avila,2005,4,2005-T4,292.7
Avila,2006,1,2006-T1,68.7
Avila,2006,2,2006-T2,107.1
Avila,2006,3,2006-T3,44.5
Avila,2006,4,2006-T4,77.4
Avila,2007,1,2007-T1,56.2
Avila,2007,2,2007-T2,118.4
Avila,2007,3,2007-T3,66.03939
Avila,2007,4,2007-T4,64.5
Avila,2008,1,2008-T1,90.8
Avila,2008,2,2008-T2,64.7
Avila,2008,3,2008-T3,44.7
Avila,2008,4,2008-T4,141.8
Avila,2009,1,2009-T1,32.64
Avila,2009,2,2009-T2,65.58
Avila,2009,3,2009-T3,33.5
Avila,2009,4,2009-T4,35.8
Avila,2010,1,2010-T1,32.78
Avila,2010,2,2010-T2,58.11
Avila,2010,3,2010-T3,28.61
Avila,2010,4,2010-T4,34.29
Avila,2011,1,2011-T1,64.26
Avila,2011,2,2011-T2,23.71
Avila,2011,3,2011-T3,15.82
Avila,2011,4,2011-T4,34.47
Avila,2012,1,2012-T1,19.07
Avila,2012,2,2012-T2,23.66
Avila,2012,3,2012-T3,19.64
Avila,2012,4,2012-T4,20.83
Avila,2013,1,2013-T1,117.9
Avila,2013,2,2013-T2,9.98
Avila,2013,3,2013-T3,10.34
Avila,2013,4,2013-T4,12.49
Avila,2014,1,2014-T1,10.68
Avila,2014,2,2014-T2,9.03
Avila,2014,3,2014-T3,7.23
Avila,2014,4,2014-T4,18.28
Avila,2015,1,2015-T1,2.18
Avila,2015,2,2015-T2,16.53
Avila,2015,3,2015-T3,5.09
Avila,2015,4,2015-T4,8.44
Avila,2016,1,2016-T1,5.03
Avila,2016,2,2016-T2,19.15
Avila,2016,3,2016-T3,27.84
Avila,2016,4,2016-T4,10.67
Avila,2017,1,2017-T1,32.49
Avila,2017,2,2017-T2,13.96
Avila,2017,3,2017-T3,7.02
Avila,2017,4,2017-T4,21.74
Avila,2018,1,2018-T1,3.33
Avila,2018,2,2018-T2,10.76
Avila,2018,3,2018-T3,22.15
Avila,2018,4,2018-T4,11.93
Avila,2019,1,2019-T1,10.74
Avila,2019,2,2019-T2,2.54
Avila,2019,3,2019-T3,5.11
Avila,2019,4,2019-T4,7.99
Avila,2020,1,2020-T1,6.13
Avila,2020,2,2020-T2,0.15
Avila,2020,3,2020-T3,20.94
Avila,2020,4,2020-T4,21.29
Avila,2021,1,2021-T1,20.59
Avila,2021,2,2021-T2,11.34
Avila,2021,3,2021-T3,28.51
Avila,2021,4,2021-T4,31.9
Avila,2022,1,2022-T1,72.61
Avila,2022,2,2022-T2,19.95
Avila,2022,3,2022-T3,20.77
Avila,2022,4,2022-T4,31.49
Avila,2023,1,2023-T1,19.9
Avila,2023,2,2023-T2,17.78
Avila,2023,3,2023-T3,17.11
Avila,2023,4,2023-T4,46.04
Avila,2024,1,2024-T1,18.31
Avila,2024,2,2024-T2,18.0
Avila,2024,3,2024-T3,36.8
Avila,2024,4,2024-T4,16.04
Avila,2025,1,2025-T1,171.89
Avila,2025,2,2025-T2,55.76
Avila,2025,3,2025-T3,266.79
Avila,2025,4,2025-T4,52.68
Avila,2026,1,2026-T1,42.33
Badajoz,2004,1,2004-T1,367.1
Badajoz,2004,2,2004-T2,229.0
Badajoz,2004,3,2004-T3,262.6
Badajoz,2004,4,2004-T4,323.1
Badajoz,2005,1,2005-T1,249.1
Badajoz,2005,2,2005-T2,424.5
Badajoz,2005,3,2005-T3,233.6
Badajoz,2005,4,2005-T4,196.1
Badajoz,2006,1,2006-T1,215.9
Badajoz,2006,2,2006-T2,288.2
Badajoz,2006,3,2006-T3,92.5
Badajoz,2006,4,2006-T4,234.7
Badajoz,2007,1,2007-T1,301.8
Badajoz,2007,2,2007-T2,93.9
Badajoz,2007,3,2007-T3,141.82767
Badajoz,2007,4,2007-T4,193.4
Badajoz,2008,1,2008-T1,253.1
Badajoz,2008,2,2008-T2,105.6
Badajoz,2008,3,2008-T3,373.14
Badajoz,2008,4,2008-T4,121.23
Badajoz,2009,1,2009-T1,397.31
Badajoz,2009,2,2009-T2,200.67
Badajoz,2009,3,2009-T3,36.18
Badajoz,2009,4,2009-T4,138.22
Badajoz,2010,1,2010-T1,97.4
Badajoz,2010,2,2010-T2,101.95
Badajoz,2010,3,2010-T3,71.27
Badajoz,2010,4,2010-T4,99.15
Badajoz,2011,1,2011-T1,383.68
Badajoz,2011,2,2011-T2,226.54
Badajoz,2011,3,2011-T3,74.86
Badajoz,2011,4,2011-T4,48.35
Badajoz,2012,1,2012-T1,67.39
Badajoz,2012,2,2012-T2,69.24
Badajoz,2012,3,2012-T3,39.02
Badajoz,2012,4,2012-T4,64.68
Badajoz,2013,1,2013-T1,22.8
Badajoz,2013,2,2013-T2,40.32
Badajoz,2013,3,2013-T3,73.63
Badajoz,2013,4,2013-T4,54.21
Badajoz,2014,1,2014-T1,170.43
Badajoz,2014,2,2014-T2,39.9
Badajoz,2014,3,2014-T3,55.98
Badajoz,2014,4,2014-T4,43.99
