codigo_ccaa,ccaa,anio,trimestre,periodo,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano
03,"Asturias, Principado de",2018,2,2018T2,65.619,60.837,66.308
03,"Asturias, Principado de",2018,3,2018T3,67.219,62.298,67.928
03,"Asturias, Principado de",2018,4,2018T4,67.183,64.755,67.507
03,"Asturias, Principado de",2019,1,2019T1,67.485,64.771,67.855
03,"Asturias, Principado de",2019,2,2019T2,68.976,65.896,69.404
03,"Asturias, Principado de",2019,3,2019T3,69.595,65.562,70.176
03,"Asturias, Principado de",2019,4,2019T4,70.069,66.88,70.513
03,"Asturias, Principado de",2020,1,2020T1,70.43,68.823,70.65
03,"Asturias, Principado de",2020,2,2020T2,71.607,68.871,71.987
03,"Asturias, Principado de",2020,3,2020T3,71.49,72.238,71.378
03,"Asturias, Principado de",2020,4,2020T4,71.369,70.134,71.537
03,"Asturias, Principado de",2021,1,2021T1,71.964,70.494,72.174
03,"Asturias, Principado de",2021,2,2021T2,74.21,71.701,74.606
03,"Asturias, Principado de",2021,3,2021T3,74.786,72.46,75.148
03,"Asturias, Principado de",2021,4,2021T4,75.762,72.965,76.209
03,"Asturias, Principado de",2022,1,2022T1,77.195,75.294,77.463
03,"Asturias, Principado de",2022,2,2022T2,79.104,76.613,79.486
03,"Asturias, Principado de",2022,3,2022T3,79.578,77.582,79.862
03,"Asturias, Principado de",2022,4,2022T4,79.262,78.3,79.341
03,"Asturias, Principado de",2023,1,2023T1,79.97,82.143,79.603
03,"Asturias, Principado de",2023,2,2023T2,81.36,84.077,80.915
03,"Asturias, Principado de",2023,3,2023T3,83.583,86.852,83.057
03,"Asturias, Principado de",2023,4,2023T4,82.013,83.73,81.709
03,"Asturias, Principado de",2024,1,2024T1,84.06,88.576,83.312
03,"Asturias, Principado de",2024,2,2024T2,87.358,89.115,87.046
03,"Asturias, Principado de",2024,3,2024T3,89.334,90.268,89.152
03,"Asturias, Principado de",2024,4,2024T4,91.637,93.878,91.246
03,"Asturias, Principado de",2025,1,2025T1,95.042,96.926,94.714
03,"Asturias, Principado de",2025,2,2025T2,99.184,99.285,99.166
03,"Asturias, Principado de",2025,3,2025T3,101.387,99.669,101.687
03,"Asturias, Principado de",2025,4,2025T4,104.387,104.12,104.433
03,"Asturias, Principado de",2026,1,2026T1,108.655,108.151,108.734
04,"Balears, Illes",2015,1,2015T1,48.905,41.512,49.75
04,"Balears, Illes",2015,2,2015T2,51.058,42.4,52.082
04,"Balears, Illes",2015,3,2015T3,52.63,44.469,53.57
04,"Balears, Illes",2015,4,2015T4,52.409,43.973,53.392
04,"Balears, Illes",2016,1,2016T1,53.195,44.708,54.182
04,"Balears, Illes",2016,2,2016T2,53.623,44.719,54.671
04,"Balears, Illes",2016,3,2016T3,55.447,45.471,56.649
04,"Balears, Illes",2016,4,2016T4,55.396,45.265,56.622
04,"Balears, Illes",2017,1,2017T1,56.135,46.086,57.348
04,"Balears, Illes",2017,2,2017T2,57.573,47.394,58.801
04,"Balears, Illes",2017,3,2017T3,60.478,49.797,61.766
04,"Balears, Illes",2017,4,2017T4,60.802,49.848,62.125
04,"Balears, Illes",2018,1,2018T1,60.721,49.392,62.082
04,"Balears, Illes",2018,2,2018T2,62.414,51.697,63.719
04,"Balears, Illes",2018,3,2018T3,64.729,51.768,66.269
04,"Balears, Illes",2018,4,2018T4,64.667,53.035,66.073
04,"Balears, Illes",2019,1,2019T1,65.164,54.308,66.499
04,"Balears, Illes",2019,2,2019T2,65.693,53.593,67.148
04,"Balears, Illes",2019,3,2019T3,68.635,56.145,70.14
04,"Balears, Illes",2019,4,2019T4,68.234,57.998,69.525
04,"Balears, Illes",2020,1,2020T1,69.048,59.992,70.227
04,"Balears, Illes",2020,2,2020T2,68.707,58.156,70.031
04,"Balears, Illes",2020,3,2020T3,70.935,62.643,72.048
04,"Balears, Illes",2020,4,2020T4,69.904,64.709,70.71
04,"Balears, Illes",2021,1,2021T1,69.836,63.425,70.801
04,"Balears, Illes",2021,2,2021T2,72.618,63.701,73.918
04,"Balears, Illes",2021,3,2021T3,75.743,67.151,77.006
04,"Balears, Illes",2021,4,2021T4,76.6,69.229,77.703
04,"Balears, Illes",2022,1,2022T1,78.221,70.882,79.32
04,"Balears, Illes",2022,2,2022T2,80.513,71.835,81.81
04,"Balears, Illes",2022,3,2022T3,82.058,73.034,83.405
04,"Balears, Illes",2022,4,2022T4,81.129,73.703,82.242
04,"Balears, Illes",2023,1,2023T1,81.519,75.927,82.348
04,"Balears, Illes",2023,2,2023T2,83.119,77.031,84.025
04,"Balears, Illes",2023,3,2023T3,85.732,81.318,86.378
04,"Balears, Illes",2023,4,2023T4,84.691,82.084,85.058
04,"Balears, Illes",2024,1,2024T1,86.24,85.381,86.325
04,"Balears, Illes",2024,2,2024T2,88.257,86.54,88.478
04,"Balears, Illes",2024,3,2024T3,90.726,90.177,90.757
04,"Balears, Illes",2024,4,2024T4,91.979,90.611,92.141
04,"Balears, Illes",2025,1,2025T1,94.84,100.059,94.219
04,"Balears, Illes",2025,2,2025T2,98.579,100.476,98.353
04,"Balears, Illes",2025,3,2025T3,102.308,99.236,102.674
04,"Balears, Illes",2025,4,2025T4,104.272,100.23,104.754
04,"Balears, Illes",2026,1,2026T1,107.765,102.59,108.369
05,Canarias,2015,1,2015T1,55.631,48.531,56.302
05,Canarias,2015,2,2015T2,58.067,50.158,58.849
05,Canarias,2015,3,2015T3,57.837,49.43,58.703
05,Canarias,2015,4,2015T4,57.665,50.241,58.371
05,Canarias,2016,1,2016T1,58.903,52.476,59.461
05,Canarias,2016,2,2016T2,59.17,53.802,59.578
05,Canarias,2016,3,2016T3,59.203,53.076,59.718
05,Canarias,2016,4,2016T4,59.589,52.911,60.178
05,Canarias,2017,1,2017T1,60.93,54.633,61.479
05,Canarias,2017,2,2017T2,61.294,54.876,61.855
05,Canarias,2017,3,2017T3,61.872,55.217,62.456
05,Canarias,2017,4,2017T4,63.185,56.39,63.781
05,Canarias,2018,1,2018T1,63.699,56.559,64.327
05,Canarias,2018,2,2018T2,64.937,57.157,65.624
05,Canarias,2018,3,2018T3,65.191,57.757,65.846
05,Canarias,2018,4,2018T4,65.803,59.699,66.333
05,Canarias,2019,1,2019T1,67.003,61.552,67.47
05,Canarias,2019,2,2019T2,67.026,60.258,67.619
05,Canarias,2019,3,2019T3,67.669,60.614,68.289
05,Canarias,2019,4,2019T4,67.811,60.943,68.413
05,Canarias,2020,1,2020T1,68.192,62.882,68.658
05,Canarias,2020,2,2020T2,67.449,63.181,67.825
05,Canarias,2020,3,2020T3,68.64,66.861,68.8
05,Canarias,2020,4,2020T4,68.376,64.183,68.746
05,Canarias,2021,1,2021T1,69.425,64.808,69.835
05,Canarias,2021,2,2021T2,71.762,67.302,72.156
05,Canarias,2021,3,2021T3,73.412,68.499,73.849
05,Canarias,2021,4,2021T4,73.716,68.77,74.156
05,Canarias,2022,1,2022T1,76.98,72.808,77.346
05,Canarias,2022,2,2022T2,78.534,71.86,79.134
05,Canarias,2022,3,2022T3,79.323,74.081,79.789
05,Canarias,2022,4,2022T4,79.717,76.382,80.004
05,Canarias,2023,1,2023T1,81.216,80.843,81.226
05,Canarias,2023,2,2023T2,82.101,81.906,82.095
05,Canarias,2023,3,2023T3,84.56,82.488,84.727
05,Canarias,2023,4,2023T4,83.341,80.259,83.603
05,Canarias,2024,1,2024T1,85.935,87.013,85.816
05,Canarias,2024,2,2024T2,89.088,90.666,88.922
05,Canarias,2024,3,2024T3,90.57,90.762,90.531
05,Canarias,2024,4,2024T4,92.176,90.914,92.269
05,Canarias,2025,1,2025T1,96.606,97.946,96.507
05,Canarias,2025,2,2025T2,99.467,100.34,99.402
05,Canarias,2025,3,2025T3,101.64,102.032,101.611
05,Canarias,2025,4,2025T4,102.287,99.682,102.48
05,Canarias,2026,1,2026T1,106.94,109.657,106.763
06,Cantabria,2015,1,2015T1,54.892,50.789,55.515
06,Cantabria,2015,2,2015T2,57.68,52.517,58.584
06,Cantabria,2015,3,2015T3,58.517,54.421,59.1
06,Cantabria,2015,4,2015T4,57.713,53.469,58.347
06,Cantabria,2016,1,2016T1,57.714,54.182,58.162
06,Cantabria,2016,2,2016T2,58.903,55.315,59.356
06,Cantabria,2016,3,2016T3,58.947,55.874,59.265
06,Cantabria,2016,4,2016T4,59.067,54.231,59.845
06,Cantabria,2017,1,2017T1,59.425,55.026,60.113
