provincia,anio,numero_transacciones,n_trimestres_disponibles
Guipúzcoa,2024,43.0,4
Guipúzcoa,2025,57.0,4
Huelva,2015,425.0,4
Huelva,2016,186.0,4
Huelva,2017,261.0,4
Huelva,2018,239.0,4
Huelva,2019,493.0,4
Huelva,2020,172.0,4
Huelva,2021,340.0,4
Huelva,2022,298.0,4
Huelva,2023,231.0,4
Huelva,2024,267.0,4
Huelva,2025,597.0,4
Huesca,2015,101.0,4
Huesca,2016,105.0,4
Huesca,2017,153.0,4
Huesca,2018,141.0,4
Huesca,2019,127.0,4
Huesca,2020,116.0,4
Huesca,2021,195.0,4
Huesca,2022,206.0,4
Huesca,2023,200.0,4
Huesca,2024,155.0,4
Huesca,2025,231.0,4
Jaén,2015,390.0,4
Jaén,2016,348.0,4
Jaén,2017,459.0,4
Jaén,2018,436.0,4
Jaén,2019,368.0,4
Jaén,2020,350.0,4
Jaén,2021,573.0,4
Jaén,2022,488.0,4
Jaén,2023,377.0,4
Jaén,2024,291.0,4
Jaén,2025,406.0,4
León,2015,229.0,4
León,2016,202.0,4
León,2017,273.0,4
León,2018,307.0,4
León,2019,292.0,4
León,2020,258.0,4
León,2021,402.0,4
León,2022,302.0,4
León,2023,354.0,4
León,2024,307.0,4
León,2025,400.0,4
Lleida,2015,257.0,4
Lleida,2016,264.0,4
Lleida,2017,343.0,4
Lleida,2018,309.0,4
Lleida,2019,277.0,4
Lleida,2020,228.0,4
Lleida,2021,367.0,4
Lleida,2022,302.0,4
Lleida,2023,297.0,4
Lleida,2024,274.0,4
Lleida,2025,385.0,4
Lugo,2015,87.0,4
Lugo,2016,42.0,4
Lugo,2017,74.0,4
Lugo,2018,84.0,4
Lugo,2019,61.0,4
Lugo,2020,50.0,4
Lugo,2021,79.0,4
Lugo,2022,98.0,4
Lugo,2023,66.0,4
Lugo,2024,58.0,4
Lugo,2025,116.0,4
Melilla,2015,11.0,4
Melilla,2016,8.0,4
Melilla,2017,4.0,4
Melilla,2018,2.0,4
Melilla,2019,9.0,4
Melilla,2020,1.0,4
Melilla,2021,9.0,4
Melilla,2022,3.0,4
Melilla,2023,4.0,4
Melilla,2024,6.0,4
Melilla,2025,1.0,4
Málaga,2015,650.0,4
Málaga,2016,862.0,4
Málaga,2017,907.0,4
Málaga,2018,1085.0,4
Málaga,2019,1088.0,4
Málaga,2020,608.0,4
Málaga,2021,1393.0,4
Málaga,2022,1133.0,4
Málaga,2023,918.0,4
Málaga,2024,913.0,4
Málaga,2025,976.0,4
Ourense,2015,64.0,4
Ourense,2016,42.0,4
Ourense,2017,71.0,4
Ourense,2018,78.0,4
Ourense,2019,51.0,4
Ourense,2020,45.0,4
Ourense,2021,66.0,4
Ourense,2022,67.0,4
Ourense,2023,56.0,4
Ourense,2024,38.0,4
Ourense,2025,74.0,4
Palencia,2015,106.0,4
Palencia,2016,80.0,4
Palencia,2017,81.0,4
Palencia,2018,106.0,4
Palencia,2019,91.0,4
Palencia,2020,89.0,4
Palencia,2021,200.0,4
Palencia,2022,158.0,4
Palencia,2023,122.0,4
Palencia,2024,144.0,4
Palencia,2025,161.0,4
Palmas (Las),2015,220.0,4
Palmas (Las),2016,296.0,4
Palmas (Las),2017,297.0,4
Palmas (Las),2018,385.0,4
Palmas (Las),2019,309.0,4
Palmas (Las),2020,241.0,4
Palmas (Las),2021,294.0,4
Palmas (Las),2022,306.0,4
Palmas (Las),2023,340.0,4
Palmas (Las),2024,486.0,4
