codigo_provincia,provincia,provincia_original,anio,trimestre,periodo,valor_tasado_m2,valor_original,hoja_origen
01,Araba/Álava,Araba/Alava,2007,3,2007T3,2542.4,2542.4,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2007,4,2007T4,2495.3,2495.3,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2008,1,2008T1,2506.6,2506.6,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2008,2,2008T2,2503.5,2503.5,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2008,3,2008T3,2441.3,2441.3,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2008,4,2008T4,2418.9,2418.9,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2009,1,2009T1,2380.1,2380.1,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2009,2,2009T2,2332.5,2332.5,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2009,3,2009T3,2267.3,2267.3,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2009,4,2009T4,2243.7,2243.7,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2010,1,2010T1,2297.0,2297,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2010,2,2010T2,2297.8,2297.8,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2010,3,2010T3,2237.6,2237.6,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2010,4,2010T4,2204.7,2204.7,"2007, 2008, 2009, 2010"
01,Araba/Álava,Araba/Alava,2011,1,2011T1,2116.7,2116.7,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2011,2,2011T2,2161.2,2161.2,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2011,3,2011T3,2230.4,2230.4,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2011,4,2011T4,2299.5,2299.5,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2012,1,2012T1,2265.0,2265,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2012,2,2012T2,2269.5,2269.5,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2012,3,2012T3,2090.2,2090.2,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2012,4,2012T4,2186.3,2186.3,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2013,1,2013T1,2122.9,2122.9,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2013,2,2013T2,2088.9,2088.9,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2013,3,2013T3,2072.2,2072.2,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2013,4,2013T4,2049.4,2049.4,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2014,1,2014T1,2033.0,2033,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2014,2,2014T2,1990.3,1990.3,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2014,3,2014T3,1966.4,1966.4,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2014,4,2014T4,1982.1,1982.1,"2011, 2012, 2013, 2014"
01,Araba/Álava,Araba/Alava,2015,1,2015T1,1938.3,1938.3,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2015,2,2015T2,2029.1,2029.1,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2015,3,2015T3,1970.3,1970.3,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2015,4,2015T4,1967.3,1967.3,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2016,1,2016T1,1916.1,1916.1,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2016,2,2016T2,1925.4,1925.4,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2016,3,2016T3,1911.1,1911.1,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2016,4,2016T4,1860.8,1860.8,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2017,1,2017T1,1931.1,1931.1,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2017,2,2017T2,1905.1,1905.1,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2017,3,2017T3,1910.5,1910.5,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2017,4,2017T4,1940.6,1940.6,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2018,1,2018T1,1902.8999999999999,1902.8999999999999,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2018,2,2018T2,1911.7,1911.7,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2018,3,2018T3,1901.0,1901,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2018,4,2018T4,1941.5,1941.5,"2015, 2016, 2017, 2018"
01,Araba/Álava,Araba/Alava,2019,1,2019T1,1993.1,1993.1,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2019,2,2019T2,1966.8,1966.8,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2019,3,2019T3,1914.1000000000001,1914.1000000000001,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2019,4,2019T4,1964.2,1964.2,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2020,1,2020T1,1947.0,1947,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2020,2,2020T2,1949.1,1949.1,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2020,3,2020T3,1921.8999999999999,1921.8999999999999,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2020,4,2020T4,1966.3999999999999,1966.3999999999999,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2021,1,2021T1,2017.1,2017.1,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2021,2,2021T2,2010.0,2010,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2021,3,2021T3,1975.3999999999999,1975.3999999999999,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2021,4,2021T4,2036.7,2036.7,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2022,1,2022T1,1985.2,1985.2,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2022,2,2022T2,2048.8,2048.8,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2022,3,2022T3,2046.3999999999999,2046.3999999999999,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2022,4,2022T4,2035.2,2035.2,"2019, 2020, 2021, 2022"
01,Araba/Álava,Araba/Alava,2023,1,2023T1,2070.5,2070.5,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2023,2,2023T2,2078.3,2078.3,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2023,3,2023T3,2092.3,2092.3,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2023,4,2023T4,2108.4,2108.4,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2024,1,2024T1,2095.7,2095.7,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2024,2,2024T2,2112.0,2112,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2024,3,2024T3,2141.4,2141.4,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2024,4,2024T4,2183.2000000000003,2183.2000000000003,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2025,1,2025T1,2250.6000000000004,2250.6000000000004,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2025,2,2025T2,2350.5,2350.5,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2025,3,2025T3,2338.7999999999997,2338.7999999999997,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2025,4,2025T4,2404.8,2404.8,"2023, 2024, 2025, 2026"
01,Araba/Álava,Araba/Alava,2026,1,2026T1,2500.8,2500.8,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,1995,1,1995T1,438.7,438.7,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1995,2,1995T2,432.1,432.1,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1995,3,1995T3,422.3,422.3,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1995,4,1995T4,462.7,462.7,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1996,1,1996T1,443.0,443,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1996,2,1996T2,433.2,433.2,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1996,3,1996T3,438.7,438.7,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1996,4,1996T4,469.2,469.2,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1997,1,1997T1,461.6,461.6,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1997,2,1997T2,443.0,443,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1997,3,1997T3,479.0,479,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1997,4,1997T4,474.7,474.7,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1998,1,1998T1,479.0,479,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1998,2,1998T2,477.9,477.9,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1998,3,1998T3,489.9,489.9,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1998,4,1998T4,504.1,504.1,"1995, 1996, 1997, 1998"
02,Albacete,Albacete,1999,1,1999T1,506.3,506.3,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,1999,2,1999T2,519.4,519.4,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,1999,3,1999T3,544.5,544.5,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,1999,4,1999T4,550.0,550,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2000,1,2000T1,553.2,553.2,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2000,2,2000T2,544.5,544.5,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2000,3,2000T3,559.8,559.8,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2000,4,2000T4,596.9,596.9,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2001,1,2001T1,613.3,613.3,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2001,2,2001T2,641.6,641.6,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2001,3,2001T3,636.2,636.2,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2001,4,2001T4,653.6,653.6,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2002,1,2002T1,699.5,699.5,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2002,2,2002T2,740.9,740.9,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2002,3,2002T3,736.6,736.6,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2002,4,2002T4,737.7,737.7,"1999, 2000, 2001, 2002"
02,Albacete,Albacete,2003,1,2003T1,736.6,736.6,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2003,2,2003T2,790.0,790,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2003,3,2003T3,814.0,814,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2003,4,2003T4,830.4,830.4,"2003, 2004, 2005, 2006"
