codigo_provincia,provincia,tamano_hogar,anio,numero_hogares,n_trimestres_disponibles
34,Palencia,1,2023,24.06,4
34,Palencia,1,2024,24.35,4
34,Palencia,1,2025,24.63,4
34,Palencia,2,2021,19.81,4
34,Palencia,2,2022,20.19,4
34,Palencia,2,2023,20.44,4
34,Palencia,2,2024,20.65,4
34,Palencia,2,2025,20.83,4
34,Palencia,3,2021,13.59,4
34,Palencia,3,2022,13.24,4
34,Palencia,3,2023,13.07,4
34,Palencia,3,2024,12.93,4
34,Palencia,3,2025,12.85,4
34,Palencia,4 y más,2021,12.18,4
34,Palencia,4 y más,2022,11.89,4
34,Palencia,4 y más,2023,11.67,4
34,Palencia,4 y más,2024,11.62,4
34,Palencia,4 y más,2025,11.62,4
34,Palencia,Total,2021,68.46,4
34,Palencia,Total,2022,68.89,4
34,Palencia,Total,2023,69.24,4
34,Palencia,Total,2024,69.54,4
34,Palencia,Total,2025,69.93,4
35,"Palmas, Las",1,2021,111.2,4
35,"Palmas, Las",1,2022,115.39,4
35,"Palmas, Las",1,2023,117.93,4
35,"Palmas, Las",1,2024,119.65,4
35,"Palmas, Las",1,2025,121.51,4
35,"Palmas, Las",2,2021,112.08,4
35,"Palmas, Las",2,2022,114.95,4
35,"Palmas, Las",2,2023,117.3,4
35,"Palmas, Las",2,2024,119.21,4
35,"Palmas, Las",2,2025,121.28,4
35,"Palmas, Las",3,2021,92.05,4
35,"Palmas, Las",3,2022,92.41,4
35,"Palmas, Las",3,2023,93.16,4
35,"Palmas, Las",3,2024,94.05,4
35,"Palmas, Las",3,2025,94.79,4
35,"Palmas, Las",4 y más,2021,109.8,4
35,"Palmas, Las",4 y más,2022,108.73,4
35,"Palmas, Las",4 y más,2023,108.88,4
35,"Palmas, Las",4 y más,2024,109.29,4
35,"Palmas, Las",4 y más,2025,109.4,4
35,"Palmas, Las",Total,2021,425.13,4
35,"Palmas, Las",Total,2022,431.49,4
35,"Palmas, Las",Total,2023,437.27,4
35,"Palmas, Las",Total,2024,442.2,4
35,"Palmas, Las",Total,2025,446.97,4
36,Pontevedra,1,2021,99.32,4
36,Pontevedra,1,2022,102.37,4
36,Pontevedra,1,2023,104.69,4
36,Pontevedra,1,2024,106.41,4
36,Pontevedra,1,2025,108.02,4
36,Pontevedra,2,2021,100.39,4
36,Pontevedra,2,2022,102.24,4
36,Pontevedra,2,2023,103.69,4
36,Pontevedra,2,2024,104.75,4
36,Pontevedra,2,2025,106.15,4
36,Pontevedra,3,2021,79.3,4
36,Pontevedra,3,2022,78.98,4
36,Pontevedra,3,2023,78.85,4
36,Pontevedra,3,2024,78.82,4
36,Pontevedra,3,2025,78.95,4
36,Pontevedra,4 y más,2021,88.9,4
36,Pontevedra,4 y más,2022,87.67,4
36,Pontevedra,4 y más,2023,86.85,4
36,Pontevedra,4 y más,2024,86.13,4
36,Pontevedra,4 y más,2025,85.23,4
36,Pontevedra,Total,2021,367.9,4
36,Pontevedra,Total,2022,371.25,4
36,Pontevedra,Total,2023,374.07,4
36,Pontevedra,Total,2024,376.1,4
36,Pontevedra,Total,2025,378.34,4
26,"Rioja, La",1,2021,40.88,4
26,"Rioja, La",1,2022,42.07,4
26,"Rioja, La",1,2023,43.18,4
26,"Rioja, La",1,2024,43.82,4
26,"Rioja, La",1,2025,44.57,4
26,"Rioja, La",2,2021,38.23,4
26,"Rioja, La",2,2022,38.96,4
26,"Rioja, La",2,2023,39.49,4
26,"Rioja, La",2,2024,40.07,4
26,"Rioja, La",2,2025,40.63,4
26,"Rioja, La",3,2021,25.98,4
26,"Rioja, La",3,2022,25.69,4
26,"Rioja, La",3,2023,25.69,4
26,"Rioja, La",3,2024,25.78,4
26,"Rioja, La",3,2025,26.02,4
26,"Rioja, La",4 y más,2021,27.71,4
26,"Rioja, La",4 y más,2022,27.46,4
26,"Rioja, La",4 y más,2023,27.47,4
26,"Rioja, La",4 y más,2024,27.4,4
26,"Rioja, La",4 y más,2025,27.42,4
26,"Rioja, La",Total,2021,132.8,4
26,"Rioja, La",Total,2022,134.19,4
26,"Rioja, La",Total,2023,135.83,4
26,"Rioja, La",Total,2024,137.06,4
26,"Rioja, La",Total,2025,138.65,4
37,Salamanca,1,2021,49.5,4
37,Salamanca,1,2022,51.11,4
37,Salamanca,1,2023,52.44,4
37,Salamanca,1,2024,53.21,4
37,Salamanca,1,2025,54.02,4
37,Salamanca,2,2021,41.65,4
37,Salamanca,2,2022,42.42,4
37,Salamanca,2,2023,43.11,4
37,Salamanca,2,2024,43.46,4
37,Salamanca,2,2025,44.03,4
37,Salamanca,3,2021,27.42,4
37,Salamanca,3,2022,27.0,4
37,Salamanca,3,2023,26.76,4
37,Salamanca,3,2024,26.74,4
37,Salamanca,3,2025,26.67,4
37,Salamanca,4 y más,2021,24.99,4
37,Salamanca,4 y más,2022,24.44,4
37,Salamanca,4 y más,2023,24.03,4
37,Salamanca,4 y más,2024,23.8,4
37,Salamanca,4 y más,2025,23.66,4
37,Salamanca,Total,2021,143.57,4
37,Salamanca,Total,2022,144.97,4
37,Salamanca,Total,2023,146.34,4
37,Salamanca,Total,2024,147.21,4
37,Salamanca,Total,2025,148.38,4
38,Santa Cruz de Tenerife,1,2021,108.89,4
38,Santa Cruz de Tenerife,1,2022,112.3,4
38,Santa Cruz de Tenerife,1,2023,114.26,4
38,Santa Cruz de Tenerife,1,2024,114.96,4
38,Santa Cruz de Tenerife,1,2025,116.0,4
38,Santa Cruz de Tenerife,2,2021,105.56,4
38,Santa Cruz de Tenerife,2,2022,108.71,4
38,Santa Cruz de Tenerife,2,2023,111.14,4
38,Santa Cruz de Tenerife,2,2024,112.48,4
38,Santa Cruz de Tenerife,2,2025,113.62,4
38,Santa Cruz de Tenerife,3,2021,84.89,4
38,Santa Cruz de Tenerife,3,2022,85.31,4
38,Santa Cruz de Tenerife,3,2023,86.28,4
38,Santa Cruz de Tenerife,3,2024,87.06,4
38,Santa Cruz de Tenerife,3,2025,87.82,4
38,Santa Cruz de Tenerife,4 y más,2021,100.3,4
38,Santa Cruz de Tenerife,4 y más,2022,99.83,4
38,Santa Cruz de Tenerife,4 y más,2023,100.43,4
38,Santa Cruz de Tenerife,4 y más,2024,100.83,4
38,Santa Cruz de Tenerife,4 y más,2025,100.97,4
38,Santa Cruz de Tenerife,Total,2021,399.64,4
38,Santa Cruz de Tenerife,Total,2022,406.15,4
38,Santa Cruz de Tenerife,Total,2023,412.1,4
38,Santa Cruz de Tenerife,Total,2024,415.33,4
38,Santa Cruz de Tenerife,Total,2025,418.41,4
40,Segovia,1,2021,20.66,4
40,Segovia,1,2022,21.26,4
40,Segovia,1,2023,21.77,4
40,Segovia,1,2024,21.97,4
40,Segovia,1,2025,22.29,4
40,Segovia,2,2021,17.07,4
40,Segovia,2,2022,17.43,4
40,Segovia,2,2023,17.88,4
40,Segovia,2,2024,18.22,4
40,Segovia,2,2025,18.51,4
40,Segovia,3,2021,12.03,4
40,Segovia,3,2022,12.07,4
40,Segovia,3,2023,12.06,4
40,Segovia,3,2024,12.04,4
40,Segovia,3,2025,12.13,4
40,Segovia,4 y más,2021,14.02,4
40,Segovia,4 y más,2022,13.81,4
40,Segovia,4 y más,2023,13.79,4
40,Segovia,4 y más,2024,13.79,4
40,Segovia,4 y más,2025,13.85,4
40,Segovia,Total,2021,63.78,4
40,Segovia,Total,2022,64.58,4
40,Segovia,Total,2023,65.5,4
40,Segovia,Total,2024,66.02,4
40,Segovia,Total,2025,66.78,4
41,Sevilla,1,2021,167.41,4
41,Sevilla,1,2022,174.52,4
41,Sevilla,1,2023,179.02,4
41,Sevilla,1,2024,183.28,4
41,Sevilla,1,2025,187.38,4
41,Sevilla,2,2021,195.46,4
41,Sevilla,2,2022,200.85,4
41,Sevilla,2,2023,205.07,4
41,Sevilla,2,2024,208.53,4
41,Sevilla,2,2025,212.0,4
41,Sevilla,3,2021,157.85,4
41,Sevilla,3,2022,157.78,4
41,Sevilla,3,2023,158.79,4
41,Sevilla,3,2024,159.64,4
41,Sevilla,3,2025,160.53,4
41,Sevilla,4 y más,2021,206.46,4
41,Sevilla,4 y más,2022,203.41,4
41,Sevilla,4 y más,2023,201.64,4
41,Sevilla,4 y más,2024,200.32,4
41,Sevilla,4 y más,2025,199.6,4
41,Sevilla,Total,2021,727.18,4
41,Sevilla,Total,2022,736.56,4
41,Sevilla,Total,2023,744.52,4
41,Sevilla,Total,2024,751.76,4
41,Sevilla,Total,2025,759.51,4
42,Soria,1,2021,13.47,4
42,Soria,1,2022,13.86,4
42,Soria,1,2023,14.14,4
42,Soria,1,2024,14.34,4
42,Soria,1,2025,14.53,4
42,Soria,2,2021,10.09,4
42,Soria,2,2022,10.29,4
42,Soria,2,2023,10.49,4
42,Soria,2,2024,10.6,4
42,Soria,2,2025,10.73,4
42,Soria,3,2021,7.21,4
42,Soria,3,2022,7.17,4
42,Soria,3,2023,7.18,4
42,Soria,3,2024,7.14,4
42,Soria,3,2025,7.1,4
42,Soria,4 y más,2021,7.33,4
42,Soria,4 y más,2022,7.15,4
42,Soria,4 y más,2023,7.15,4
42,Soria,4 y más,2024,7.14,4
42,Soria,4 y más,2025,7.12,4
42,Soria,Total,2021,38.1,4
42,Soria,Total,2022,38.46,4
42,Soria,Total,2023,38.96,4
42,Soria,Total,2024,39.22,4
42,Soria,Total,2025,39.48,4
43,Tarragona,1,2021,89.01,4
43,Tarragona,1,2022,92.7,4
43,Tarragona,1,2023,95.36,4
43,Tarragona,1,2024,97.69,4
43,Tarragona,1,2025,100.22,4
43,Tarragona,2,2021,93.89,4
43,Tarragona,2,2022,96.89,4
43,Tarragona,2,2023,99.02,4
43,Tarragona,2,2024,101.22,4
43,Tarragona,2,2025,103.47,4
43,Tarragona,3,2021,65.23,4
43,Tarragona,3,2022,65.6,4
43,Tarragona,3,2023,66.43,4
43,Tarragona,3,2024,67.44,4
43,Tarragona,3,2025,68.5,4
43,Tarragona,4 y más,2021,77.41,4
43,Tarragona,4 y más,2022,77.35,4
43,Tarragona,4 y más,2023,78.46,4
43,Tarragona,4 y más,2024,79.13,4
43,Tarragona,4 y más,2025,79.87,4
43,Tarragona,Total,2021,325.53,4
43,Tarragona,Total,2022,332.54,4
43,Tarragona,Total,2023,339.27,4
43,Tarragona,Total,2024,345.48,4
43,Tarragona,Total,2025,352.07,4
44,Teruel,1,2021,17.27,4
44,Teruel,1,2022,17.72,4
44,Teruel,1,2023,18.14,4
44,Teruel,1,2024,18.49,4
44,Teruel,1,2025,18.64,4
44,Teruel,2,2021,14.66,4
44,Teruel,2,2022,14.92,4
44,Teruel,2,2023,15.1,4
44,Teruel,2,2024,15.23,4
44,Teruel,2,2025,15.39,4
44,Teruel,3,2021,10.61,4
44,Teruel,3,2022,10.52,4
44,Teruel,3,2023,10.6,4
44,Teruel,3,2024,10.62,4
44,Teruel,3,2025,10.62,4
44,Teruel,4 y más,2021,12.27,4
44,Teruel,4 y más,2022,12.14,4
44,Teruel,4 y más,2023,12.03,4
44,Teruel,4 y más,2024,11.93,4
44,Teruel,4 y más,2025,11.99,4
44,Teruel,Total,2021,54.81,4
44,Teruel,Total,2022,55.3,4
44,Teruel,Total,2023,55.87,4
44,Teruel,Total,2024,56.28,4
44,Teruel,Total,2025,56.64,4
45,Toledo,1,2021,70.74,4
45,Toledo,1,2022,73.42,4
45,Toledo,1,2023,75.61,4
45,Toledo,1,2024,76.8,4
45,Toledo,1,2025,78.06,4
45,Toledo,2,2021,71.46,4
45,Toledo,2,2022,73.8,4
45,Toledo,2,2023,75.95,4
45,Toledo,2,2024,77.82,4
45,Toledo,2,2025,79.78,4
45,Toledo,3,2021,55.53,4
45,Toledo,3,2022,56.0,4
45,Toledo,3,2023,56.8,4
45,Toledo,3,2024,57.59,4
45,Toledo,3,2025,58.32,4
45,Toledo,4 y más,2021,73.21,4
45,Toledo,4 y más,2022,73.2,4
45,Toledo,4 y más,2023,73.75,4
45,Toledo,4 y más,2024,74.44,4
45,Toledo,4 y más,2025,75.5,4
45,Toledo,Total,2021,270.95,4
45,Toledo,Total,2022,276.43,4
45,Toledo,Total,2023,282.1,4
45,Toledo,Total,2024,286.65,4
45,Toledo,Total,2025,291.66,4
46,Valencia/València,1,2021,284.84,4
46,Valencia/València,1,2022,295.0,4
46,Valencia/València,1,2023,301.85,4
46,Valencia/València,1,2024,305.96,4
46,Valencia/València,1,2025,309.27,4
46,Valencia/València,2,2021,293.42,4
46,Valencia/València,2,2022,300.98,4
46,Valencia/València,2,2023,308.42,4
46,Valencia/València,2,2024,315.37,4
46,Valencia/València,2,2025,320.38,4
46,Valencia/València,3,2021,219.25,4
46,Valencia/València,3,2022,219.83,4
46,Valencia/València,3,2023,222.72,4
46,Valencia/València,3,2024,226.07,4
46,Valencia/València,3,2025,228.82,4
46,Valencia/València,4 y más,2021,237.91,4
46,Valencia/València,4 y más,2022,237.68,4
46,Valencia/València,4 y más,2023,240.78,4
46,Valencia/València,4 y más,2024,245.03,4
46,Valencia/València,4 y más,2025,249.68,4
47,Valladolid,1,2021,64.89,4
47,Valladolid,1,2022,67.15,4
47,Valladolid,1,2023,68.99,4
47,Valladolid,1,2024,70.34,4
47,Valladolid,1,2025,71.44,4
47,Valladolid,2,2021,64.23,4
47,Valladolid,2,2022,65.55,4
47,Valladolid,2,2023,67.02,4
47,Valladolid,2,2024,67.92,4
47,Valladolid,2,2025,68.76,4
47,Valladolid,3,2021,45.04,4
47,Valladolid,3,2022,44.47,4
47,Valladolid,3,2023,44.19,4
47,Valladolid,3,2024,44.08,4
47,Valladolid,3,2025,44.3,4
47,Valladolid,4 y más,2021,42.84,4
47,Valladolid,4 y más,2022,42.18,4
47,Valladolid,4 y más,2023,41.79,4
47,Valladolid,4 y más,2024,41.8,4
47,Valladolid,4 y más,2025,41.96,4
47,Valladolid,Total,2021,217.0,4
47,Valladolid,Total,2022,219.35,4
47,Valladolid,Total,2023,222.0,4
47,Valladolid,Total,2024,224.14,4
47,Valladolid,Total,2025,226.46,4
49,Zamora,1,2021,27.69,4
49,Zamora,1,2022,28.47,4
49,Zamora,1,2023,28.98,4
49,Zamora,1,2024,29.31,4
49,Zamora,1,2025,29.81,4
49,Zamora,2,2021,22.3,4
49,Zamora,2,2022,22.51,4
49,Zamora,2,2023,22.79,4
49,Zamora,2,2024,22.83,4
49,Zamora,2,2025,22.96,4
49,Zamora,3,2021,14.25,4
49,Zamora,3,2022,13.94,4
49,Zamora,3,2023,13.75,4
49,Zamora,3,2024,13.63,4
49,Zamora,3,2025,13.51,4
49,Zamora,4 y más,2021,11.94,4
49,Zamora,4 y más,2022,11.56,4
49,Zamora,4 y más,2023,11.24,4
49,Zamora,4 y más,2024,11.02,4
49,Zamora,4 y más,2025,10.83,4
49,Zamora,Total,2021,76.18,4
49,Zamora,Total,2022,76.48,4
49,Zamora,Total,2023,76.76,4
49,Zamora,Total,2024,76.79,4
49,Zamora,Total,2025,77.11,4
50,Zaragoza,1,2021,115.66,4
50,Zaragoza,1,2022,119.74,4
50,Zaragoza,1,2023,122.3,4
50,Zaragoza,1,2024,123.83,4
50,Zaragoza,1,2025,125.42,4
50,Zaragoza,2,2021,117.08,4
50,Zaragoza,2,2022,118.98,4
50,Zaragoza,2,2023,120.97,4
50,Zaragoza,2,2024,122.0,4
50,Zaragoza,2,2025,123.27,4
50,Zaragoza,3,2021,82.51,4
50,Zaragoza,3,2022,81.95,4
50,Zaragoza,3,2023,81.93,4
50,Zaragoza,3,2024,81.87,4
50,Zaragoza,3,2025,81.86,4
50,Zaragoza,4 y más,2021,84.58,4
50,Zaragoza,4 y más,2022,83.36,4
50,Zaragoza,4 y más,2023,83.7,4
50,Zaragoza,4 y más,2024,84.35,4
50,Zaragoza,4 y más,2025,85.73,4
50,Zaragoza,Total,2021,399.83,4
50,Zaragoza,Total,2022,404.04,4
50,Zaragoza,Total,2023,408.9,4
50,Zaragoza,Total,2024,412.05,4
50,Zaragoza,Total,2025,416.28,4
05,Ávila,1,2021,25.74,4
05,Ávila,1,2022,26.23,4
05,Ávila,1,2023,26.72,4
05,Ávila,1,2024,26.91,4
05,Ávila,1,2025,27.2,4
05,Ávila,2,2021,19.27,4
05,Ávila,2,2022,19.63,4
05,Ávila,2,2023,19.82,4
05,Ávila,2,2024,19.95,4
05,Ávila,2,2025,20.1,4
05,Ávila,3,2021,12.67,4
05,Ávila,3,2022,12.56,4
05,Ávila,3,2023,12.55,4
05,Ávila,3,2024,12.48,4
05,Ávila,3,2025,12.55,4
05,Ávila,4 y más,2021,12.52,4
05,Ávila,4 y más,2022,12.33,4
05,Ávila,4 y más,2023,12.25,4
05,Ávila,4 y más,2024,12.22,4
05,Ávila,4 y más,2025,12.21,4
05,Ávila,Total,2021,70.21,4
05,Ávila,Total,2022,70.74,4
05,Ávila,Total,2023,71.34,4
05,Ávila,Total,2024,71.56,4
05,Ávila,Total,2025,72.06,4
