codigo_serie,alias_serie,descripcion_serie,unidad,frecuencia,anio,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,anio_completo
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
DHIENA2025IPVUVT_VVU_TTVA.T,SI_1_5.3,Estadísticas generales. IPV. Vivienda usada. Tasa de variación interanual.,Porcentaje,TRIMESTRAL,2025,4,2025-03-01,2025-12-01,4.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2015,12,2015-01-01,2015-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2016,12,2016-01-01,2016-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2017,12,2017-01-01,2017-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2018,12,2018-01-01,2018-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2019,12,2019-01-01,2019-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2020,12,2020-01-01,2020-12-01,12.0,True
