codigo_ccaa,ccaa,ccaa_original,anio,trimestre,periodo,tipo_vivienda,tipo_indicador,valor,valor_original
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación anual,8.6,"8,6"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación anual,1.8,"1,8"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Variación en lo que va de año,2.1,"2,1"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación en lo que va de año,7.0,"7,0"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación en lo que va de año,1.5,"1,5"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Variación trimestral,1.3,"1,3"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Variación trimestral,4.1,"4,1"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2016,2,2016T2,General,Índice,57.602,"57,602"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda nueva,Índice,49.659,"49,659"
01,Andalucía,01 Andalucía,2016,2,2016T2,Vivienda segunda mano,Índice,58.894,"58,894"
01,Andalucía,01 Andalucía,2016,3,2016T3,General,Variación anual,1.4,"1,4"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda nueva,Variación anual,7.5,"7,5"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda segunda mano,Variación anual,0.5,"0,5"
01,Andalucía,01 Andalucía,2016,3,2016T3,General,Variación en lo que va de año,2.1,"2,1"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda nueva,Variación en lo que va de año,5.5,"5,5"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda segunda mano,Variación en lo que va de año,1.6,"1,6"
01,Andalucía,01 Andalucía,2016,3,2016T3,General,Variación trimestral,-0.1,"-0,1"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda nueva,Variación trimestral,-1.3,"-1,3"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda segunda mano,Variación trimestral,0.1,"0,1"
01,Andalucía,01 Andalucía,2016,3,2016T3,General,Índice,57.552,"57,552"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda nueva,Índice,48.998,"48,998"
01,Andalucía,01 Andalucía,2016,3,2016T3,Vivienda segunda mano,Índice,58.948,"58,948"
01,Andalucía,01 Andalucía,2016,4,2016T4,General,Variación anual,2.1,"2,1"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda nueva,Variación anual,4.7,"4,7"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda segunda mano,Variación anual,1.7,"1,7"
01,Andalucía,01 Andalucía,2016,4,2016T4,General,Variación en lo que va de año,2.1,"2,1"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda nueva,Variación en lo que va de año,4.7,"4,7"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda segunda mano,Variación en lo que va de año,1.7,"1,7"
01,Andalucía,01 Andalucía,2016,4,2016T4,General,Variación trimestral,0.0,"0,0"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda nueva,Variación trimestral,-0.8,"-0,8"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda segunda mano,Variación trimestral,0.1,"0,1"
01,Andalucía,01 Andalucía,2016,4,2016T4,General,Índice,57.569,"57,569"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda nueva,Índice,48.587,"48,587"
01,Andalucía,01 Andalucía,2016,4,2016T4,Vivienda segunda mano,Índice,59.036,"59,036"
01,Andalucía,01 Andalucía,2017,1,2017T1,General,Variación anual,2.1,"2,1"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda nueva,Variación anual,4.1,"4,1"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda segunda mano,Variación anual,1.9,"1,9"
01,Andalucía,01 Andalucía,2017,1,2017T1,General,Variación en lo que va de año,0.9,"0,9"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda nueva,Variación en lo que va de año,2.2,"2,2"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda segunda mano,Variación en lo que va de año,0.7,"0,7"
01,Andalucía,01 Andalucía,2017,1,2017T1,General,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda nueva,Variación trimestral,2.2,"2,2"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda segunda mano,Variación trimestral,0.7,"0,7"
