codigo_ccaa,ccaa,anio,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano,ipv_general_variacion_pct,ipv_vivienda_nueva_variacion_pct,ipv_segunda_mano_variacion_pct
08,Castilla - La Mancha,2025,100.0,100.0,100.0,11.536,12.816,11.304
09,Cataluña,2015,53.274,46.306,54.096,,,
09,Cataluña,2016,57.014,49.972,57.842,7.02,7.917,6.925
09,Cataluña,2017,62.469,54.228,63.445,9.568,8.517,9.687
09,Cataluña,2018,67.95,58.886,69.025,8.774,8.59,8.795
09,Cataluña,2019,71.464,62.998,72.48,5.171,6.983,5.005
09,Cataluña,2020,72.929,68.399,73.458,2.05,8.573,1.349
09,Cataluña,2021,75.449,71.054,76.0,3.455,3.882,3.46
09,Cataluña,2022,80.818,76.448,81.358,7.116,7.591,7.05
09,Cataluña,2023,83.646,82.749,83.754,3.499,8.242,2.945
09,Cataluña,2024,89.817,90.699,89.721,7.378,9.607,7.124
09,Cataluña,2025,100.0,100.0,100.0,11.337,10.255,11.457
10,Comunitat Valenciana,2015,59.74,51.843,61.207,,,
10,Comunitat Valenciana,2016,61.301,55.023,62.492,2.613,6.134,2.099
10,Comunitat Valenciana,2017,62.958,56.79,64.14,2.703,3.211,2.637
10,Comunitat Valenciana,2018,65.521,60.087,66.58,4.071,5.806,3.804
10,Comunitat Valenciana,2019,68.287,64.251,69.1,4.222,6.93,3.785
10,Comunitat Valenciana,2020,69.785,67.692,70.242,2.194,5.356,1.653
10,Comunitat Valenciana,2021,72.804,70.386,73.335,4.326,3.98,4.403
10,Comunitat Valenciana,2022,78.042,76.084,78.474,7.195,8.095,7.008
10,Comunitat Valenciana,2023,81.2,82.896,80.904,4.047,8.953,3.097
10,Comunitat Valenciana,2024,88.555,91.523,88.045,9.058,10.407,8.827
10,Comunitat Valenciana,2025,100.0,100.0,100.0,12.924,9.262,13.578
11,Extremadura,2015,71.315,57.77,72.589,,,
11,Extremadura,2016,72.335,62.085,72.975,1.43,7.469,0.532
11,Extremadura,2017,72.634,63.369,73.131,0.413,2.068,0.214
11,Extremadura,2018,73.98,68.511,74.282,1.853,8.114,1.574
11,Extremadura,2019,75.426,75.441,75.384,1.955,10.115,1.484
11,Extremadura,2020,75.814,75.56,75.824,0.514,0.158,0.584
11,Extremadura,2021,77.57,77.243,77.59,2.316,2.227,2.329
11,Extremadura,2022,81.736,83.061,81.644,5.371,7.532,5.225
11,Extremadura,2023,82.985,85.13,82.844,1.528,2.491,1.47
11,Extremadura,2024,89.042,89.144,89.044,7.299,4.715,7.484
11,Extremadura,2025,100.0,100.0,100.0,12.307,12.178,12.304
12,Galicia,2015,62.315,52.123,64.47,,,
12,Galicia,2016,63.534,54.884,65.098,1.956,5.297,0.974
12,Galicia,2017,64.631,56.751,66.041,1.727,3.402,1.449
12,Galicia,2018,67.096,60.939,68.17,3.814,7.38,3.224
12,Galicia,2019,69.792,65.195,70.569,4.018,6.984,3.519
12,Galicia,2020,71.36,68.786,71.851,2.247,5.508,1.817
12,Galicia,2021,74.641,71.029,75.282,4.598,3.261,4.775
12,Galicia,2022,79.567,76.434,80.106,6.6,7.61,6.408
12,Galicia,2023,82.446,83.67,82.241,3.618,9.467,2.665
12,Galicia,2024,88.584,90.594,88.294,7.445,8.275,7.36
12,Galicia,2025,100.0,100.0,100.0,12.887,10.383,13.258
13,"Madrid, Comunidad de",2015,50.135,45.965,51.356,,,
