provincia,anio,numero_transacciones,n_trimestres_disponibles
Ceuta,2026,0.0,1
Ciudad Real,2004,1388.0,4
Ciudad Real,2005,1201.0,4
Ciudad Real,2006,1070.0,4
Ciudad Real,2007,896.0,4
Ciudad Real,2008,774.0,4
Ciudad Real,2009,591.0,4
Ciudad Real,2010,533.0,4
Ciudad Real,2011,471.0,4
Ciudad Real,2012,403.0,4
Ciudad Real,2013,457.0,4
Ciudad Real,2014,384.0,4
Ciudad Real,2015,302.0,4
Ciudad Real,2016,360.0,4
Ciudad Real,2017,348.0,4
Ciudad Real,2018,407.0,4
Ciudad Real,2019,418.0,4
Ciudad Real,2020,331.0,4
Ciudad Real,2021,501.0,4
Ciudad Real,2022,429.0,4
Ciudad Real,2023,412.0,4
Ciudad Real,2024,416.0,4
Ciudad Real,2025,556.0,4
Ciudad Real,2026,164.0,1
Coruña (A),2004,932.0,4
Coruña (A),2005,1194.0,4
Coruña (A),2006,803.0,4
Coruña (A),2007,588.0,4
Coruña (A),2008,430.0,4
Coruña (A),2009,367.0,4
Coruña (A),2010,289.0,4
Coruña (A),2011,231.0,4
Coruña (A),2012,172.0,4
Coruña (A),2013,171.0,4
Coruña (A),2014,145.0,4
Coruña (A),2015,218.0,4
Coruña (A),2016,119.0,4
Coruña (A),2017,185.0,4
Coruña (A),2018,198.0,4
Coruña (A),2019,179.0,4
Coruña (A),2020,157.0,4
Coruña (A),2021,442.0,4
Coruña (A),2022,245.0,4
Coruña (A),2023,208.0,4
Coruña (A),2024,271.0,4
Coruña (A),2025,319.0,4
Coruña (A),2026,97.0,1
Cuenca,2004,648.0,4
Cuenca,2005,548.0,4
Cuenca,2006,442.0,4
Cuenca,2007,597.0,4
Cuenca,2008,545.0,4
Cuenca,2009,338.0,4
Cuenca,2010,318.0,4
Cuenca,2011,238.0,4
Cuenca,2012,215.0,4
Cuenca,2013,146.0,4
Cuenca,2014,144.0,4
Cuenca,2015,155.0,4
Cuenca,2016,156.0,4
Cuenca,2017,147.0,4
Cuenca,2018,119.0,4
Cuenca,2019,132.0,4
Cuenca,2020,107.0,4
Cuenca,2021,271.0,4
Cuenca,2022,209.0,4
Cuenca,2023,199.0,4
Cuenca,2024,161.0,4
Cuenca,2025,214.0,4
Cuenca,2026,60.0,1
Cáceres,2004,1606.0,4
Cáceres,2005,1120.0,4
Cáceres,2006,1020.0,4
Cáceres,2007,756.0,4
Cáceres,2008,632.0,4
Cáceres,2009,387.0,4
Cáceres,2010,475.0,4
Cáceres,2011,323.0,4
Cáceres,2012,216.0,4
Cáceres,2013,221.0,4
Cáceres,2014,212.0,4
Cáceres,2015,213.0,4
Cáceres,2016,200.0,4
Cáceres,2017,253.0,4
Cáceres,2018,225.0,4
Cáceres,2019,233.0,4
Cáceres,2020,243.0,4
Cáceres,2021,395.0,4
Cáceres,2022,237.0,4
Cáceres,2023,271.0,4
Cáceres,2024,236.0,4
Cáceres,2025,367.0,4
Cáceres,2026,51.0,1
Cádiz,2004,1929.0,4
Cádiz,2005,1487.0,4
Cádiz,2006,1205.0,4
Cádiz,2007,1211.0,4
Cádiz,2008,685.0,4
Cádiz,2009,383.0,4
Cádiz,2010,428.0,4
Cádiz,2011,364.0,4
Cádiz,2012,438.0,4
Cádiz,2013,399.0,4
Cádiz,2014,418.0,4
Cádiz,2015,275.0,4
Cádiz,2016,372.0,4
Cádiz,2017,418.0,4
Cádiz,2018,580.0,4
Cádiz,2019,473.0,4
Cádiz,2020,402.0,4
Cádiz,2021,727.0,4
Cádiz,2022,575.0,4
Cádiz,2023,516.0,4
Cádiz,2024,529.0,4
Cádiz,2025,587.0,4
Cádiz,2026,136.0,1
Córdoba,2004,551.0,4
Córdoba,2005,981.0,4
Córdoba,2006,1519.0,4
Córdoba,2007,975.0,4
Córdoba,2008,870.0,4
Córdoba,2009,698.0,4
Córdoba,2010,698.0,4
Córdoba,2011,471.0,4
Córdoba,2012,445.0,4
Córdoba,2013,336.0,4
Córdoba,2014,247.0,4
Córdoba,2015,356.0,4
Córdoba,2016,356.0,4
Córdoba,2017,370.0,4
Córdoba,2018,389.0,4
Córdoba,2019,339.0,4
Córdoba,2020,346.0,4
Córdoba,2021,492.0,4
Córdoba,2022,366.0,4
Córdoba,2023,421.0,4
Córdoba,2024,309.0,4
Córdoba,2025,430.0,4
Córdoba,2026,90.0,1
Girona,2004,5735.0,4
Girona,2005,5219.0,4
Girona,2006,3303.0,4
Girona,2007,2268.0,4
Girona,2008,1112.0,4
Girona,2009,770.0,4
Girona,2010,689.0,4
Girona,2011,545.0,4
Girona,2012,558.0,4
Girona,2013,623.0,4
Girona,2014,702.0,4
Girona,2015,616.0,4
Girona,2016,766.0,4
Girona,2017,919.0,4
Girona,2018,969.0,4
Girona,2019,794.0,4
Girona,2020,696.0,4
Girona,2021,1258.0,4
Girona,2022,1230.0,4
Girona,2023,998.0,4
Girona,2024,1008.0,4
