periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2023T4;1;Araba/Álava;336308;16,30;40,92;25,85;2,40;32,40;34386,00;38582,00;29750,00;53,47;5,26;120,31;117,61;82,72;61,40;4,03;-3,14;2536,62;8,89;633;19,27;138360,77;352;5,90
2024T1;1;Araba/Álava;338594;16,30;40,92;25,85;2,40;32,40;35761,00;40042,00;30998,00;52,10;8,80;120,75;113,32;85,50;61,50;3,69;-2,61;2530,66;11,43;831;20,10;144308,15;457;5,66
2024T2;1;Araba/Álava;338594;16,30;40,92;25,85;2,40;32,40;35761,00;40042,00;30998,00;52,25;8,28;123,07;117,41;88,46;63,00;3,55;-1,79;2599,30;11,43;868;38,02;133801,68;104;5,81
2024T3;1;Araba/Álava;338594;16,30;40,92;25,85;2,40;32,40;35761,00;40042,00;30998,00;50,99;9,40;122,64;114,16;91,02;63,30;3,45;-0,62;2626,22;11,43;1056;36,36;143331,62;415;5,88
2024T4;1;Araba/Álava;338594;16,30;40,92;25,85;2,40;32,40;35761,00;40042,00;30998,00;51,68;7,79;123,23;118,19;91,56;64,10;3,17;0,21;2690,43;11,43;942;30,68;147580,28;148;6,02
2015T1;2;Albacete;394012;20,91;39,53;21,50;2,60;27,70;15728,00;16985,00;14033,00;40,72;28,82;98,96;90,33;69,07;60,70;2,61;-3,78;949,48;-0,54;545;26,24;82770,64;74;4,83
2015T2;2;Albacete;394012;20,91;39,53;21,50;2,60;27,70;15728,00;16985,00;14033,00;43,84;24,66;100,89;93,72;70,51;61,80;2,51;-3,32;978,37;-0,54;460;26,30;78629,41;117;4,98
2015T3;2;Albacete;394012;20,91;39,53;21,50;2,60;27,70;15728,00;16985,00;14033,00;44,28;23,28;99,69;90,26;70,16;62,30;2,45;-3,36;942,38;-0,54;481;21,21;78082,22;133;4,79
2015T4;2;Albacete;394012;20,91;39,53;21,50;2,60;27,70;15728,00;16985,00;14033,00;45,32;21,97;100,46;92,91;70,38;63,20;2,43;-3,27;965,71;-0,54;482;22,41;86327,87;316;4,91
2016T1;2;Albacete;391865;20,30;39,86;21,90;2,60;28,20;15780,00;17082,00;14046,00;42,33;24,67;97,91;88,55;70,09;63,90;2,33;-3,32;933,39;0,83;565;20,00;87970,46;108;4,73
2016T2;2;Albacete;391865;20,30;39,86;21,90;2,60;28,20;15780,00;17082,00;14046,00;43,05;24,27;99,67;92,68;70,92;63,80;2,32;-3,60;931,34;0,83;592;18,92;100889,44;172;4,72
2016T3;2;Albacete;391865;20,30;39,86;21,90;2,60;28,20;15780,00;17082,00;14046,00;41,65;23,06;99,28;89,74;71,06;63,80;2,37;-3,16;915,52;0,83;552;21,74;83195,65;156;4,64
2016T4;2;Albacete;391865;20,30;39,86;21,90;2,60;28,20;15780,00;17082,00;14046,00;42,96;23,31;101,23;93,20;70,38;64,20;2,27;-3,10;962,25;0,83;469;18,12;80906,98;147;4,88
2017T1;2;Albacete;390225;19,84;40,22;22,18;2,60;28,30;16132,00;17473,00;14361,00;43,36;24,48;100,76;90,09;71,22;64,80;2,24;-2,96;943,66;1,26;678;22,42;88059,52;222;4,68
2017T2;2;Albacete;390225;19,84;40,22;22,18;2,60;28,30;16132,00;17473,00;14361,00;43,92;25,32;101,51;93,77;71,46;65,00;2,17;-2,83;938,76;1,26;699;22,75;84747,75;247;4,66
2017T3;2;Albacete;390225;19,84;40,22;22,18;2,60;28,30;16132,00;17473,00;14361,00;45,92;20,81;100,73;91,13;71,19;64,90;2,22;-2,84;917,92;1,26;745;19,33;99307,49;225;4,55
2017T4;2;Albacete;390225;19,84;40,22;22,18;2,60;28,30;16132,00;17473,00;14361,00;46,57;22,01;102,52;94,80;70,68;65,60;2,15;-2,79;956,43;1,26;619;24,23;87975,28;170;4,74
2018T1;2;Albacete;388948;19,45;40,44;22,47;2,60;28,80;16764,00;18181,00;14928,00;44,92;23,82;101,56;91,97;71,69;65,50;2,23;-2,60;919,20;1,98;786;28,88;89484,04;150;4,39
2018T2;2;Albacete;388948;19,45;40,44;22,47;2,60;28,80;16764,00;18181,00;14928,00;47,92;20,66;103,41;95,37;72,51;64,90;2,20;-2,19;928,19;1,98;706;23,23;82183,36;279;4,43
