indicador,valor
filas_fuente,21465
filas_provinciales_largo,20592
filas_trimestrales_ancho,2288
filas_anuales_ancho,572
territorios_provinciales,52
periodo_inicial,2015T1
periodo_final_incluido,2025T4
anios_completos,11
nulos_dataset_largo,0
duplicados_dataset_largo,0
valor_minimo,2.12
valor_maximo,74.4
