codigo_provincia,provincia,anio,sexo,variable,valor
01,Araba/Álava,2025,total,tasa_empleo_pct,52.6075
01,Araba/Álava,2025,total,tasa_paro_pct,7.1975
02,Albacete,2015,hombres,tasa_actividad_pct,63.815
02,Albacete,2015,hombres,tasa_empleo_pct,49.925
02,Albacete,2015,hombres,tasa_paro_pct,21.755
02,Albacete,2015,mujeres,tasa_actividad_pct,51.8475
02,Albacete,2015,mujeres,tasa_empleo_pct,37.2275
02,Albacete,2015,mujeres,tasa_paro_pct,28.235
02,Albacete,2015,total,tasa_actividad_pct,57.7975
02,Albacete,2015,total,tasa_empleo_pct,43.54
02,Albacete,2015,total,tasa_paro_pct,24.6825
02,Albacete,2016,hombres,tasa_actividad_pct,60.082499999999996
02,Albacete,2016,hombres,tasa_empleo_pct,47.2275
02,Albacete,2016,hombres,tasa_paro_pct,21.3975
02,Albacete,2016,mujeres,tasa_actividad_pct,51.5625
02,Albacete,2016,mujeres,tasa_empleo_pct,37.824999999999996
02,Albacete,2016,mujeres,tasa_paro_pct,26.625
02,Albacete,2016,total,tasa_actividad_pct,55.795
02,Albacete,2016,total,tasa_empleo_pct,42.4975
02,Albacete,2016,total,tasa_paro_pct,23.8275
02,Albacete,2017,hombres,tasa_actividad_pct,64.485
02,Albacete,2017,hombres,tasa_empleo_pct,51.825
02,Albacete,2017,hombres,tasa_paro_pct,19.61
02,Albacete,2017,mujeres,tasa_actividad_pct,52.552499999999995
02,Albacete,2017,mujeres,tasa_empleo_pct,38.144999999999996
02,Albacete,2017,mujeres,tasa_paro_pct,27.435
02,Albacete,2017,total,tasa_actividad_pct,58.4825
02,Albacete,2017,total,tasa_empleo_pct,44.9425
02,Albacete,2017,total,tasa_paro_pct,23.155
02,Albacete,2018,hombres,tasa_actividad_pct,67.22749999999999
02,Albacete,2018,hombres,tasa_empleo_pct,56.339999999999996
02,Albacete,2018,hombres,tasa_paro_pct,16.2075
02,Albacete,2018,mujeres,tasa_actividad_pct,51.8275
02,Albacete,2018,mujeres,tasa_empleo_pct,39.255
02,Albacete,2018,mujeres,tasa_paro_pct,24.1825
02,Albacete,2018,total,tasa_actividad_pct,59.4775
02,Albacete,2018,total,tasa_empleo_pct,47.74
02,Albacete,2018,total,tasa_paro_pct,19.7325
02,Albacete,2019,hombres,tasa_actividad_pct,63.9125
02,Albacete,2019,hombres,tasa_empleo_pct,55.4975
02,Albacete,2019,hombres,tasa_paro_pct,13.155000000000001
02,Albacete,2019,mujeres,tasa_actividad_pct,48.6425
02,Albacete,2019,mujeres,tasa_empleo_pct,37.7425
02,Albacete,2019,mujeres,tasa_paro_pct,22.435
02,Albacete,2019,total,tasa_actividad_pct,56.230000000000004
02,Albacete,2019,total,tasa_empleo_pct,46.5625
02,Albacete,2019,total,tasa_paro_pct,17.185000000000002
02,Albacete,2020,hombres,tasa_actividad_pct,62.285
02,Albacete,2020,hombres,tasa_empleo_pct,53.49
02,Albacete,2020,hombres,tasa_paro_pct,14.125
02,Albacete,2020,mujeres,tasa_actividad_pct,50.5425
02,Albacete,2020,mujeres,tasa_empleo_pct,38.7575
02,Albacete,2020,mujeres,tasa_paro_pct,23.285
02,Albacete,2020,total,tasa_actividad_pct,56.3775
02,Albacete,2020,total,tasa_empleo_pct,46.08
02,Albacete,2020,total,tasa_paro_pct,18.2625
02,Albacete,2021,hombres,tasa_actividad_pct,63.6175
02,Albacete,2021,hombres,tasa_empleo_pct,56.01
02,Albacete,2021,hombres,tasa_paro_pct,11.967500000000001
02,Albacete,2021,mujeres,tasa_actividad_pct,50.555
02,Albacete,2021,mujeres,tasa_empleo_pct,40.4075
02,Albacete,2021,mujeres,tasa_paro_pct,19.91
02,Albacete,2021,total,tasa_actividad_pct,57.052499999999995
02,Albacete,2021,total,tasa_empleo_pct,48.165
02,Albacete,2021,total,tasa_paro_pct,15.5275
02,Albacete,2022,hombres,tasa_actividad_pct,65.9675
02,Albacete,2022,hombres,tasa_empleo_pct,59.085
02,Albacete,2022,hombres,tasa_paro_pct,10.425
02,Albacete,2022,mujeres,tasa_actividad_pct,49.3175
02,Albacete,2022,mujeres,tasa_empleo_pct,41.4025
02,Albacete,2022,mujeres,tasa_paro_pct,16.0475
02,Albacete,2022,total,tasa_actividad_pct,57.6025
02,Albacete,2022,total,tasa_empleo_pct,50.2
02,Albacete,2022,total,tasa_paro_pct,12.8475
02,Albacete,2023,hombres,tasa_actividad_pct,66.02
02,Albacete,2023,hombres,tasa_empleo_pct,59.475
02,Albacete,2023,hombres,tasa_paro_pct,9.9075
02,Albacete,2023,mujeres,tasa_actividad_pct,51.0725
02,Albacete,2023,mujeres,tasa_empleo_pct,43.625
02,Albacete,2023,mujeres,tasa_paro_pct,14.565000000000001
02,Albacete,2023,total,tasa_actividad_pct,58.505
02,Albacete,2023,total,tasa_empleo_pct,51.4975
02,Albacete,2023,total,tasa_paro_pct,11.9575
02,Albacete,2024,hombres,tasa_actividad_pct,62.3
02,Albacete,2024,hombres,tasa_empleo_pct,56.9225
02,Albacete,2024,hombres,tasa_paro_pct,8.65
02,Albacete,2024,mujeres,tasa_actividad_pct,50.865
02,Albacete,2024,mujeres,tasa_empleo_pct,43.4625
02,Albacete,2024,mujeres,tasa_paro_pct,14.565000000000001
02,Albacete,2024,total,tasa_actividad_pct,56.565
02,Albacete,2024,total,tasa_empleo_pct,50.17
02,Albacete,2024,total,tasa_paro_pct,11.315
02,Albacete,2025,hombres,tasa_actividad_pct,65.89
02,Albacete,2025,hombres,tasa_empleo_pct,60.0625
02,Albacete,2025,hombres,tasa_paro_pct,8.8475
02,Albacete,2025,mujeres,tasa_actividad_pct,53.6625
02,Albacete,2025,mujeres,tasa_empleo_pct,45.97
02,Albacete,2025,mujeres,tasa_paro_pct,14.352500000000001
02,Albacete,2025,total,tasa_actividad_pct,59.79
02,Albacete,2025,total,tasa_empleo_pct,53.03
02,Albacete,2025,total,tasa_paro_pct,11.3125
03,Alicante/Alacant,2015,hombres,tasa_actividad_pct,63.955
03,Alicante/Alacant,2015,hombres,tasa_empleo_pct,48.9225
03,Alicante/Alacant,2015,hombres,tasa_paro_pct,23.505
03,Alicante/Alacant,2015,mujeres,tasa_actividad_pct,52.4475
03,Alicante/Alacant,2015,mujeres,tasa_empleo_pct,39.31
03,Alicante/Alacant,2015,mujeres,tasa_paro_pct,25.057499999999997
03,Alicante/Alacant,2015,total,tasa_actividad_pct,58.1275
03,Alicante/Alacant,2015,total,tasa_empleo_pct,44.055
03,Alicante/Alacant,2015,total,tasa_paro_pct,24.22
03,Alicante/Alacant,2016,hombres,tasa_actividad_pct,64.85
03,Alicante/Alacant,2016,hombres,tasa_empleo_pct,52.355000000000004
03,Alicante/Alacant,2016,hombres,tasa_paro_pct,19.2725
03,Alicante/Alacant,2016,mujeres,tasa_actividad_pct,53.7025
03,Alicante/Alacant,2016,mujeres,tasa_empleo_pct,41.575
03,Alicante/Alacant,2016,mujeres,tasa_paro_pct,22.595
03,Alicante/Alacant,2016,total,tasa_actividad_pct,59.197500000000005
03,Alicante/Alacant,2016,total,tasa_empleo_pct,46.89
03,Alicante/Alacant,2016,total,tasa_paro_pct,20.795
03,Alicante/Alacant,2017,hombres,tasa_actividad_pct,64.3025
03,Alicante/Alacant,2017,hombres,tasa_empleo_pct,53.49
03,Alicante/Alacant,2017,hombres,tasa_paro_pct,16.8175
03,Alicante/Alacant,2017,mujeres,tasa_actividad_pct,53.07
03,Alicante/Alacant,2017,mujeres,tasa_empleo_pct,42.6475
03,Alicante/Alacant,2017,mujeres,tasa_paro_pct,19.637500000000003
03,Alicante/Alacant,2017,total,tasa_actividad_pct,58.605000000000004
03,Alicante/Alacant,2017,total,tasa_empleo_pct,47.9925
03,Alicante/Alacant,2017,total,tasa_paro_pct,18.1075
03,Alicante/Alacant,2018,hombres,tasa_actividad_pct,63.7525
03,Alicante/Alacant,2018,hombres,tasa_empleo_pct,53.74
