codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
08,Barcelona,2025,6474430,3493643,28166882,10379519,34641313,13873159,2.4970025211993896,1.8532030891536428,2.7136981973827496
09,Burgos,2015,828342,536713,355836,277428,1184180,814141,1.4545146356712166,1.5433611632287647,1.282624680998313
09,Burgos,2016,897669,559229,408485,306122,1306155,865351,1.5093932982107838,1.605190360299627,1.334386290433226
09,Burgos,2017,933854,583233,412554,320889,1346410,904121,1.4891922651945924,1.6011679723198105,1.2856595271262026
09,Burgos,2018,924687,568276,399753,304622,1324440,872895,1.5172958946952382,1.6271793987428644,1.3122919552757188
09,Burgos,2019,929765,579492,410588,311014,1340354,890508,1.5051566072399125,1.6044483789249895,1.3201592211283093
09,Burgos,2020,360665,218023,101001,74934,461666,292958,1.575877770875006,1.6542520743224338,1.347866122187525
09,Burgos,2021,657319,406854,170660,126424,827978,533281,1.552611099964184,1.6156139548830784,1.3499019173574638
09,Burgos,2022,952476,586432,379978,286573,1332449,873005,1.5262787727447151,1.6241883116883118,1.325937893660603
09,Burgos,2023,1004504,608535,422373,318724,1426875,927258,1.5388112046485445,1.650692236272359,1.3251998594395151
09,Burgos,2024,1011964,614174,451501,349645,1463464,963818,1.5184028519907284,1.6476829041932741,1.2913126170830413
09,Burgos,2025,988601,618689,498291,375022,1486892,993709,1.4963052563678099,1.5978965198993356,1.3286980497144167
10,Cáceres,2015,976475,554711,142231,92344,1118706,647052,1.7289275050536896,1.7603310552702218,1.540230009529585
10,Cáceres,2016,1082667,581647,158323,96194,1240993,677841,1.8308025038320197,1.8613815596057401,1.645871883901283
10,Cáceres,2017,1066251,585382,158613,101557,1224861,686940,1.7830683902524238,1.821461883009727,1.5618125781580787
10,Cáceres,2018,1061267,588528,176455,110703,1237723,699231,1.7701203178920843,1.8032565995160807,1.59394957679557
10,Cáceres,2019,1052342,588655,185327,118380,1237670,707035,1.7505074006237316,1.7877058718604275,1.5655262713296165
10,Cáceres,2020,469488,270910,45222,27976,514710,298885,1.7221004734262342,1.7330035805248976,1.6164569631112382
10,Cáceres,2021,767757,434948,72931,42383,840691,477330,1.7612364611484717,1.7651696294729484,1.720760682349055
10,Cáceres,2022,1044435,567514,156376,93818,1200811,661333,1.8157433547093522,1.840368695750237,1.6668016798482168
10,Cáceres,2023,1085743,581435,174701,105973,1260443,687408,1.833617007657752,1.8673506066886238,1.6485425532918763
10,Cáceres,2024,1133256,609205,179672,111645,1312929,720850,1.82136228064091,1.8602211078372632,1.6093152402705002
10,Cáceres,2025,1027132,553413,185477,109497,1212610,662910,1.8292226697440075,1.8559954319829857,1.6939002895056485
11,Cádiz,2015,4018457,1542039,2843757,754508,6862214,2296548,2.9880559866373355,2.605937333621264,3.76902166709962
11,Cádiz,2016,4080842,1578231,3292245,885022,7373087,2463255,2.9932292840164743,2.5857064016611004,3.719958373916129
11,Cádiz,2017,4109135,1607555,3541599,958689,7650734,2566242,2.9812987239706934,2.556139603310618,3.6942105312567475
