codigo_provincia,provincia,anio,mes,periodo,variable,valor
01,Araba/Álava,2015,12,2015M12,personal_empleado,477.0
01,Araba/Álava,2015,12,2015M12,plazas_estimadas,4290.0
01,Araba/Álava,2016,1,2016M01,establecimientos_abiertos_estimados,64.0
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_habitaciones_pct,37.16
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_plazas_fin_semana_pct,38.54
01,Araba/Álava,2016,1,2016M01,grado_ocupacion_plazas_pct,30.14
01,Araba/Álava,2016,1,2016M01,habitaciones_estimadas,2084.0
01,Araba/Álava,2016,1,2016M01,personal_empleado,430.0
01,Araba/Álava,2016,1,2016M01,plazas_estimadas,4008.0
01,Araba/Álava,2016,2,2016M02,establecimientos_abiertos_estimados,67.0
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_habitaciones_pct,40.3
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_plazas_fin_semana_pct,40.65
01,Araba/Álava,2016,2,2016M02,grado_ocupacion_plazas_pct,30.99
01,Araba/Álava,2016,2,2016M02,habitaciones_estimadas,2137.0
01,Araba/Álava,2016,2,2016M02,personal_empleado,476.0
01,Araba/Álava,2016,2,2016M02,plazas_estimadas,4120.0
01,Araba/Álava,2016,3,2016M03,establecimientos_abiertos_estimados,70.0
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_habitaciones_pct,49.44
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_plazas_fin_semana_pct,59.67
01,Araba/Álava,2016,3,2016M03,grado_ocupacion_plazas_pct,41.55
01,Araba/Álava,2016,3,2016M03,habitaciones_estimadas,2193.0
01,Araba/Álava,2016,3,2016M03,personal_empleado,492.0
01,Araba/Álava,2016,3,2016M03,plazas_estimadas,4236.0
01,Araba/Álava,2016,4,2016M04,establecimientos_abiertos_estimados,71.0
01,Araba/Álava,2016,4,2016M04,grado_ocupacion_habitaciones_pct,44.99
01,Araba/Álava,2016,4,2016M04,grado_ocupacion_plazas_fin_semana_pct,43.84
01,Araba/Álava,2016,4,2016M04,grado_ocupacion_plazas_pct,33.87
01,Araba/Álava,2016,4,2016M04,habitaciones_estimadas,2232.0
01,Araba/Álava,2016,4,2016M04,personal_empleado,492.0
01,Araba/Álava,2016,4,2016M04,plazas_estimadas,4301.0
01,Araba/Álava,2016,5,2016M05,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2016,5,2016M05,grado_ocupacion_habitaciones_pct,55.86
01,Araba/Álava,2016,5,2016M05,grado_ocupacion_plazas_fin_semana_pct,50.9
01,Araba/Álava,2016,5,2016M05,grado_ocupacion_plazas_pct,42.2
01,Araba/Álava,2016,5,2016M05,habitaciones_estimadas,2254.0
01,Araba/Álava,2016,5,2016M05,personal_empleado,488.0
01,Araba/Álava,2016,5,2016M05,plazas_estimadas,4337.0
01,Araba/Álava,2016,6,2016M06,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2016,6,2016M06,grado_ocupacion_habitaciones_pct,58.86
01,Araba/Álava,2016,6,2016M06,grado_ocupacion_plazas_fin_semana_pct,57.7
01,Araba/Álava,2016,6,2016M06,grado_ocupacion_plazas_pct,44.48
01,Araba/Álava,2016,6,2016M06,habitaciones_estimadas,2254.0
01,Araba/Álava,2016,6,2016M06,personal_empleado,497.0
01,Araba/Álava,2016,6,2016M06,plazas_estimadas,4338.0
01,Araba/Álava,2016,7,2016M07,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2016,7,2016M07,grado_ocupacion_habitaciones_pct,67.52
01,Araba/Álava,2016,7,2016M07,grado_ocupacion_plazas_fin_semana_pct,71.22
01,Araba/Álava,2016,7,2016M07,grado_ocupacion_plazas_pct,59.41
01,Araba/Álava,2016,7,2016M07,habitaciones_estimadas,2254.0
01,Araba/Álava,2016,7,2016M07,personal_empleado,516.0
01,Araba/Álava,2016,7,2016M07,plazas_estimadas,4364.0
01,Araba/Álava,2016,8,2016M08,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2016,8,2016M08,grado_ocupacion_habitaciones_pct,75.81
01,Araba/Álava,2016,8,2016M08,grado_ocupacion_plazas_fin_semana_pct,75.49
01,Araba/Álava,2016,8,2016M08,grado_ocupacion_plazas_pct,70.45
01,Araba/Álava,2016,8,2016M08,habitaciones_estimadas,2242.0
01,Araba/Álava,2016,8,2016M08,personal_empleado,530.0
01,Araba/Álava,2016,8,2016M08,plazas_estimadas,4339.0
01,Araba/Álava,2016,9,2016M09,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2016,9,2016M09,grado_ocupacion_habitaciones_pct,67.47
01,Araba/Álava,2016,9,2016M09,grado_ocupacion_plazas_fin_semana_pct,64.94
01,Araba/Álava,2016,9,2016M09,grado_ocupacion_plazas_pct,55.07
01,Araba/Álava,2016,9,2016M09,habitaciones_estimadas,2254.0
01,Araba/Álava,2016,9,2016M09,personal_empleado,515.0
01,Araba/Álava,2016,9,2016M09,plazas_estimadas,4363.0
