provincia,anio,superficie_m2,n_trimestres_disponibles
Ceuta,2017,2.2,4
Ceuta,2018,0.87,4
Ceuta,2019,0.0,4
Ceuta,2020,0.66,4
Ceuta,2021,2.6599999999999997,4
Ceuta,2022,0.54,4
Ceuta,2023,0.29,4
Ceuta,2024,0.11,4
Ceuta,2025,4.14,4
Ceuta,2026,0.0,1
Ciudad Real,2004,883.6,4
Ciudad Real,2005,765.4,4
Ciudad Real,2006,927.0,4
Ciudad Real,2007,676.47203,4
Ciudad Real,2008,530.54,4
Ciudad Real,2009,478.92,4
Ciudad Real,2010,481.33,4
Ciudad Real,2011,250.85,4
Ciudad Real,2012,307.97,4
Ciudad Real,2013,284.68,4
Ciudad Real,2014,198.67000000000002,4
Ciudad Real,2015,209.68,4
Ciudad Real,2016,184.68,4
Ciudad Real,2017,320.75,4
Ciudad Real,2018,221.56,4
Ciudad Real,2019,238.89000000000001,4
Ciudad Real,2020,174.11,4
Ciudad Real,2021,321.78999999999996,4
Ciudad Real,2022,252.68,4
Ciudad Real,2023,192.67000000000002,4
Ciudad Real,2024,210.4,4
Ciudad Real,2025,352.24,4
Ciudad Real,2026,69.33,1
Coruña (A),2004,1062.7,4
Coruña (A),2005,1398.0,4
Coruña (A),2006,848.3,4
Coruña (A),2007,617.98525,4
Coruña (A),2008,640.4499999999999,4
Coruña (A),2009,701.0699999999999,4
Coruña (A),2010,279.1,4
Coruña (A),2011,246.32,4
Coruña (A),2012,188.18,4
Coruña (A),2013,181.81,4
Coruña (A),2014,196.54000000000002,4
Coruña (A),2015,238.68,4
Coruña (A),2016,108.27,4
Coruña (A),2017,214.58,4
Coruña (A),2018,290.28999999999996,4
Coruña (A),2019,214.67000000000002,4
Coruña (A),2020,158.42,4
Coruña (A),2021,389.42999999999995,4
Coruña (A),2022,297.11,4
Coruña (A),2023,196.23000000000002,4
Coruña (A),2024,279.14,4
Coruña (A),2025,358.21000000000004,4
Coruña (A),2026,66.59,1
Cuenca,2004,440.9,4
Cuenca,2005,400.1,4
Cuenca,2006,298.0,4
Cuenca,2007,727.52081,4
Cuenca,2008,489.12,4
Cuenca,2009,212.97,4
Cuenca,2010,135.51999999999998,4
Cuenca,2011,133.69,4
Cuenca,2012,110.62,4
Cuenca,2013,76.44,4
Cuenca,2014,53.0,4
Cuenca,2015,92.38,4
Cuenca,2016,76.67,4
Cuenca,2017,89.98,4
Cuenca,2018,59.82,4
Cuenca,2019,74.35,4
Cuenca,2020,65.02000000000001,4
Cuenca,2021,150.2,4
Cuenca,2022,123.78,4
Cuenca,2023,89.2,4
Cuenca,2024,69.06,4
Cuenca,2025,151.93,4
Cuenca,2026,38.27,1
Cáceres,2004,1127.9,4
Cáceres,2005,1003.7,4
Cáceres,2006,636.8,4
Cáceres,2007,845.1956299999999,4
Cáceres,2008,765.72,4
Cáceres,2009,182.61,4
Cáceres,2010,229.2,4
Cáceres,2011,200.91,4
Cáceres,2012,204.85000000000002,4
Cáceres,2013,94.42,4
Cáceres,2014,106.96000000000001,4
Cáceres,2015,115.15,4
Cáceres,2016,158.06,4
Cáceres,2017,97.05,4
Cáceres,2018,123.97999999999999,4
Cáceres,2019,126.19,4
Cáceres,2020,105.33,4
Cáceres,2021,182.36,4
Cáceres,2022,129.26999999999998,4
Cáceres,2023,229.14000000000001,4
Cáceres,2024,153.57,4
Cáceres,2025,189.07,4
Cáceres,2026,45.9,1
Cádiz,2004,5559.5,4
Cádiz,2005,4009.0,4
Cádiz,2006,1830.9,4
Cádiz,2007,2312.6098,4
Cádiz,2008,1921.03,4
Cádiz,2009,927.46,4
Cádiz,2010,506.47,4
Cádiz,2011,391.82000000000005,4
Cádiz,2012,736.32,4
Cádiz,2013,505.5,4
Cádiz,2014,712.5899999999999,4
Cádiz,2015,318.8,4
Cádiz,2016,502.22,4
Cádiz,2017,705.48,4
Cádiz,2018,1344.12,4
Cádiz,2019,488.22999999999996,4
Cádiz,2020,473.65,4
Cádiz,2021,975.06,4
Cádiz,2022,826.97,4
Cádiz,2023,815.44,4
Cádiz,2024,1754.09,4
Cádiz,2025,1380.1499999999999,4
Cádiz,2026,201.87,1
Córdoba,2004,450.6,4
Córdoba,2005,1103.7,4
Córdoba,2006,970.9000000000001,4
Córdoba,2007,910.49839,4
Córdoba,2008,651.98,4
Córdoba,2009,620.67,4
Córdoba,2010,875.99,4
Córdoba,2011,863.81,4
Córdoba,2012,318.24,4
