provincia,anio,trimestre,periodo,numero_transacciones
Alicante/Alacant,2025,4,2025-T4,251.0
Alicante/Alacant,2026,1,2026-T1,218.0
Almería,2004,1,2004-T1,325.0
Almería,2004,2,2004-T2,272.0
Almería,2004,3,2004-T3,191.0
Almería,2004,4,2004-T4,190.0
Almería,2005,1,2005-T1,240.0
Almería,2005,2,2005-T2,275.0
Almería,2005,3,2005-T3,183.0
Almería,2005,4,2005-T4,264.0
Almería,2006,1,2006-T1,176.0
Almería,2006,2,2006-T2,185.0
Almería,2006,3,2006-T3,138.0
Almería,2006,4,2006-T4,220.0
Almería,2007,1,2007-T1,144.0
Almería,2007,2,2007-T2,140.0
Almería,2007,3,2007-T3,131.0
Almería,2007,4,2007-T4,140.0
Almería,2008,1,2008-T1,103.0
Almería,2008,2,2008-T2,132.0
Almería,2008,3,2008-T3,95.0
Almería,2008,4,2008-T4,123.0
Almería,2009,1,2009-T1,57.0
Almería,2009,2,2009-T2,128.0
Almería,2009,3,2009-T3,105.0
Almería,2009,4,2009-T4,100.0
Almería,2010,1,2010-T1,83.0
Almería,2010,2,2010-T2,84.0
Almería,2010,3,2010-T3,34.0
Almería,2010,4,2010-T4,79.0
Almería,2011,1,2011-T1,75.0
Almería,2011,2,2011-T2,72.0
Almería,2011,3,2011-T3,52.0
Almería,2011,4,2011-T4,60.0
Almería,2012,1,2012-T1,44.0
Almería,2012,2,2012-T2,73.0
Almería,2012,3,2012-T3,43.0
Almería,2012,4,2012-T4,49.0
Almería,2013,1,2013-T1,36.0
Almería,2013,2,2013-T2,65.0
Almería,2013,3,2013-T3,68.0
Almería,2013,4,2013-T4,46.0
Almería,2014,1,2014-T1,41.0
Almería,2014,2,2014-T2,61.0
Almería,2014,3,2014-T3,57.0
Almería,2014,4,2014-T4,81.0
Almería,2015,1,2015-T1,50.0
Almería,2015,2,2015-T2,48.0
Almería,2015,3,2015-T3,62.0
Almería,2015,4,2015-T4,64.0
Almería,2016,1,2016-T1,67.0
Almería,2016,2,2016-T2,52.0
Almería,2016,3,2016-T3,65.0
Almería,2016,4,2016-T4,73.0
Almería,2017,1,2017-T1,59.0
Almería,2017,2,2017-T2,82.0
Almería,2017,3,2017-T3,56.0
Almería,2017,4,2017-T4,62.0
Almería,2018,1,2018-T1,54.0
