periodo;codigo_provincia;provincia;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;indice_precios_consumo_base_2015;pct_35_64;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas
2018T4;2;Albacete;16764,0;18181,0;14928,0;104,66;40,44;1,98;695;21,87;83245,37;183
2019T1;2;Albacete;17597,0;19036,0;15728,0;102,86;40,51;5,11;868;23,27;100898,38;145
2019T2;2;Albacete;17597,0;19036,0;15728,0;104,26;40,51;5,11;813;31,0;86179,18;156
2019T3;2;Albacete;17597,0;19036,0;15728,0;103,44;40,51;5,11;757;29,06;100865,98;217
2019T4;2;Albacete;17597,0;19036,0;15728,0;105,09;40,51;5,11;732;27,32;97025,34;275
2020T1;2;Albacete;17961,0;19207,0;16327,0;103,45;40,64;2,94;794;26,7;87523,5;201
2020T2;2;Albacete;17961,0;19207,0;16327,0;103,42;40,64;2,94;393;21,12;84649,64;261
2020T3;2;Albacete;17961,0;19207,0;16327,0;102,92;40,64;2,94;734;24,52;100998,42;135
2020T4;2;Albacete;17961,0;19207,0;16327,0;104,16;40,64;2,94;750;20,8;88795,77;235
2021T1;2;Albacete;18798,0;20195,0;17010,0;104,17;40,98;2,07;835;22,4;101690,08;272
2021T2;2;Albacete;18798,0;20195,0;17010,0;106,58;40,98;2,07;876;23,17;95605,96;237
2021T3;2;Albacete;18798,0;20195,0;17010,0;106,59;40,98;2,07;943;21,95;100413,07;142
2021T4;2;Albacete;18798,0;20195,0;17010,0;110,7;40,98;2,07;792;19,44;96015,48;169
2022T1;2;Albacete;19680,0;21243,0;17726,0;113,03;41,01;9,57;973;15,72;104749,0;126
2022T2;2;Albacete;19680,0;21243,0;17726,0;117,56;41,01;9,57;1195;28,2;100134,92;148
2022T3;2;Albacete;19680,0;21243,0;17726,0;118,75;41,01;9,57;1006;17,2;103799,76;153
2022T4;2;Albacete;19680,0;21243,0;17726,0;118,75;41,01;9,57;855;13,92;105656,91;174
2023T1;2;Albacete;20702,0;22312,0;18711,0;119,05;41,02;8,28;1050;23,81;98798,1;123
2023T2;2;Albacete;20702,0;22312,0;18711,0;121,21;41,02;8,28;927;19,74;105783,05;373
2023T3;2;Albacete;20702,0;22312,0;18711,0;122,37;41,02;8,28;865;15,14;94826,99;194
2023T4;2;Albacete;20702,0;22312,0;18711,0;123,44;41,02;8,28;834;25,54;105914,66;155
