provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Valladolid,2023,102.68,4
Valladolid,2024,117.03,4
Valladolid,2025,110.49,4
Vizcaya,2015,235.29,4
Vizcaya,2016,181.36,4
Vizcaya,2017,189.28,4
Vizcaya,2018,200.18,4
Vizcaya,2019,244.82,4
Vizcaya,2020,251.77,4
Vizcaya,2021,230.13,4
Vizcaya,2022,229.58,4
Vizcaya,2023,260.42,4
Vizcaya,2024,251.34,4
Vizcaya,2025,295.71,4
Zamora,2015,41.94,4
Zamora,2016,39.34,4
Zamora,2017,46.84,4
Zamora,2018,48.42,4
Zamora,2019,57.54,4
Zamora,2020,56.94,4
Zamora,2021,50.72,4
Zamora,2022,50.89,4
Zamora,2023,69.76,4
Zamora,2024,75.26,4
