provincia,anio,trimestre,periodo,precio_suelo_m2
Alicante/Alacant,2013,4,2013-T4,201.73
Alicante/Alacant,2014,1,2014-T1,174.85
Alicante/Alacant,2014,2,2014-T2,100.88
Alicante/Alacant,2014,3,2014-T3,141.15
Alicante/Alacant,2014,4,2014-T4,172.37
Alicante/Alacant,2015,1,2015-T1,156.78
Alicante/Alacant,2015,2,2015-T2,147.77
Alicante/Alacant,2015,3,2015-T3,140.66
Alicante/Alacant,2015,4,2015-T4,151.52
Alicante/Alacant,2016,1,2016-T1,109.98
Alicante/Alacant,2016,2,2016-T2,166.53
Alicante/Alacant,2016,3,2016-T3,123.98
Alicante/Alacant,2016,4,2016-T4,142.34
Alicante/Alacant,2017,1,2017-T1,157.09
Alicante/Alacant,2017,2,2017-T2,134.81
Alicante/Alacant,2017,3,2017-T3,152.18
Alicante/Alacant,2017,4,2017-T4,145.23
Alicante/Alacant,2018,1,2018-T1,158.0
Alicante/Alacant,2018,2,2018-T2,155.37
Alicante/Alacant,2018,3,2018-T3,154.95
Alicante/Alacant,2018,4,2018-T4,151.36
Alicante/Alacant,2019,1,2019-T1,144.02
Alicante/Alacant,2019,2,2019-T2,164.27
Alicante/Alacant,2019,3,2019-T3,156.1
Alicante/Alacant,2019,4,2019-T4,180.95
Alicante/Alacant,2020,1,2020-T1,165.66
Alicante/Alacant,2020,2,2020-T2,176.5
Alicante/Alacant,2020,3,2020-T3,174.13
Alicante/Alacant,2020,4,2020-T4,167.19
Alicante/Alacant,2021,1,2021-T1,152.57
Alicante/Alacant,2021,2,2021-T2,167.89
Alicante/Alacant,2021,3,2021-T3,164.24
Alicante/Alacant,2021,4,2021-T4,178.96
Alicante/Alacant,2022,1,2022-T1,196.08
Alicante/Alacant,2022,2,2022-T2,193.51
Alicante/Alacant,2022,3,2022-T3,196.67
Alicante/Alacant,2022,4,2022-T4,186.45
Alicante/Alacant,2023,1,2023-T1,197.97
Alicante/Alacant,2023,2,2023-T2,182.85
Alicante/Alacant,2023,3,2023-T3,199.09
Alicante/Alacant,2023,4,2023-T4,166.04
Alicante/Alacant,2024,1,2024-T1,220.07
Alicante/Alacant,2024,2,2024-T2,230.22
Alicante/Alacant,2024,3,2024-T3,191.46
Alicante/Alacant,2024,4,2024-T4,199.94
Alicante/Alacant,2025,1,2025-T1,211.25
Alicante/Alacant,2025,2,2025-T2,265.37
Alicante/Alacant,2025,3,2025-T3,202.06
Alicante/Alacant,2025,4,2025-T4,301.3
Alicante/Alacant,2026,1,2026-T1,274.81
Almería,2004,1,2004-T1,221.82
Almería,2004,2,2004-T2,361.16
Almería,2004,3,2004-T3,316.02
Almería,2004,4,2004-T4,446.34
Almería,2005,1,2005-T1,492.47
Almería,2005,2,2005-T2,566.97
Almería,2005,3,2005-T3,530.81
Almería,2005,4,2005-T4,458.33
Almería,2006,1,2006-T1,429.93
Almería,2006,2,2006-T2,323.1
Almería,2006,3,2006-T3,361.87
Almería,2006,4,2006-T4,337.65
Almería,2007,1,2007-T1,361.1
Almería,2007,2,2007-T2,344.38
Almería,2007,3,2007-T3,349.21
Almería,2007,4,2007-T4,332.05
Almería,2008,1,2008-T1,324.28
Almería,2008,2,2008-T2,303.2
Almería,2008,3,2008-T3,294.22
Almería,2008,4,2008-T4,275.59
Almería,2009,1,2009-T1,267.9
Almería,2009,2,2009-T2,271.7
Almería,2009,3,2009-T3,309.39
Almería,2009,4,2009-T4,213.51
Almería,2010,1,2010-T1,266.76
Almería,2010,2,2010-T2,260.21
Almería,2010,3,2010-T3,173.45
Almería,2010,4,2010-T4,293.78
Almería,2011,1,2011-T1,272.48
Almería,2011,2,2011-T2,188.87
Almería,2011,3,2011-T3,178.54
Almería,2011,4,2011-T4,166.06
Almería,2012,1,2012-T1,161.46
Almería,2012,2,2012-T2,188.16
Almería,2012,3,2012-T3,219.09
Almería,2012,4,2012-T4,141.43
Almería,2013,1,2013-T1,174.7
Almería,2013,2,2013-T2,120.32
Almería,2013,3,2013-T3,175.18
Almería,2013,4,2013-T4,154.45
Almería,2014,1,2014-T1,171.3
Almería,2014,2,2014-T2,144.59
Almería,2014,3,2014-T3,142.37
Almería,2014,4,2014-T4,159.91
Almería,2015,1,2015-T1,186.67
Almería,2015,2,2015-T2,187.76
Almería,2015,3,2015-T3,153.54
Almería,2015,4,2015-T4,149.3
Almería,2016,1,2016-T1,136.84
Almería,2016,2,2016-T2,152.87
Almería,2016,3,2016-T3,152.32
Almería,2016,4,2016-T4,163.13
Almería,2017,1,2017-T1,144.82
Almería,2017,2,2017-T2,162.13
Almería,2017,3,2017-T3,145.5
Almería,2017,4,2017-T4,143.41
Almería,2018,1,2018-T1,159.03
Almería,2018,2,2018-T2,134.13
Almería,2018,3,2018-T3,153.19
Almería,2018,4,2018-T4,152.61
Almería,2019,1,2019-T1,149.19
Almería,2019,2,2019-T2,154.05
Almería,2019,3,2019-T3,147.68
Almería,2019,4,2019-T4,152.32
Almería,2020,1,2020-T1,147.83
Almería,2020,2,2020-T2,135.35
Almería,2020,3,2020-T3,153.4
Almería,2020,4,2020-T4,153.91
Almería,2021,1,2021-T1,126.93
Almería,2021,2,2021-T2,167.18
Almería,2021,3,2021-T3,162.38
Almería,2021,4,2021-T4,158.95
Almería,2022,1,2022-T1,168.03
Almería,2022,2,2022-T2,128.01
Almería,2022,3,2022-T3,165.57
Almería,2022,4,2022-T4,157.36
Almería,2023,1,2023-T1,188.58
Almería,2023,2,2023-T2,187.99
Almería,2023,3,2023-T3,159.86
Almería,2023,4,2023-T4,161.94
Almería,2024,1,2024-T1,149.41
Almería,2024,2,2024-T2,157.37
Almería,2024,3,2024-T3,156.5
Almería,2024,4,2024-T4,151.49
Almería,2025,1,2025-T1,250.38
Almería,2025,2,2025-T2,180.1
Almería,2025,3,2025-T3,186.91
Almería,2025,4,2025-T4,177.41
Almería,2026,1,2026-T1,150.12
Avila,2004,1,2004-T1,82.26
Avila,2004,2,2004-T2,82.6
Avila,2004,3,2004-T3,53.36
Avila,2004,4,2004-T4,80.59
Avila,2005,1,2005-T1,68.72
Avila,2005,2,2005-T2,84.12
Avila,2005,3,2005-T3,109.44
Avila,2005,4,2005-T4,89.4
Avila,2006,1,2006-T1,91.24
Avila,2006,2,2006-T2,95.11
Avila,2006,3,2006-T3,94.92
Avila,2006,4,2006-T4,96.08
Avila,2007,1,2007-T1,105.08
Avila,2007,2,2007-T2,106.09
Avila,2007,3,2007-T3,65.66
Avila,2007,4,2007-T4,90.94
Avila,2008,1,2008-T1,85.18
Avila,2008,2,2008-T2,110.76
Avila,2008,3,2008-T3,90.05
Avila,2008,4,2008-T4,88.55
Avila,2009,1,2009-T1,92.6
Avila,2009,2,2009-T2,112.2
Avila,2009,3,2009-T3,92.02
Avila,2009,4,2009-T4,108.65
Avila,2010,1,2010-T1,104.23
Avila,2010,2,2010-T2,100.39
Avila,2010,3,2010-T3,94.89
Avila,2010,4,2010-T4,94.99
Avila,2011,1,2011-T1,86.48
Avila,2011,2,2011-T2,71.72
Avila,2011,3,2011-T3,99.82
Avila,2011,4,2011-T4,121.59
Avila,2012,1,2012-T1,85.06
Avila,2012,2,2012-T2,78.72
Avila,2012,3,2012-T3,65.54
Avila,2012,4,2012-T4,77.19
Avila,2013,1,2013-T1,57.71
Avila,2013,2,2013-T2,86.55
Avila,2013,3,2013-T3,58.83
Avila,2013,4,2013-T4,68.02
Avila,2014,1,2014-T1,34.94
Avila,2014,2,2014-T2,29.21
Avila,2014,3,2014-T3,51.9
Avila,2014,4,2014-T4,86.35
Avila,2015,1,2015-T1,47.22
Avila,2015,2,2015-T2,56.98
Avila,2015,3,2015-T3,54.33
Avila,2015,4,2015-T4,55.11
Avila,2016,1,2016-T1,54.79
Avila,2016,2,2016-T2,39.97
Avila,2016,3,2016-T3,75.58
Avila,2016,4,2016-T4,60.31
Avila,2017,1,2017-T1,36.24
Avila,2017,2,2017-T2,64.24
Avila,2017,3,2017-T3,62.09
Avila,2017,4,2017-T4,52.19
Avila,2018,1,2018-T1,56.69
Avila,2018,2,2018-T2,62.94
Avila,2018,3,2018-T3,53.05
Avila,2018,4,2018-T4,63.51
Avila,2019,1,2019-T1,67.82
Avila,2019,2,2019-T2,96.04
Avila,2019,3,2019-T3,63.56
Avila,2019,4,2019-T4,53.29
Avila,2020,1,2020-T1,62.28
Avila,2020,3,2020-T3,48.2
Avila,2020,4,2020-T4,48.73
Avila,2021,1,2021-T1,56.01
Avila,2021,2,2021-T2,71.52
Avila,2021,3,2021-T3,45.25
Avila,2021,4,2021-T4,64.4
Avila,2022,1,2022-T1,51.22
Avila,2022,2,2022-T2,69.17
Avila,2022,3,2022-T3,65.77
Avila,2022,4,2022-T4,53.15
Avila,2023,1,2023-T1,49.26
Avila,2023,2,2023-T2,76.1
Avila,2023,3,2023-T3,77.06
Avila,2023,4,2023-T4,64.32
Avila,2024,1,2024-T1,77.86
Avila,2024,2,2024-T2,76.57
Avila,2024,3,2024-T3,68.0
Avila,2024,4,2024-T4,64.68
Avila,2025,1,2025-T1,69.87
Avila,2025,2,2025-T2,78.49
Avila,2025,3,2025-T3,20.16
Avila,2025,4,2025-T4,67.93
Avila,2026,1,2026-T1,90.85
Badajoz,2004,1,2004-T1,68.42
Badajoz,2004,2,2004-T2,88.33
Badajoz,2004,3,2004-T3,103.81
Badajoz,2004,4,2004-T4,121.11
Badajoz,2005,1,2005-T1,123.59
Badajoz,2005,2,2005-T2,126.29
Badajoz,2005,3,2005-T3,101.41
Badajoz,2005,4,2005-T4,139.46
Badajoz,2006,1,2006-T1,112.23
Badajoz,2006,2,2006-T2,125.44
Badajoz,2006,3,2006-T3,116.42
Badajoz,2006,4,2006-T4,157.56
Badajoz,2007,1,2007-T1,136.83
Badajoz,2007,2,2007-T2,156.34
Badajoz,2007,3,2007-T3,118.88
Badajoz,2007,4,2007-T4,145.48
Badajoz,2008,1,2008-T1,158.75
Badajoz,2008,2,2008-T2,146.78
Badajoz,2008,3,2008-T3,122.08
Badajoz,2008,4,2008-T4,152.59
Badajoz,2009,1,2009-T1,147.1
Badajoz,2009,2,2009-T2,135.9
Badajoz,2009,3,2009-T3,125.03
Badajoz,2009,4,2009-T4,97.23
Badajoz,2010,1,2010-T1,139.97
Badajoz,2010,2,2010-T2,116.92
Badajoz,2010,3,2010-T3,94.64
Badajoz,2010,4,2010-T4,88.11
Badajoz,2011,1,2011-T1,82.43
Badajoz,2011,2,2011-T2,65.19
Badajoz,2011,3,2011-T3,83.84
Badajoz,2011,4,2011-T4,91.63
Badajoz,2012,1,2012-T1,87.89
Badajoz,2012,2,2012-T2,94.71
Badajoz,2012,3,2012-T3,110.21
Badajoz,2012,4,2012-T4,160.26
Badajoz,2013,1,2013-T1,97.76
Badajoz,2013,2,2013-T2,65.27
Badajoz,2013,3,2013-T3,101.87
Badajoz,2013,4,2013-T4,89.75
Badajoz,2014,1,2014-T1,93.66
Badajoz,2014,2,2014-T2,112.26
