codigo_provincia,provincia,anio,ipva_indice_general,ipva_indice_colectiva,ipva_indice_unifamiliar,ipva_variacion_anual_general,ipva_variacion_anual_colectiva,ipva_variacion_anual_unifamiliar
10,Cáceres,2022,111.282,111.476,110.251,2.1,2.1,2.0
10,Cáceres,2023,113.584,113.98,111.449,2.1,2.2,1.1
10,Cáceres,2024,117.601,118.274,113.958,3.5,3.8,2.3
11,Cádiz,2015,100.0,100.0,100.0,0.0,-0.3,0.7
11,Cádiz,2016,102.224,101.987,102.723,2.2,2.0,2.7
11,Cádiz,2017,103.216,103.063,103.538,1.0,1.1,0.8
11,Cádiz,2018,104.693,104.604,104.877,1.4,1.5,1.3
11,Cádiz,2019,107.063,107.424,106.254,2.3,2.7,1.3
11,Cádiz,2020,108.068,108.559,106.964,0.9,1.1,0.7
11,Cádiz,2021,109.905,110.461,108.646,1.7,1.8,1.6
11,Cádiz,2022,112.298,113.032,110.605,2.2,2.3,1.8
11,Cádiz,2023,114.402,115.436,111.957,1.9,2.1,1.2
11,Cádiz,2024,117.852,119.049,114.994,3.0,3.1,2.7
12,Castellón/Castelló,2015,100.0,100.0,100.0,-0.6,-0.6,-0.4
12,Castellón/Castelló,2016,101.066,101.259,99.924,1.1,1.3,-0.1
12,Castellón/Castelló,2017,102.411,102.448,102.186,1.3,1.2,2.3
12,Castellón/Castelló,2018,104.627,104.842,103.34,2.2,2.3,1.1
12,Castellón/Castelló,2019,107.94,108.444,104.903,3.2,3.4,1.5
12,Castellón/Castelló,2020,109.541,110.19,105.635,1.5,1.6,0.7
12,Castellón/Castelló,2021,112.238,112.987,107.748,2.5,2.5,2.0
12,Castellón/Castelló,2022,115.577,116.424,110.5,3.0,3.0,2.6
12,Castellón/Castelló,2023,119.114,120.098,113.193,3.1,3.2,2.4
12,Castellón/Castelló,2024,123.948,125.107,116.943,4.1,4.2,3.3
13,Ciudad Real,2015,100.0,100.0,100.0,-1.9,-2.1,-0.6
13,Ciudad Real,2016,101.519,101.633,100.916,1.5,1.6,0.9
13,Ciudad Real,2017,102.058,102.065,102.038,0.5,0.4,1.1
13,Ciudad Real,2018,103.387,103.476,102.936,1.3,1.4,0.9
13,Ciudad Real,2019,105.898,106.424,103.228,2.4,2.8,0.3
13,Ciudad Real,2020,107.075,107.531,104.764,1.1,1.0,1.5
13,Ciudad Real,2021,109.08,109.759,105.701,1.9,2.1,0.9
13,Ciudad Real,2022,111.307,112.239,106.7,2.0,2.3,0.9
13,Ciudad Real,2023,113.239,114.404,107.482,1.7,1.9,0.7
13,Ciudad Real,2024,116.919,118.288,110.144,3.3,3.4,2.5
14,Córdoba,2015,100.0,100.0,100.0,-0.7,-0.8,0.6
14,Córdoba,2016,101.251,101.247,101.292,1.3,1.2,1.3
14,Córdoba,2017,102.472,102.524,101.974,1.2,1.3,0.7
14,Córdoba,2018,103.702,103.796,102.821,1.2,1.2,0.8
14,Córdoba,2019,106.498,106.788,103.878,2.7,2.9,1.0
14,Córdoba,2020,106.694,106.998,103.953,0.2,0.2,0.1
14,Córdoba,2021,108.202,108.46,105.815,1.4,1.4,1.8
14,Córdoba,2022,110.124,110.431,107.343,1.8,1.8,1.4
14,Córdoba,2023,111.691,112.181,107.469,1.4,1.6,0.1
14,Córdoba,2024,114.38,115.066,108.598,2.4,2.6,1.1
15,"Coruña, A",2015,100.0,100.0,100.0,-0.4,-0.5,0.7
15,"Coruña, A",2016,100.698,100.652,101.296,0.7,0.7,1.3
15,"Coruña, A",2017,101.56,101.501,102.326,0.9,0.8,1.0
15,"Coruña, A",2018,102.727,102.738,102.62,1.1,1.2,0.3
15,"Coruña, A",2019,105.478,105.634,103.567,2.7,2.8,0.9
15,"Coruña, A",2020,106.754,106.921,104.707,1.2,1.2,1.1
15,"Coruña, A",2021,108.809,109.029,106.175,1.9,2.0,1.4
15,"Coruña, A",2022,111.594,111.822,108.867,2.6,2.6,2.5
15,"Coruña, A",2023,114.443,114.782,110.476,2.6,2.6,1.5
15,"Coruña, A",2024,118.719,119.159,113.628,3.7,3.8,2.9
16,Cuenca,2015,100.0,100.0,100.0,-1.7,-1.9,-0.9
16,Cuenca,2016,101.679,101.948,100.277,1.7,1.9,0.3
16,Cuenca,2017,102.355,102.475,101.666,0.7,0.5,1.4
16,Cuenca,2018,104.242,104.685,101.969,1.8,2.2,0.3
16,Cuenca,2019,106.78,107.53,103.055,2.4,2.7,1.1
16,Cuenca,2020,107.837,108.545,104.296,1.0,0.9,1.2
16,Cuenca,2021,110.829,111.702,106.625,2.8,2.9,2.2
16,Cuenca,2022,114.335,115.325,109.662,3.2,3.2,2.8
16,Cuenca,2023,117.754,119.041,111.983,3.0,3.2,2.1
16,Cuenca,2024,122.787,124.48,115.523,4.3,4.6,3.2
17,Girona,2015,100.0,100.0,100.0,0.3,0.1,0.9
17,Girona,2016,101.333,101.306,101.411,1.3,1.3,1.4
17,Girona,2017,103.06,103.1,102.946,1.7,1.8,1.5
17,Girona,2018,105.491,105.747,104.735,2.4,2.6,1.7
17,Girona,2019,108.136,109.137,105.115,2.5,3.2,0.4
17,Girona,2020,109.362,110.525,105.835,1.1,1.3,0.7
17,Girona,2021,111.596,112.647,108.405,2.0,1.9,2.4
17,Girona,2022,114.544,115.704,111.021,2.6,2.7,2.4
17,Girona,2023,117.483,118.848,113.298,2.6,2.7,2.1
17,Girona,2024,121.175,122.809,116.126,3.1,3.3,2.5
18,Granada,2015,100.0,100.0,100.0,-0.3,-0.3,-0.4
18,Granada,2016,101.598,101.587,101.658,1.6,1.6,1.7
18,Granada,2017,102.815,102.811,102.836,1.2,1.2,1.2
18,Granada,2018,105.039,105.186,104.207,2.2,2.3,1.3
18,Granada,2019,108.443,108.946,105.645,3.2,3.6,1.4
18,Granada,2020,108.989,109.446,106.443,0.5,0.5,0.8
18,Granada,2021,112.098,112.631,109.149,2.9,2.9,2.5
18,Granada,2022,115.335,116.04,111.47,2.9,3.0,2.1
18,Granada,2023,118.667,119.545,113.879,2.9,3.0,2.2
18,Granada,2024,123.392,124.404,117.869,4.0,4.1,3.5
19,Guadalajara,2015,100.0,100.0,100.0,-0.5,-0.6,0.0
19,Guadalajara,2016,101.472,101.392,101.718,1.5,1.4,1.7
19,Guadalajara,2017,103.37,103.394,103.306,1.9,2.0,1.6
19,Guadalajara,2018,105.697,105.889,105.129,2.3,2.4,1.8
19,Guadalajara,2019,109.901,110.462,108.202,4.0,4.3,2.9
19,Guadalajara,2020,111.974,112.824,109.41,1.9,2.1,1.1
19,Guadalajara,2021,114.673,115.579,111.939,2.4,2.4,2.3
19,Guadalajara,2022,117.814,118.908,114.482,2.7,2.9,2.3
19,Guadalajara,2023,120.876,122.173,116.883,2.6,2.7,2.1
19,Guadalajara,2024,125.41,126.914,120.734,3.8,3.9,3.3
21,Huelva,2015,100.0,100.0,100.0,-0.3,-0.5,0.4
21,Huelva,2016,101.485,101.467,101.544,1.5,1.5,1.5
21,Huelva,2017,102.642,102.297,103.739,1.1,0.8,2.2
21,Huelva,2018,104.709,104.842,104.288,2.0,2.5,0.5
21,Huelva,2019,107.764,108.424,105.663,2.9,3.4,1.3
21,Huelva,2020,108.816,109.431,106.852,1.0,0.9,1.1
21,Huelva,2021,110.673,111.448,108.232,1.7,1.8,1.3
21,Huelva,2022,113.097,114.164,109.752,2.2,2.4,1.4
21,Huelva,2023,115.249,116.656,110.839,1.9,2.2,1.0
21,Huelva,2024,118.614,120.237,113.529,2.9,3.1,2.4
22,Huesca,2015,100.0,100.0,100.0,-0.1,-0.1,0.0
22,Huesca,2016,100.809,100.672,102.36,0.8,0.7,2.4
22,Huesca,2017,102.165,101.99,104.135,1.3,1.3,1.7
22,Huesca,2018,104.103,103.922,106.14,1.9,1.9,1.9
22,Huesca,2019,107.192,107.136,107.965,3.0,3.1,1.7
22,Huesca,2020,108.913,108.789,110.364,1.6,1.5,2.2
22,Huesca,2021,111.337,111.3,112.037,2.2,2.3,1.5
22,Huesca,2022,114.415,114.447,114.498,2.8,2.8,2.2
22,Huesca,2023,117.08,117.191,116.453,2.3,2.4,1.7
22,Huesca,2024,120.598,120.873,118.549,3.0,3.1,1.8
23,Jaén,2015,100.0,100.0,100.0,-0.8,-0.8,-0.9
23,Jaén,2016,101.623,101.713,100.781,1.6,1.7,0.8
23,Jaén,2017,103.137,103.064,103.76,1.5,1.3,3.0
23,Jaén,2018,104.13,104.126,104.109,1.0,1.0,0.3
23,Jaén,2019,106.588,106.742,105.115,2.4,2.5,1.0
23,Jaén,2020,106.932,107.095,105.389,0.3,0.3,0.3
23,Jaén,2021,108.805,108.784,108.669,1.8,1.6,3.1
23,Jaén,2022,110.82,110.859,110.203,1.9,1.9,1.4
23,Jaén,2023,112.037,112.227,110.183,1.1,1.2,0.0
23,Jaén,2024,114.98,115.267,112.331,2.6,2.7,1.9
24,León,2015,100.0,100.0,100.0,-0.5,-0.6,0.5
24,León,2016,100.948,100.963,100.782,0.9,1.0,0.8
24,León,2017,101.74,101.718,101.996,0.8,0.7,1.2
24,León,2018,102.666,102.616,103.228,0.9,0.9,1.2
24,León,2019,104.31,104.465,102.493,1.6,1.8,-0.7
24,León,2020,105.002,105.176,102.966,0.7,0.7,0.5
24,León,2021,106.586,106.732,104.836,1.5,1.5,1.8
24,León,2022,108.581,108.796,106.087,1.9,1.9,1.2
24,León,2023,110.305,110.668,106.22,1.6,1.7,0.1
24,León,2024,113.361,113.803,108.409,2.8,2.8,2.1
25,Lleida,2015,100.0,100.0,100.0,-0.3,-0.4,0.5
